Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:15:01.877000,HAM,44,0 days 00:01:20.486000,17.0,5.0,,,0 days 00:00:26.613000,0 days 00:00:21.962000,0 days 00:00:31.911000,0 days 01:14:08.004000,0 days 01:14:29.966000,0 days 01:15:01.877000,283.0,286.0,303.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:41.391000,2019-03-16 06:58:41.540,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:07:20.037000,BOT,77,0 days 00:01:20.598000,15.0,4.0,,,0 days 00:00:26.653000,0 days 00:00:21.877000,0 days 00:00:32.068000,0 days 01:06:26.092000,0 days 01:06:47.969000,0 days 01:07:20.037000,283.0,286.0,296.0,320.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:59.439000,2019-03-16 06:50:59.588,1,,False,,False,True,0 days 00:00:00.112000,0.112,#00d2be
0 days 01:15:36.185000,VET,5,0 days 00:01:21.190000,15.0,5.0,,,0 days 00:00:26.955000,0 days 00:00:22.201000,0 days 00:00:32.034000,0 days 01:14:41.950000,0 days 01:15:04.151000,0 days 01:15:36.185000,280.0,283.0,303.0,315.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:14.995000,2019-03-16 06:59:15.144,1,,False,,False,True,0 days 00:00:00.704000,0.704,#dc0000
0 days 01:16:17.531000,VER,33,0 days 00:01:21.320000,16.0,5.0,,,0 days 00:00:26.829000,0 days 00:00:22.252000,0 days 00:00:32.239000,0 days 01:15:23.040000,0 days 01:15:45.292000,0 days 01:16:17.531000,282.0,283.0,301.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:56.211000,2019-03-16 06:59:56.360,1,,False,,False,True,0 days 00:00:00.834000,0.834,#0600ef
0 days 01:07:41.959000,LEC,16,0 days 00:01:21.442000,13.0,4.0,,,0 days 00:00:26.949000,0 days 00:00:22.230000,0 days 00:00:32.263000,0 days 01:06:47.466000,0 days 01:07:09.696000,0 days 01:07:41.959000,281.0,285.0,304.0,317.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:20.517000,2019-03-16 06:51:20.666,1,,False,,False,True,0 days 00:00:00.956000,0.956,#dc0000
0 days 01:15:20.819000,GRO,8,0 days 00:01:21.826000,16.0,6.0,,,0 days 00:00:27.100000,0 days 00:00:22.311000,0 days 00:00:32.415000,0 days 01:14:26.093000,0 days 01:14:48.404000,0 days 01:15:20.819000,280.0,283.0,294.0,316.0,True,SOFT,2.0,True,Haas F1 Team,0 days 01:13:58.993000,2019-03-16 06:58:59.142,1,,False,,False,True,0 days 00:00:01.340000,1.34,#ffffff
0 days 01:14:51.339000,MAG,20,0 days 00:01:22.099000,17.0,6.0,,,0 days 00:00:27.174000,0 days 00:00:22.522000,0 days 00:00:32.403000,0 days 01:13:56.414000,0 days 01:14:18.936000,0 days 01:14:51.339000,281.0,284.0,300.0,312.0,True,SOFT,2.0,True,Haas F1 Team,0 days 01:13:29.240000,2019-03-16 06:58:29.389,1,,False,,False,True,0 days 00:00:01.613000,1.613,#ffffff
0 days 01:15:08.831000,NOR,4,0 days 00:01:22.304000,20.0,7.0,,,0 days 00:00:27.246000,0 days 00:00:22.332000,0 days 00:00:32.726000,0 days 01:14:13.773000,0 days 01:14:36.105000,0 days 01:15:08.831000,283.0,287.0,303.0,319.0,True,SOFT,2.0,True,McLaren,0 days 01:13:46.527000,2019-03-16 06:58:46.676,1,,False,,False,True,0 days 00:00:01.818000,1.818,#ff8700
0 days 01:15:41.843000,RAI,7,0 days 00:01:22.314000,16.0,5.0,,,0 days 00:00:27.195000,0 days 00:00:22.430000,0 days 00:00:32.689000,0 days 01:14:46.724000,0 days 01:15:09.154000,0 days 01:15:41.843000,282.0,287.0,304.0,320.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 01:14:19.529000,2019-03-16 06:59:19.678,1,,False,,False,True,0 days 00:00:01.828000,1.828,#900000
0 days 00:33:34.903000,GIO,99,0 days 00:01:22.431000,7.0,2.0,,,0 days 00:00:27.453000,0 days 00:00:22.273000,0 days 00:00:32.705000,0 days 00:32:39.925000,0 days 00:33:02.198000,0 days 00:33:34.903000,284.0,290.0,304.0,320.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:32:12.472000,2019-03-16 06:17:12.621,1,,False,,False,True,0 days 00:00:01.945000,1.945,#900000
