Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 00:46:19.725000,VER,33,0 days 00:01:07.503000,5.0,2.0,,,0 days 00:00:17.425000,0 days 00:00:34.245000,0 days 00:00:15.833000,0 days 00:45:29.647000,0 days 00:46:03.892000,0 days 00:46:19.725000,328.0,270.0,324.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:45:12.222000,2019-11-16 18:30:12.521,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:08:03.264000,VET,5,0 days 00:01:07.631000,11.0,4.0,,,0 days 00:00:17.462000,0 days 00:00:34.346000,0 days 00:00:15.823000,0 days 01:07:13.095000,0 days 01:07:47.441000,0 days 01:08:03.264000,328.0,269.0,325.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:55.633000,2019-11-16 18:51:55.932,1,,False,,False,True,0 days 00:00:00.128000,0.128,#dc0000
0 days 01:15:54.045000,HAM,44,0 days 00:01:07.699000,15.0,5.0,,,0 days 00:00:17.532000,0 days 00:00:34.309000,0 days 00:00:15.858000,0 days 01:15:03.878000,0 days 01:15:38.187000,0 days 01:15:54.045000,325.0,266.0,323.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:46.346000,2019-11-16 18:59:46.645,1,,False,,False,True,0 days 00:00:00.196000,0.196,#00d2be
0 days 01:08:11.500000,LEC,16,0 days 00:01:07.728000,16.0,5.0,,,0 days 00:00:17.442000,0 days 00:00:34.265000,0 days 00:00:16.021000,0 days 01:07:21.214000,0 days 01:07:55.479000,0 days 01:08:11.500000,330.0,271.0,327.0,327.0,True,SOFT,2.0,True,Ferrari,0 days 01:07:03.772000,2019-11-16 18:52:04.071,1,,False,,False,True,0 days 00:00:00.225000,0.225,#dc0000
0 days 01:07:53.417000,BOT,77,0 days 00:01:07.874000,13.0,4.0,,,0 days 00:00:17.621000,0 days 00:00:34.330000,0 days 00:00:15.923000,0 days 01:07:03.164000,0 days 01:07:37.494000,0 days 01:07:53.417000,324.0,265.0,319.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:06:45.543000,2019-11-16 18:51:45.842,1,,False,,False,True,0 days 00:00:00.371000,0.371,#00d2be
0 days 01:08:15.118000,ALB,23,0 days 00:01:07.935000,10.0,3.0,,,0 days 00:00:17.654000,0 days 00:00:34.384000,0 days 00:00:15.897000,0 days 01:07:24.837000,0 days 01:07:59.221000,0 days 01:08:15.118000,326.0,268.0,325.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:07:07.183000,2019-11-16 18:52:07.482,1,,False,,False,True,0 days 00:00:00.432000,0.432,#0600ef
0 days 00:46:01.261000,GRO,8,0 days 00:01:08.705000,7.0,3.0,,,0 days 00:00:17.786000,0 days 00:00:34.830000,0 days 00:00:16.089000,0 days 00:45:10.342000,0 days 00:45:45.172000,0 days 00:46:01.261000,326.0,268.0,323.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:44:52.556000,2019-11-16 18:29:52.855,1,,False,,False,True,0 days 00:00:01.202000,1.202,#ffffff
0 days 00:46:29.838000,GAS,10,0 days 00:01:08.770000,12.0,3.0,,,0 days 00:00:17.773000,0 days 00:00:35.016000,0 days 00:00:15.981000,0 days 00:45:38.841000,0 days 00:46:13.857000,0 days 00:46:29.838000,326.0,269.0,324.0,330.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:45:21.068000,2019-11-16 18:30:21.367,1,,False,,False,True,0 days 00:00:01.267000,1.267,#000000
0 days 00:46:05.341000,MAG,20,0 days 00:01:08.803000,8.0,3.0,,,0 days 00:00:17.768000,0 days 00:00:34.932000,0 days 00:00:16.103000,0 days 00:45:14.306000,0 days 00:45:49.238000,0 days 00:46:05.341000,326.0,269.0,323.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:44:56.538000,2019-11-16 18:29:56.837,1,,False,,False,True,0 days 00:00:01.300000,1.3,#ffffff
0 days 00:45:56.762000,RAI,7,0 days 00:01:08.858000,11.0,3.0,,,0 days 00:00:17.763000,0 days 00:00:35.122000,0 days 00:00:15.973000,0 days 00:45:05.667000,0 days 00:45:40.789000,0 days 00:45:56.762000,330.0,270.0,323.0,329.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:44:47.904000,2019-11-16 18:29:48.203,1,,False,,False,True,0 days 00:00:01.355000,1.355,#900000
0 days 00:45:53.618000,NOR,4,0 days 00:01:08.868000,9.0,3.0,,,0 days 00:00:17.717000,0 days 00:00:35.052000,0 days 00:00:16.099000,0 days 00:45:02.467000,0 days 00:45:37.519000,0 days 00:45:53.618000,325.0,268.0,322.0,323.0,True,SOFT,2.0,True,McLaren,0 days 00:44:44.750000,2019-11-16 18:29:45.049,1,,False,,False,True,0 days 00:00:01.365000,1.365,#ff8700
0 days 00:46:24.387000,RIC,3,0 days 00:01:08.903000,8.0,3.0,,,0 days 00:00:17.840000,0 days 00:00:35.052000,0 days 00:00:16.011000,0 days 00:45:33.324000,0 days 00:46:08.376000,0 days 00:46:24.387000,327.0,267.0,323.0,330.0,True,SOFT,2.0,True,Renault,0 days 00:45:15.484000,2019-11-16 18:30:15.783,1,,False,,False,True,0 days 00:00:01.400000,1.4,#0600ef
0 days 00:45:47.446000,GIO,99,0 days 00:01:08.919000,11.0,3.0,,,0 days 00:00:17.754000,0 days 00:00:35.205000,0 days 00:00:15.960000,0 days 00:44:56.281000,0 days 00:45:31.486000,0 days 00:45:47.446000,329.0,269.0,326.0,327.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:44:38.527000,2019-11-16 18:29:38.826,1,,False,,False,True,0 days 00:00:01.416000,1.416,#900000
0 days 00:54:38.944000,HUL,27,0 days 00:01:08.921000,11.0,4.0,,,0 days 00:00:17.857000,0 days 00:00:34.973000,0 days 00:00:16.091000,0 days 00:53:47.880000,0 days 00:54:22.853000,0 days 00:54:38.944000,324.0,266.0,320.0,325.0,True,SOFT,2.0,True,Renault,0 days 00:53:30.023000,2019-11-16 18:38:30.322,1,,False,,False,True,0 days 00:00:01.418000,1.418,#0600ef
0 days 00:45:41.518000,PER,11,0 days 00:01:09.035000,10.0,3.0,,,0 days 00:00:17.822000,0 days 00:00:35.094000,0 days 00:00:16.119000,0 days 00:44:50.305000,0 days 00:45:25.399000,0 days 00:45:41.518000,324.0,268.0,322.0,324.0,True,SOFT,2.0,True,Racing Point,0 days 00:44:32.483000,2019-11-16 18:29:32.782,1,,False,,False,True,0 days 00:00:01.532000,1.532,#0090ff
0 days 00:20:13.622000,KVY,26,0 days 00:01:09.320000,2.0,1.0,,,0 days 00:00:17.979000,0 days 00:00:35.227000,0 days 00:00:16.114000,0 days 00:19:22.281000,0 days 00:19:57.508000,0 days 00:20:13.622000,322.0,268.0,320.0,322.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:19:04.302000,2019-11-16 18:04:04.601,1,,False,,False,True,0 days 00:00:01.817000,1.817,#000000
0 days 00:33:25.548000,STR,18,0 days 00:01:09.536000,8.0,2.0,,,0 days 00:00:17.930000,0 days 00:00:35.393000,0 days 00:00:16.213000,0 days 00:32:33.942000,0 days 00:33:09.335000,0 days 00:33:25.548000,324.0,267.0,324.0,328.0,True,SOFT,2.0,True,Racing Point,0 days 00:32:16.012000,2019-11-16 18:17:16.311,1,,False,,False,True,0 days 00:00:02.033000,2.033,#0090ff
