Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:32:27.928000,VET,5,0 days 00:01:10.240000,21.0,5.0,,,0 days 00:00:19.357000,0 days 00:00:22.427000,0 days 00:00:28.456000,0 days 01:31:37.045000,0 days 01:31:59.472000,0 days 01:32:27.928000,268.0,291.0,305.0,330.0,True,SOFT,2.0,True,Ferrari,0 days 01:31:17.688000,2019-06-08 19:16:17.753,1,,False,,False,True,0 days 00:00:00,0.0,#dc0000
0 days 01:32:17.090000,HAM,44,0 days 00:01:10.446000,20.0,6.0,,,0 days 00:00:19.323000,0 days 00:00:22.369000,0 days 00:00:28.754000,0 days 01:31:25.967000,0 days 01:31:48.336000,0 days 01:32:17.090000,266.0,287.0,299.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:31:06.644000,2019-06-08 19:16:06.709,1,,False,,False,True,0 days 00:00:00.206000,0.206,#00d2be
0 days 01:32:23.352000,LEC,16,0 days 00:01:10.920000,21.0,5.0,,,0 days 00:00:19.483000,0 days 00:00:22.418000,0 days 00:00:29.019000,0 days 01:31:31.915000,0 days 01:31:54.333000,0 days 01:32:23.352000,268.0,290.0,301.0,329.0,True,SOFT,2.0,True,Ferrari,0 days 01:31:12.432000,2019-06-08 19:16:12.497,1,,False,,False,True,0 days 00:00:00.680000,0.68,#dc0000
0 days 01:32:02.079000,RIC,3,0 days 00:01:11.071000,19.0,6.0,,,0 days 00:00:19.692000,0 days 00:00:22.613000,0 days 00:00:28.766000,0 days 01:31:10.700000,0 days 01:31:33.313000,0 days 01:32:02.079000,267.0,289.0,302.0,328.0,True,SOFT,2.0,True,Renault,0 days 01:30:51.008000,2019-06-08 19:15:51.073,1,,False,,False,True,0 days 00:00:00.831000,0.831,#0600ef
0 days 01:32:44.091000,GAS,10,0 days 00:01:11.079000,16.0,5.0,,,0 days 00:00:19.537000,0 days 00:00:22.569000,0 days 00:00:28.973000,0 days 01:31:52.549000,0 days 01:32:15.118000,0 days 01:32:44.091000,263.0,283.0,294.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:31:33.012000,2019-06-08 19:16:33.077,1,,False,,False,True,0 days 00:00:00.839000,0.839,#0600ef
0 days 00:51:11.774000,BOT,77,0 days 00:01:11.095000,11.0,3.0,,,0 days 00:00:19.449000,0 days 00:00:22.660000,0 days 00:00:28.986000,0 days 00:50:20.128000,0 days 00:50:42.788000,0 days 00:51:11.774000,264.0,285.0,294.0,318.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:50:00.679000,2019-06-08 18:35:00.744,1,,False,,False,True,0 days 00:00:00.855000,0.855,#00d2be
0 days 01:31:57.724000,HUL,27,0 days 00:01:11.324000,20.0,6.0,,,0 days 00:00:19.741000,0 days 00:00:22.701000,0 days 00:00:28.882000,0 days 01:31:06.141000,0 days 01:31:28.842000,0 days 01:31:57.724000,266.0,288.0,300.0,325.0,True,SOFT,2.0,True,Renault,0 days 01:30:46.400000,2019-06-08 19:15:46.465,1,,False,,False,True,0 days 00:00:01.084000,1.084,#0600ef
0 days 00:45:40.997000,SAI,55,0 days 00:01:11.572000,10.0,3.0,,,0 days 00:00:19.848000,0 days 00:00:22.944000,0 days 00:00:28.780000,0 days 00:44:49.273000,0 days 00:45:12.217000,0 days 00:45:40.997000,264.0,286.0,299.0,328.0,True,SOFT,2.0,True,McLaren,0 days 00:44:29.425000,2019-06-08 18:29:29.490,1,,False,,False,True,0 days 00:00:01.332000,1.332,#ff8700
0 days 00:26:04.117000,VER,33,0 days 00:01:11.619000,4.0,1.0,,,0 days 00:00:19.802000,0 days 00:00:22.774000,0 days 00:00:29.043000,0 days 00:25:12.300000,0 days 00:25:35.074000,0 days 00:26:04.117000,261.0,284.0,298.0,322.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:24:52.498000,2019-06-08 18:09:52.563,1,,False,,False,True,0 days 00:00:01.379000,1.379,#0600ef
0 days 00:55:02.440000,NOR,4,0 days 00:01:11.735000,14.0,4.0,,,0 days 00:00:19.948000,0 days 00:00:22.907000,0 days 00:00:28.880000,0 days 00:54:10.653000,0 days 00:54:33.560000,0 days 00:55:02.440000,264.0,286.0,303.0,327.0,True,SOFT,2.0,True,McLaren,0 days 00:53:50.705000,2019-06-08 18:38:50.770,1,,False,,False,True,0 days 00:00:01.495000,1.495,#ff8700
