Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:06:28.333000,HAM,44,0 days 00:01:11.767000,15.0,5.0,,,0 days 00:00:15.411000,0 days 00:00:34.572000,0 days 00:00:21.784000,0 days 01:05:31.977000,0 days 01:06:06.549000,0 days 01:06:28.333000,219.0,266.0,270.0,320.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:16.566000,2019-07-27 13:50:16.584,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:07:02.808000,VER,33,0 days 00:01:12.113000,13.0,4.0,,,0 days 00:00:15.517000,0 days 00:00:34.737000,0 days 00:00:21.859000,0 days 01:06:06.212000,0 days 01:06:40.949000,0 days 01:07:02.808000,219.0,263.0,271.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:50.695000,2019-07-27 13:50:50.713,1,,False,,False,True,0 days 00:00:00.346000,0.346,#0600ef
0 days 01:15:40.200000,BOT,77,0 days 00:01:12.129000,18.0,6.0,,,0 days 00:00:15.494000,0 days 00:00:34.726000,0 days 00:00:21.909000,0 days 01:14:43.565000,0 days 01:15:18.291000,0 days 01:15:40.200000,219.0,266.0,267.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:28.071000,2019-07-27 13:59:28.089,1,,False,,False,True,0 days 00:00:00.362000,0.362,#00d2be
0 days 00:23:40.667000,LEC,16,0 days 00:01:12.229000,2.0,1.0,,,0 days 00:00:15.597000,0 days 00:00:34.515000,0 days 00:00:22.117000,0 days 00:22:44.035000,0 days 00:23:18.550000,0 days 00:23:40.667000,220.0,269.0,272.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 00:22:28.438000,2019-07-27 13:07:28.456,1,,False,,False,True,0 days 00:00:00.462000,0.462,#dc0000
0 days 00:47:19.261000,GAS,10,0 days 00:01:12.385000,8.0,3.0,,,0 days 00:00:15.631000,0 days 00:00:34.715000,0 days 00:00:22.039000,0 days 00:46:22.507000,0 days 00:46:57.222000,0 days 00:47:19.261000,218.0,268.0,272.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:46:06.876000,2019-07-27 13:31:06.894,1,,False,,False,True,0 days 00:00:00.618000,0.618,#0600ef
0 days 00:55:22.292000,RAI,7,0 days 00:01:12.519000,14.0,4.0,,,0 days 00:00:15.694000,0 days 00:00:34.545000,0 days 00:00:22.280000,0 days 00:54:25.467000,0 days 00:55:00.012000,0 days 00:55:22.292000,220.0,271.0,269.0,329.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:54:09.773000,2019-07-27 13:39:09.791,1,,False,,False,True,0 days 00:00:00.752000,0.752,#900000
0 days 00:44:18.533000,SAI,55,0 days 00:01:12.632000,11.0,3.0,,,0 days 00:00:15.658000,0 days 00:00:34.905000,0 days 00:00:22.069000,0 days 00:43:21.559000,0 days 00:43:56.464000,0 days 00:44:18.533000,219.0,268.0,272.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:43:05.901000,2019-07-27 13:28:05.919,1,,False,,False,True,0 days 00:00:00.865000,0.865,#ff8700
0 days 00:55:13.467000,HUL,27,0 days 00:01:12.766000,11.0,4.0,,,0 days 00:00:15.718000,0 days 00:00:34.824000,0 days 00:00:22.224000,0 days 00:54:16.419000,0 days 00:54:51.243000,0 days 00:55:13.467000,219.0,267.0,271.0,324.0,True,SOFT,2.0,True,Renault,0 days 00:54:00.701000,2019-07-27 13:39:00.719,1,,False,,False,True,0 days 00:00:00.999000,0.999,#0600ef
0 days 00:47:43.982000,GRO,8,0 days 00:01:12.769000,10.0,3.0,,,0 days 00:00:15.764000,0 days 00:00:34.978000,0 days 00:00:22.027000,0 days 00:46:46.977000,0 days 00:47:21.955000,0 days 00:47:43.982000,217.0,266.0,271.0,321.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:46:31.213000,2019-07-27 13:31:31.231,1,,False,,False,True,0 days 00:00:01.002000,1.002,#ffffff
0 days 00:55:37.244000,PER,11,0 days 00:01:12.776000,11.0,4.0,,,0 days 00:00:15.763000,0 days 00:00:34.579000,0 days 00:00:22.434000,0 days 00:54:40.231000,0 days 00:55:14.810000,0 days 00:55:37.244000,220.0,268.0,266.0,327.0,True,SOFT,2.0,True,Racing Point,0 days 00:54:24.468000,2019-07-27 13:39:24.486,1,,False,,False,True,0 days 00:00:01.009000,1.009,#0090ff
0 days 00:55:25.848000,GIO,99,0 days 00:01:12.786000,14.0,4.0,,,0 days 00:00:15.710000,0 days 00:00:34.777000,0 days 00:00:22.299000,0 days 00:54:28.772000,0 days 00:55:03.549000,0 days 00:55:25.848000,220.0,270.0,274.0,331.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:54:13.062000,2019-07-27 13:39:13.080,1,,False,,False,True,0 days 00:00:01.019000,1.019,#900000
0 days 00:47:05.746000,MAG,20,0 days 00:01:12.789000,8.0,3.0,,,0 days 00:00:15.730000,0 days 00:00:35.074000,0 days 00:00:21.985000,0 days 00:46:08.687000,0 days 00:46:43.761000,0 days 00:47:05.746000,217.0,268.0,273.0,320.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:45:52.957000,2019-07-27 13:30:52.975,1,,False,,False,True,0 days 00:00:01.022000,1.022,#ffffff
0 days 00:55:17.110000,RIC,3,0 days 00:01:12.799000,11.0,4.0,,,0 days 00:00:15.664000,0 days 00:00:34.836000,0 days 00:00:22.299000,0 days 00:54:19.975000,0 days 00:54:54.811000,0 days 00:55:17.110000,219.0,267.0,272.0,326.0,True,SOFT,2.0,True,Renault,0 days 00:54:04.311000,2019-07-27 13:39:04.329,1,,False,,False,True,0 days 00:00:01.032000,1.032,#0600ef
0 days 00:46:39.740000,KVY,26,0 days 00:01:13.135000,11.0,3.0,,,0 days 00:00:15.813000,0 days 00:00:35.074000,0 days 00:00:22.248000,0 days 00:45:42.418000,0 days 00:46:17.492000,0 days 00:46:39.740000,216.0,263.0,270.0,319.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:45:26.605000,2019-07-27 13:30:26.623,1,,False,,False,True,0 days 00:00:01.368000,1.368,#000000
0 days 00:26:14.852000,STR,18,0 days 00:01:13.256000,5.0,2.0,,,0 days 00:00:15.766000,0 days 00:00:34.886000,0 days 00:00:22.604000,0 days 00:25:17.362000,0 days 00:25:52.248000,0 days 00:26:14.852000,216.0,265.0,269.0,330.0,True,SOFT,2.0,True,Racing Point,0 days 00:25:01.596000,2019-07-27 13:10:01.614,2,,False,,False,True,0 days 00:00:01.489000,1.489,#0090ff
0 days 00:31:12.578000,NOR,4,0 days 00:01:13.333000,7.0,2.0,,,0 days 00:00:15.762000,0 days 00:00:35.310000,0 days 00:00:22.261000,0 days 00:30:15.007000,0 days 00:30:50.317000,0 days 00:31:12.578000,216.0,265.0,272.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:29:59.245000,2019-07-27 13:14:59.263,1,,False,,False,True,0 days 00:00:01.566000,1.566,#ff8700
0 days 00:26:04.398000,ALB,23,0 days 00:01:13.461000,5.0,1.0,,,0 days 00:00:15.816000,0 days 00:00:35.341000,0 days 00:00:22.304000,0 days 00:25:06.753000,0 days 00:25:42.094000,0 days 00:26:04.398000,213.0,263.0,269.0,327.0,True,SOFT,5.0,True,Toro Rosso,0 days 00:24:50.937000,2019-07-27 13:09:50.955,2,,False,,False,True,0 days 00:00:01.694000,1.694,#000000
0 days 00:34:00.598000,RUS,63,0 days 00:01:14.721000,10.0,3.0,,,0 days 00:00:16.176000,0 days 00:00:35.735000,0 days 00:00:22.810000,0 days 00:33:02.053000,0 days 00:33:37.788000,0 days 00:34:00.598000,213.0,261.0,267.0,324.0,True,SOFT,2.0,True,Williams,0 days 00:32:45.877000,2019-07-27 13:17:45.895,1,,False,,False,True,0 days 00:00:02.954000,2.954,#005aff
0 days 00:33:54.282000,KUB,88,0 days 00:01:14.839000,10.0,3.0,,,0 days 00:00:16.255000,0 days 00:00:35.548000,0 days 00:00:23.036000,0 days 00:32:55.698000,0 days 00:33:31.246000,0 days 00:33:54.282000,215.0,262.0,262.0,328.0,True,SOFT,2.0,True,Williams,0 days 00:32:39.443000,2019-07-27 13:17:39.461,1,,False,,False,True,0 days 00:00:03.072000,3.072,#005aff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
