Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:15:53.497000,VER,33,0 days 00:01:14.758000,14.0,5.0,,,0 days 00:00:26.732000,0 days 00:00:28.586000,0 days 00:00:19.440000,0 days 01:15:05.471000,0 days 01:15:34.057000,0 days 01:15:53.497000,322.0,301.0,258.0,347.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:38.739000,2019-10-26 18:59:38.953,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:07:58.943000,LEC,16,0 days 00:01:15.024000,13.0,4.0,,,0 days 00:00:26.689000,0 days 00:00:28.812000,0 days 00:00:19.523000,0 days 01:07:10.608000,0 days 01:07:39.420000,0 days 01:07:58.943000,325.0,304.0,262.0,356.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:43.919000,2019-10-26 18:51:44.133,1,,False,,False,True,0 days 00:00:00.266000,0.266,#dc0000
0 days 01:07:42.884000,VET,5,0 days 00:01:15.170000,13.0,4.0,,,0 days 00:00:26.528000,0 days 00:00:28.967000,0 days 00:00:19.675000,0 days 01:06:54.242000,0 days 01:07:23.209000,0 days 01:07:42.884000,327.0,304.0,261.0,356.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:27.714000,2019-10-26 18:51:27.928,1,,False,,False,True,0 days 00:00:00.412000,0.412,#dc0000
0 days 01:15:43.238000,HAM,44,0 days 00:01:15.262000,19.0,5.0,,,0 days 00:00:26.965000,0 days 00:00:28.611000,0 days 00:00:19.686000,0 days 01:14:54.941000,0 days 01:15:23.552000,0 days 01:15:43.238000,319.0,299.0,258.0,347.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:27.976000,2019-10-26 18:59:28.190,1,,False,,False,True,0 days 00:00:00.504000,0.504,#00d2be
0 days 01:07:49.279000,ALB,23,0 days 00:01:15.336000,14.0,4.0,,,0 days 00:00:26.979000,0 days 00:00:28.820000,0 days 00:00:19.537000,0 days 01:07:00.922000,0 days 01:07:29.742000,0 days 01:07:49.279000,320.0,300.0,258.0,344.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:33.943000,2019-10-26 18:51:34.157,1,,False,,False,True,0 days 00:00:00.578000,0.578,#0600ef
0 days 01:07:34.421000,BOT,77,0 days 00:01:15.338000,15.0,4.0,,,0 days 00:00:27.068000,0 days 00:00:28.792000,0 days 00:00:19.478000,0 days 01:06:46.151000,0 days 01:07:14.943000,0 days 01:07:34.421000,315.0,298.0,258.0,340.0,True,SOFT,2.0,True,Mercedes,0 days 01:06:19.083000,2019-10-26 18:51:19.297,1,,False,,False,True,0 days 00:00:00.580000,0.58,#00d2be
0 days 01:15:23.857000,SAI,55,0 days 00:01:16.014000,18.0,6.0,,,0 days 00:00:27.086000,0 days 00:00:29.056000,0 days 00:00:19.872000,0 days 01:14:34.929000,0 days 01:15:03.985000,0 days 01:15:23.857000,321.0,300.0,255.0,344.0,True,SOFT,2.0,True,McLaren,0 days 01:14:07.843000,2019-10-26 18:59:08.057,1,,False,,False,True,0 days 00:00:01.256000,1.256,#ff8700
0 days 01:15:10.225000,NOR,4,0 days 00:01:16.322000,19.0,6.0,,,0 days 00:00:27.173000,0 days 00:00:29.222000,0 days 00:00:19.927000,0 days 01:14:21.076000,0 days 01:14:50.298000,0 days 01:15:10.225000,319.0,300.0,256.0,340.0,True,SOFT,2.0,True,McLaren,0 days 01:13:53.903000,2019-10-26 18:58:54.117,1,,False,,False,True,0 days 00:00:01.564000,1.564,#ff8700
0 days 01:15:14.315000,KVY,26,0 days 00:01:16.469000,21.0,6.0,,,0 days 00:00:27.300000,0 days 00:00:29.233000,0 days 00:00:19.936000,0 days 01:14:25.146000,0 days 01:14:54.379000,0 days 01:15:14.315000,320.0,300.0,256.0,345.0,True,SOFT,2.0,True,Toro Rosso,0 days 01:13:57.846000,2019-10-26 18:58:58.060,1,,False,,False,True,0 days 00:00:01.711000,1.711,#000000
0 days 01:15:17.645000,GAS,10,0 days 00:01:16.586000,21.0,6.0,,,0 days 00:00:27.120000,0 days 00:00:29.495000,0 days 00:00:19.971000,0 days 01:14:28.179000,0 days 01:14:57.674000,0 days 01:15:17.645000,320.0,297.0,256.0,346.0,True,SOFT,2.0,True,Toro Rosso,0 days 01:14:01.059000,2019-10-26 18:59:01.273,1,,False,,False,True,0 days 00:00:01.828000,1.828,#000000
