Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:07:30.960000,BOT,77,0 days 00:01:32.029000,13.0,4.0,,,0 days 00:00:24.758000,0 days 00:00:36.718000,0 days 00:00:30.553000,0 days 01:06:23.689000,0 days 01:07:00.407000,0 days 01:07:30.960000,246.0,196.0,215.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:58.931000,2019-11-02 21:50:59.933,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:07:37.162000,VET,5,0 days 00:01:32.041000,12.0,4.0,,,0 days 00:00:24.615000,0 days 00:00:36.765000,0 days 00:00:30.661000,0 days 01:06:29.736000,0 days 01:07:06.501000,0 days 01:07:37.162000,243.0,196.0,216.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:05.121000,2019-11-02 21:51:06.123,1,,False,,False,True,0 days 00:00:00.012000,0.012,#dc0000
0 days 01:15:33.937000,VER,33,0 days 00:01:32.096000,14.0,5.0,,,0 days 00:00:24.706000,0 days 00:00:36.968000,0 days 00:00:30.422000,0 days 01:14:26.547000,0 days 01:15:03.515000,0 days 01:15:33.937000,254.0,195.0,210.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:01.841000,2019-11-02 21:59:02.843,1,,False,,False,True,0 days 00:00:00.067000,0.067,#0600ef
0 days 01:15:54.598000,LEC,16,0 days 00:01:32.137000,18.0,6.0,,,0 days 00:00:24.574000,0 days 00:00:36.989000,0 days 00:00:30.574000,0 days 01:14:47.035000,0 days 01:15:24.024000,0 days 01:15:54.598000,245.0,197.0,212.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:22.461000,2019-11-02 21:59:23.463,1,,False,,False,True,0 days 00:00:00.108000,0.108,#dc0000
0 days 01:07:23.903000,HAM,44,0 days 00:01:32.321000,14.0,4.0,,,0 days 00:00:24.652000,0 days 00:00:36.866000,0 days 00:00:30.803000,0 days 01:06:16.234000,0 days 01:06:53.100000,0 days 01:07:23.903000,246.0,197.0,215.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:51.582000,2019-11-02 21:50:52.584,1,,False,,False,True,0 days 00:00:00.292000,0.292,#00d2be
0 days 01:08:14.725000,ALB,23,0 days 00:01:32.548000,10.0,3.0,,,0 days 00:00:24.847000,0 days 00:00:37.092000,0 days 00:00:30.609000,0 days 01:07:07.024000,0 days 01:07:44.116000,0 days 01:08:14.725000,245.0,196.0,215.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:42.177000,2019-11-02 21:51:43.179,1,,False,,False,True,0 days 00:00:00.519000,0.519,#0600ef
0 days 01:07:02.058000,SAI,55,0 days 00:01:32.847000,11.0,4.0,,,0 days 00:00:24.998000,0 days 00:00:37.104000,0 days 00:00:30.745000,0 days 01:05:54.209000,0 days 01:06:31.313000,0 days 01:07:02.058000,242.0,194.0,214.0,324.0,True,SOFT,2.0,True,McLaren,0 days 01:05:29.211000,2019-11-02 21:50:30.213,1,,False,,False,True,0 days 00:00:00.818000,0.818,#ff8700
0 days 01:15:09.917000,NOR,4,0 days 00:01:33.175000,17.0,6.0,,,0 days 00:00:24.945000,0 days 00:00:37.362000,0 days 00:00:30.868000,0 days 01:14:01.687000,0 days 01:14:39.049000,0 days 01:15:09.917000,246.0,195.0,212.0,321.0,True,SOFT,2.0,True,McLaren,0 days 01:13:36.742000,2019-11-02 21:58:37.744,1,,False,,False,True,0 days 00:00:01.146000,1.146,#ff8700
0 days 01:12:37.565000,RIC,3,0 days 00:01:33.488000,14.0,5.0,,,0 days 00:00:25.111000,0 days 00:00:37.293000,0 days 00:00:31.084000,0 days 01:11:29.188000,0 days 01:12:06.481000,0 days 01:12:37.565000,244.0,195.0,213.0,320.0,True,SOFT,2.0,True,Renault,0 days 01:11:04.077000,2019-11-02 21:56:05.079,1,,False,,False,True,0 days 00:00:01.459000,1.459,#0600ef
0 days 00:34:13.592000,GAS,10,0 days 00:01:33.556000,7.0,2.0,,,0 days 00:00:25.180000,0 days 00:00:37.282000,0 days 00:00:31.094000,0 days 00:33:05.216000,0 days 00:33:42.498000,0 days 00:34:13.592000,232.0,194.0,213.0,328.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:32:40.036000,2019-11-02 21:17:41.038,1,,False,,False,True,0 days 00:00:01.527000,1.527,#000000
