Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:39:26.450000,GAS,10,0 days 00:01:48.425000,3.0,1.0,,,0 days 00:00:38.855000,0 days 00:00:43.860000,0 days 00:00:25.710000,0 days 00:38:16.850000,0 days 00:39:00.710000,0 days 00:39:26.420000,198.0,204.0,320.0,316.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:37:38.025000,2019-04-28 12:17:38.272,1,18.0,False,,False,True,108.425
0 days 00:41:15.007000,GAS,10,0 days 00:01:48.557000,4.0,1.0,,,0 days 00:00:38.680000,0 days 00:00:44.791000,0 days 00:00:25.086000,0 days 00:40:05.100000,0 days 00:40:49.891000,0 days 00:41:14.977000,195.0,190.0,340.0,329.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:39:26.450000,2019-04-28 12:19:26.697,1,18.0,False,,False,True,108.557
0 days 00:46:48.978000,GAS,10,0 days 00:01:49.110000,7.0,1.0,,,0 days 00:00:39.209000,0 days 00:00:44.061000,0 days 00:00:25.840000,0 days 00:45:39.047000,0 days 00:46:23.108000,0 days 00:46:48.948000,201.0,210.0,312.0,312.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:44:59.868000,2019-04-28 12:25:00.115,1,12.0,False,,False,True,109.11
0 days 00:48:37.989000,GAS,10,0 days 00:01:49.011000,8.0,1.0,,,0 days 00:00:38.433000,0 days 00:00:44.054000,0 days 00:00:26.524000,0 days 00:47:27.381000,0 days 00:48:11.435000,0 days 00:48:37.959000,202.0,214.0,320.0,317.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:46:48.978000,2019-04-28 12:26:49.225,1,12.0,False,,False,True,109.011
0 days 00:54:09.671000,GAS,10,0 days 00:01:48.110000,11.0,1.0,,,0 days 00:00:38.551000,0 days 00:00:43.645000,0 days 00:00:25.914000,0 days 00:53:00.082000,0 days 00:53:43.727000,0 days 00:54:09.641000,203.0,213.0,308.0,311.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 00:52:21.561000,2019-04-28 12:32:21.808,1,7.0,False,,False,True,108.11
0 days 00:55:57.553000,GAS,10,0 days 00:01:47.882000,12.0,1.0,,,0 days 00:00:38.347000,0 days 00:00:43.758000,0 days 00:00:25.777000,0 days 00:54:47.988000,0 days 00:55:31.746000,0 days 00:55:57.523000,206.0,216.0,309.0,314.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 00:54:09.671000,2019-04-28 12:34:09.918,1,6.0,False,,False,True,107.882
0 days 00:57:45.099000,GAS,10,0 days 00:01:47.546000,13.0,1.0,,,0 days 00:00:38.300000,0 days 00:00:43.422000,0 days 00:00:25.824000,0 days 00:56:35.823000,0 days 00:57:19.245000,0 days 00:57:45.069000,207.0,215.0,314.0,312.0,True,MEDIUM,13.0,True,Red Bull Racing,0 days 00:55:57.553000,2019-04-28 12:35:57.800,1,6.0,False,,False,True,107.546
0 days 00:59:32.581000,GAS,10,0 days 00:01:47.482000,14.0,1.0,,,0 days 00:00:38.185000,0 days 00:00:43.347000,0 days 00:00:25.950000,0 days 00:58:23.254000,0 days 00:59:06.601000,0 days 00:59:32.551000,205.0,215.0,307.0,311.0,True,MEDIUM,14.0,True,Red Bull Racing,0 days 00:57:45.099000,2019-04-28 12:37:45.346,1,6.0,False,,False,True,107.482
0 days 01:01:20.600000,GAS,10,0 days 00:01:48.019000,15.0,1.0,,,0 days 00:00:38.602000,0 days 00:00:43.262000,0 days 00:00:26.155000,0 days 01:00:11.153000,0 days 01:00:54.415000,0 days 01:01:20.570000,,218.0,307.0,310.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 00:59:32.581000,2019-04-28 12:39:32.828,1,5.0,False,,False,True,108.019
0 days 01:03:08.179000,GAS,10,0 days 00:01:47.579000,16.0,1.0,,,0 days 00:00:38.345000,0 days 00:00:43.264000,0 days 00:00:25.970000,0 days 01:01:58.915000,0 days 01:02:42.179000,0 days 01:03:08.149000,206.0,211.0,306.0,311.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:01:20.600000,2019-04-28 12:41:20.847,1,5.0,False,,False,True,107.579
0 days 01:04:57.395000,GAS,10,0 days 00:01:49.216000,17.0,1.0,,,0 days 00:00:39.893000,0 days 00:00:43.638000,0 days 00:00:25.685000,0 days 01:03:48.042000,0 days 01:04:31.680000,0 days 01:04:57.365000,197.0,215.0,313.0,315.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:03:08.179000,2019-04-28 12:43:08.426,1,6.0,False,,False,True,109.216
0 days 01:06:44.965000,GAS,10,0 days 00:01:47.570000,18.0,1.0,,,0 days 00:00:38.199000,0 days 00:00:43.602000,0 days 00:00:25.769000,0 days 01:05:35.564000,0 days 01:06:19.166000,0 days 01:06:44.935000,202.0,214.0,314.0,313.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:04:57.395000,2019-04-28 12:44:57.642,1,6.0,False,,False,True,107.57
0 days 01:08:32.354000,GAS,10,0 days 00:01:47.389000,19.0,1.0,,,0 days 00:00:38.219000,0 days 00:00:43.399000,0 days 00:00:25.771000,0 days 01:07:23.154000,0 days 01:08:06.553000,0 days 01:08:32.324000,204.0,212.0,311.0,313.0,True,MEDIUM,19.0,True,Red Bull Racing,0 days 01:06:44.965000,2019-04-28 12:46:45.212,1,6.0,False,,False,True,107.389
0 days 01:10:19.373000,GAS,10,0 days 00:01:47.019000,20.0,1.0,,,0 days 00:00:38.004000,0 days 00:00:43.227000,0 days 00:00:25.788000,0 days 01:09:10.328000,0 days 01:09:53.555000,0 days 01:10:19.343000,206.0,217.0,314.0,313.0,True,MEDIUM,20.0,True,Red Bull Racing,0 days 01:08:32.354000,2019-04-28 12:48:32.601,1,6.0,False,,False,True,107.019
