Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:37:06,GAS,10,0 days 00:01:17.954000,3.0,1.0,,,0 days 00:00:21.941000,0 days 00:00:24.957000,0 days 00:00:31.056000,0 days 00:36:09.963000,0 days 00:36:34.920000,0 days 00:37:05.976000,,281.0,287.0,322.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:35:48.046000,2019-06-09 18:15:48.124,1,5.0,False,,False,True,77.954
0 days 00:38:23.767000,GAS,10,0 days 00:01:17.767000,4.0,1.0,,,0 days 00:00:21.710000,0 days 00:00:24.903000,0 days 00:00:31.154000,0 days 00:37:27.686000,0 days 00:37:52.589000,0 days 00:38:23.743000,247.0,280.0,279.0,308.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:06,2019-06-09 18:17:06.078,1,5.0,False,,False,True,77.767
0 days 00:39:41.812000,GAS,10,0 days 00:01:18.045000,5.0,1.0,,,0 days 00:00:21.774000,0 days 00:00:25.084000,0 days 00:00:31.187000,0 days 00:38:45.517000,0 days 00:39:10.601000,0 days 00:39:41.788000,249.0,280.0,286.0,320.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:38:23.767000,2019-06-09 18:18:23.845,1,5.0,False,,False,True,78.045
0 days 00:45:11.299000,GAS,10,0 days 00:01:17.218000,9.0,2.0,,,0 days 00:00:21.589000,0 days 00:00:24.746000,0 days 00:00:30.883000,0 days 00:44:15.646000,0 days 00:44:40.392000,0 days 00:45:11.275000,,282.0,285.0,332.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:43:54.081000,2019-06-09 18:23:54.159,2,12.0,False,,False,True,77.218
0 days 00:49:07.563000,GAS,10,0 days 00:01:18.148000,12.0,2.0,,,0 days 00:00:21.901000,0 days 00:00:25.056000,0 days 00:00:31.191000,0 days 00:48:11.292000,0 days 00:48:36.348000,0 days 00:49:07.539000,239.0,280.0,280.0,307.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:47:49.415000,2019-06-09 18:27:49.493,2,9.0,False,,False,True,78.148
0 days 00:50:25.661000,GAS,10,0 days 00:01:18.098000,13.0,2.0,,,0 days 00:00:22.052000,0 days 00:00:24.841000,0 days 00:00:31.205000,0 days 00:49:29.591000,0 days 00:49:54.432000,0 days 00:50:25.637000,246.0,281.0,280.0,307.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:49:07.563000,2019-06-09 18:29:07.641,2,9.0,False,,False,True,78.098
0 days 00:51:43.100000,GAS,10,0 days 00:01:17.439000,14.0,2.0,,,0 days 00:00:21.742000,0 days 00:00:24.902000,0 days 00:00:30.795000,0 days 00:50:47.379000,0 days 00:51:12.281000,0 days 00:51:43.076000,248.0,281.0,290.0,325.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:50:25.661000,2019-06-09 18:30:25.739,1,9.0,False,,False,True,77.439
0 days 00:53:01.264000,GAS,10,0 days 00:01:18.164000,15.0,2.0,,,0 days 00:00:22.258000,0 days 00:00:25.047000,0 days 00:00:30.859000,0 days 00:52:05.334000,0 days 00:52:30.381000,0 days 00:53:01.240000,247.0,279.0,289.0,324.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:51:43.100000,2019-06-09 18:31:43.178,1,9.0,False,,False,True,78.164
0 days 00:54:19.111000,GAS,10,0 days 00:01:17.847000,16.0,2.0,,,0 days 00:00:22.073000,0 days 00:00:24.798000,0 days 00:00:30.976000,0 days 00:53:23.313000,0 days 00:53:48.111000,0 days 00:54:19.087000,250.0,281.0,288.0,322.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:53:01.264000,2019-06-09 18:33:01.342,1,9.0,False,,False,True,77.847
0 days 00:55:37.130000,GAS,10,0 days 00:01:18.019000,17.0,2.0,,,0 days 00:00:22.043000,0 days 00:00:24.809000,0 days 00:00:31.167000,0 days 00:54:41.130000,0 days 00:55:05.939000,0 days 00:55:37.106000,251.0,279.0,287.0,327.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:54:19.111000,2019-06-09 18:34:19.189,1,9.0,False,,False,True,78.019
