Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 02:01:52.699000,GAS,10,0 days 00:01:21.700000,48.0,5.0,,,0 days 00:00:18.249000,0 days 00:00:38.442000,0 days 00:00:25.009000,0 days 02:00:49.248000,0 days 02:01:27.690000,0 days 02:01:52.699000,214.0,258.0,266.0,311.0,True,SOFT,5.0,False,Red Bull Racing,0 days 02:00:30.999000,2019-07-28 14:40:31.161,1,8.0,False,,False,True,81.7
0 days 02:03:11.831000,GAS,10,0 days 00:01:19.132000,49.0,5.0,,,0 days 00:00:17.386000,0 days 00:00:37.208000,0 days 00:00:24.538000,0 days 02:02:10.085000,0 days 02:02:47.293000,0 days 02:03:11.831000,195.0,259.0,269.0,327.0,True,SOFT,6.0,False,Red Bull Racing,0 days 02:01:52.699000,2019-07-28 14:41:52.861,1,8.0,False,,False,True,79.132
0 days 02:04:32.515000,GAS,10,0 days 00:01:20.684000,50.0,5.0,,,0 days 00:00:18.601000,0 days 00:00:37.370000,0 days 00:00:24.713000,0 days 02:03:30.432000,0 days 02:04:07.802000,0 days 02:04:32.515000,213.0,257.0,269.0,304.0,False,SOFT,7.0,False,Red Bull Racing,0 days 02:03:11.831000,2019-07-28 14:43:11.993,1,8.0,False,,False,True,80.684
0 days 02:05:53.198000,GAS,10,0 days 00:01:20.683000,51.0,5.0,,,0 days 00:00:18.566000,0 days 00:00:37.348000,0 days 00:00:24.769000,0 days 02:04:51.081000,0 days 02:05:28.429000,0 days 02:05:53.198000,211.0,258.0,268.0,328.0,False,SOFT,8.0,False,Red Bull Racing,0 days 02:04:32.515000,2019-07-28 14:44:32.677,1,9.0,False,,False,True,80.683
0 days 02:07:11.441000,GAS,10,0 days 00:01:18.243000,52.0,5.0,,,0 days 00:00:17.528000,0 days 00:00:36.621000,0 days 00:00:24.094000,0 days 02:06:10.726000,0 days 02:06:47.347000,0 days 02:07:11.441000,210.0,258.0,268.0,327.0,True,SOFT,9.0,False,Red Bull Racing,0 days 02:05:53.198000,2019-07-28 14:45:53.360,1,8.0,False,,False,True,78.243
0 days 02:08:30.662000,GAS,10,0 days 00:01:19.221000,53.0,5.0,,,0 days 00:00:18.107000,0 days 00:00:37.074000,0 days 00:00:24.040000,0 days 02:07:29.548000,0 days 02:08:06.622000,0 days 02:08:30.662000,209.0,259.0,268.0,304.0,False,SOFT,10.0,False,Red Bull Racing,0 days 02:07:11.441000,2019-07-28 14:47:11.603,2,8.0,False,,False,True,79.221
0 days 02:09:51.258000,GAS,10,0 days 00:01:20.596000,54.0,5.0,,,0 days 00:00:19.708000,0 days 00:00:37.006000,0 days 00:00:23.882000,0 days 02:08:50.370000,0 days 02:09:27.376000,0 days 02:09:51.258000,194.0,259.0,266.0,302.0,False,SOFT,11.0,False,Red Bull Racing,0 days 02:08:30.662000,2019-07-28 14:48:30.824,1,8.0,False,,False,True,80.596
0 days 02:11:09.642000,GAS,10,0 days 00:01:18.384000,55.0,5.0,,,0 days 00:00:17.737000,0 days 00:00:37.011000,0 days 00:00:23.636000,0 days 02:10:08.995000,0 days 02:10:46.006000,0 days 02:11:09.642000,213.0,259.0,268.0,302.0,False,SOFT,12.0,False,Red Bull Racing,0 days 02:09:51.258000,2019-07-28 14:49:51.420,1,8.0,False,,False,True,78.384
0 days 02:12:27.137000,GAS,10,0 days 00:01:17.495000,56.0,5.0,,,0 days 00:00:17.401000,0 days 00:00:36.449000,0 days 00:00:23.645000,0 days 02:11:27.043000,0 days 02:12:03.492000,0 days 02:12:27.137000,,261.0,268.0,307.0,True,SOFT,13.0,False,Red Bull Racing,0 days 02:11:09.642000,2019-07-28 14:51:09.804,2,8.0,False,,False,True,77.495
0 days 02:19:28.376000,GAS,10,0 days 00:01:19.611000,60.0,5.0,,,0 days 00:00:17.568000,0 days 00:00:37.902000,0 days 00:00:24.141000,0 days 02:18:26.333000,0 days 02:19:04.235000,0 days 02:19:28.376000,208.0,257.0,271.0,320.0,False,SOFT,17.0,False,Red Bull Racing,0 days 02:18:08.765000,2019-07-28 14:58:08.927,1,7.0,False,,False,False,79.611
0 days 02:20:46.564000,GAS,10,0 days 00:01:18.188000,61.0,5.0,,,0 days 00:00:17.164000,0 days 00:00:36.877000,0 days 00:00:24.147000,0 days 02:19:45.540000,0 days 02:20:22.417000,0 days 02:20:46.564000,212.0,261.0,269.0,315.0,False,SOFT,18.0,False,Red Bull Racing,0 days 02:19:28.376000,2019-07-28 14:59:28.538,1,7.0,False,,False,True,78.188
0 days 02:03:00.222000,STR,18,0 days 00:01:20.543000,49.0,6.0,,,0 days 00:00:17.981000,0 days 00:00:37.709000,0 days 00:00:24.853000,0 days 02:01:57.660000,0 days 02:02:35.369000,0 days 02:03:00.222000,191.0,253.0,260.0,304.0,True,SOFT,5.0,True,Racing Point,0 days 02:01:39.679000,2019-07-28 14:41:39.841,1,2.0,False,,False,True,80.543
0 days 02:05:43.535000,STR,18,0 days 00:01:21.061000,51.0,6.0,,,0 days 00:00:18.113000,0 days 00:00:38.036000,0 days 00:00:24.912000,0 days 02:04:40.587000,0 days 02:05:18.623000,0 days 02:05:43.535000,203.0,255.0,262.0,318.0,False,SOFT,7.0,True,Racing Point,0 days 02:04:22.474000,2019-07-28 14:44:22.636,1,3.0,False,,False,True,81.061
0 days 02:07:02.978000,STR,18,0 days 00:01:19.443000,52.0,6.0,,,0 days 00:00:17.549000,0 days 00:00:37.167000,0 days 00:00:24.727000,0 days 02:06:01.084000,0 days 02:06:38.251000,0 days 02:07:02.978000,211.0,251.0,262.0,306.0,True,SOFT,8.0,True,Racing Point,0 days 02:05:43.535000,2019-07-28 14:45:43.697,1,3.0,False,,False,True,79.443
0 days 02:08:21.794000,STR,18,0 days 00:01:18.816000,53.0,6.0,,,0 days 00:00:17.375000,0 days 00:00:37.140000,0 days 00:00:24.301000,0 days 02:07:20.353000,0 days 02:07:57.493000,0 days 02:08:21.794000,,255.0,263.0,308.0,True,SOFT,9.0,True,Racing Point,0 days 02:07:02.978000,2019-07-28 14:47:03.140,2,3.0,False,,False,True,78.816
0 days 02:09:40.108000,STR,18,0 days 00:01:18.314000,54.0,6.0,,,0 days 00:00:17.189000,0 days 00:00:36.929000,0 days 00:00:24.196000,0 days 02:08:38.983000,0 days 02:09:15.912000,0 days 02:09:40.108000,,258.0,263.0,306.0,True,SOFT,10.0,True,Racing Point,0 days 02:08:21.794000,2019-07-28 14:48:21.956,1,3.0,False,,False,True,78.314
