Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:36:52.055000,GAS,10,0 days 00:01:37.074000,2.0,1.0,,,0 days 00:00:35.211000,0 days 00:00:43.239000,0 days 00:00:18.624000,0 days 00:35:50.177000,0 days 00:36:33.416000,0 days 00:36:52.040000,260.0,306.0,256.0,303.0,True,SOFT,5.0,False,Toro Rosso,0 days 00:35:14.981000,2019-10-13 05:15:15.304,1,8.0,False,,False,True,97.074
0 days 00:38:28.736000,GAS,10,0 days 00:01:36.681000,3.0,1.0,,,0 days 00:00:34.801000,0 days 00:00:43.199000,0 days 00:00:18.681000,0 days 00:37:26.841000,0 days 00:38:10.040000,0 days 00:38:28.721000,264.0,304.0,256.0,302.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:36:52.055000,2019-10-13 05:16:52.378,1,8.0,False,,False,True,96.681
0 days 00:40:05.149000,GAS,10,0 days 00:01:36.413000,4.0,1.0,,,0 days 00:00:34.769000,0 days 00:00:43.045000,0 days 00:00:18.599000,0 days 00:39:03.490000,0 days 00:39:46.535000,0 days 00:40:05.134000,,303.0,256.0,303.0,True,SOFT,7.0,False,Toro Rosso,0 days 00:38:28.736000,2019-10-13 05:18:29.059,2,6.0,False,,False,True,96.413
0 days 00:41:41.469000,GAS,10,0 days 00:01:36.320000,5.0,1.0,,,0 days 00:00:34.697000,0 days 00:00:43.019000,0 days 00:00:18.604000,0 days 00:40:39.831000,0 days 00:41:22.850000,0 days 00:41:41.454000,262.0,302.0,256.0,300.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:40:05.149000,2019-10-13 05:20:05.472,1,6.0,False,,False,True,96.32
0 days 00:43:17.382000,GAS,10,0 days 00:01:35.913000,6.0,1.0,,,0 days 00:00:34.497000,0 days 00:00:42.873000,0 days 00:00:18.543000,0 days 00:42:15.951000,0 days 00:42:58.824000,0 days 00:43:17.367000,264.0,303.0,257.0,303.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:41:41.469000,2019-10-13 05:21:41.792,1,6.0,False,,False,True,95.913
0 days 00:44:53.493000,GAS,10,0 days 00:01:36.111000,7.0,1.0,,,0 days 00:00:34.459000,0 days 00:00:43.107000,0 days 00:00:18.545000,0 days 00:43:51.826000,0 days 00:44:34.933000,0 days 00:44:53.478000,263.0,304.0,259.0,304.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:43:17.382000,2019-10-13 05:23:17.705,1,6.0,False,,False,True,96.111
0 days 00:46:29.768000,GAS,10,0 days 00:01:36.275000,8.0,1.0,,,0 days 00:00:34.612000,0 days 00:00:43.139000,0 days 00:00:18.524000,0 days 00:45:28.090000,0 days 00:46:11.229000,0 days 00:46:29.753000,,304.0,258.0,302.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:44:53.493000,2019-10-13 05:24:53.816,1,6.0,False,,False,True,96.275
0 days 00:48:06.174000,GAS,10,0 days 00:01:36.406000,9.0,1.0,,,0 days 00:00:34.746000,0 days 00:00:43.111000,0 days 00:00:18.549000,0 days 00:47:04.499000,0 days 00:47:47.610000,0 days 00:48:06.159000,265.0,303.0,257.0,302.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:46:29.768000,2019-10-13 05:26:30.091,1,6.0,False,,False,True,96.406
0 days 00:49:42.399000,GAS,10,0 days 00:01:36.225000,10.0,1.0,,,0 days 00:00:34.565000,0 days 00:00:43.093000,0 days 00:00:18.567000,0 days 00:48:40.724000,0 days 00:49:23.817000,0 days 00:49:42.384000,263.0,302.0,257.0,302.0,False,SOFT,13.0,False,Toro Rosso,0 days 00:48:06.174000,2019-10-13 05:28:06.497,1,6.0,False,,False,True,96.225
0 days 00:51:18.912000,GAS,10,0 days 00:01:36.513000,11.0,1.0,,,0 days 00:00:34.700000,0 days 00:00:43.099000,0 days 00:00:18.714000,0 days 00:50:17.084000,0 days 00:51:00.183000,0 days 00:51:18.897000,264.0,303.0,255.0,303.0,False,SOFT,14.0,False,Toro Rosso,0 days 00:49:42.399000,2019-10-13 05:29:42.722,1,6.0,False,,False,True,96.513
0 days 00:52:55.285000,GAS,10,0 days 00:01:36.373000,12.0,1.0,,,0 days 00:00:34.582000,0 days 00:00:43.218000,0 days 00:00:18.573000,0 days 00:51:53.479000,0 days 00:52:36.697000,0 days 00:52:55.270000,272.0,303.0,257.0,302.0,False,SOFT,15.0,False,Toro Rosso,0 days 00:51:18.912000,2019-10-13 05:31:19.235,1,6.0,False,,False,True,96.373
0 days 00:54:31.817000,GAS,10,0 days 00:01:36.532000,13.0,1.0,,,0 days 00:00:34.700000,0 days 00:00:43.094000,0 days 00:00:18.738000,0 days 00:53:29.970000,0 days 00:54:13.064000,0 days 00:54:31.802000,273.0,302.0,258.0,301.0,False,SOFT,16.0,False,Toro Rosso,0 days 00:52:55.285000,2019-10-13 05:32:55.608,1,6.0,False,,False,True,96.532
0 days 00:56:08.211000,GAS,10,0 days 00:01:36.394000,14.0,1.0,,,0 days 00:00:34.633000,0 days 00:00:43.196000,0 days 00:00:18.565000,0 days 00:55:06.435000,0 days 00:55:49.631000,0 days 00:56:08.196000,269.0,302.0,260.0,302.0,False,SOFT,17.0,False,Toro Rosso,0 days 00:54:31.817000,2019-10-13 05:34:32.140,1,6.0,False,,False,True,96.394
0 days 00:57:44.964000,GAS,10,0 days 00:01:36.753000,15.0,1.0,,,0 days 00:00:34.754000,0 days 00:00:43.215000,0 days 00:00:18.784000,0 days 00:56:42.950000,0 days 00:57:26.165000,0 days 00:57:44.949000,273.0,302.0,257.0,300.0,False,SOFT,18.0,False,Toro Rosso,0 days 00:56:08.211000,2019-10-13 05:36:08.534,1,6.0,False,,False,True,96.753
