Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:35:24.797000,HAM,44,0 days 00:01:17.129000,2.0,1.0,,,0 days 00:00:20.352000,0 days 00:00:36.147000,0 days 00:00:20.630000,0 days 00:34:28.020000,0 days 00:35:04.167000,0 days 00:35:24.797000,190.0,190.0,257.0,274.0,True,SOFT,7.0,False,Mercedes,0 days 00:34:07.668000,2019-05-26 13:14:08.128,1,1.0,False,,False,True,77.129
0 days 00:36:41.517000,HAM,44,0 days 00:01:16.720000,3.0,1.0,,,0 days 00:00:20.135000,0 days 00:00:36.193000,0 days 00:00:20.392000,0 days 00:35:44.932000,0 days 00:36:21.125000,0 days 00:36:41.517000,197.0,190.0,256.0,274.0,True,SOFT,8.0,False,Mercedes,0 days 00:35:24.797000,2019-05-26 13:15:25.257,1,1.0,False,,False,True,76.72
0 days 00:37:57.872000,HAM,44,0 days 00:01:16.355000,4.0,1.0,,,0 days 00:00:20.100000,0 days 00:00:35.917000,0 days 00:00:20.338000,0 days 00:37:01.617000,0 days 00:37:37.534000,0 days 00:37:57.872000,192.0,189.0,256.0,275.0,True,SOFT,9.0,False,Mercedes,0 days 00:36:41.517000,2019-05-26 13:16:41.977,1,1.0,False,,False,True,76.355
0 days 00:39:14.583000,HAM,44,0 days 00:01:16.711000,5.0,1.0,,,0 days 00:00:20.097000,0 days 00:00:36.078000,0 days 00:00:20.536000,0 days 00:38:17.969000,0 days 00:38:54.047000,0 days 00:39:14.583000,207.0,187.0,256.0,275.0,False,SOFT,10.0,False,Mercedes,0 days 00:37:57.872000,2019-05-26 13:17:58.332,1,1.0,False,,False,True,76.711
0 days 00:40:31.252000,HAM,44,0 days 00:01:16.669000,6.0,1.0,,,0 days 00:00:20.129000,0 days 00:00:35.993000,0 days 00:00:20.547000,0 days 00:39:34.712000,0 days 00:40:10.705000,0 days 00:40:31.252000,198.0,193.0,256.0,275.0,False,SOFT,11.0,False,Mercedes,0 days 00:39:14.583000,2019-05-26 13:19:15.043,2,1.0,False,,False,True,76.669
0 days 00:41:47.711000,HAM,44,0 days 00:01:16.459000,7.0,1.0,,,0 days 00:00:20.097000,0 days 00:00:35.946000,0 days 00:00:20.416000,0 days 00:40:51.349000,0 days 00:41:27.295000,0 days 00:41:47.711000,200.0,190.0,256.0,273.0,False,SOFT,12.0,False,Mercedes,0 days 00:40:31.252000,2019-05-26 13:20:31.712,1,1.0,False,,False,True,76.459
0 days 00:43:04.009000,HAM,44,0 days 00:01:16.298000,8.0,1.0,,,0 days 00:00:20.128000,0 days 00:00:35.823000,0 days 00:00:20.347000,0 days 00:42:07.839000,0 days 00:42:43.662000,0 days 00:43:04.009000,,195.0,256.0,273.0,True,SOFT,13.0,False,Mercedes,0 days 00:41:47.711000,2019-05-26 13:21:48.171,1,1.0,False,,False,True,76.298
0 days 00:44:20.176000,HAM,44,0 days 00:01:16.167000,9.0,1.0,,,0 days 00:00:19.995000,0 days 00:00:35.895000,0 days 00:00:20.277000,0 days 00:43:24.004000,0 days 00:43:59.899000,0 days 00:44:20.176000,193.0,196.0,256.0,274.0,True,SOFT,14.0,False,Mercedes,0 days 00:43:04.009000,2019-05-26 13:23:04.469,2,1.0,False,,False,True,76.167
0 days 00:45:37.410000,HAM,44,0 days 00:01:17.234000,10.0,1.0,,,0 days 00:00:19.763000,0 days 00:00:36.385000,0 days 00:00:21.086000,0 days 00:44:39.939000,0 days 00:45:16.324000,0 days 00:45:37.410000,202.0,186.0,256.0,276.0,False,SOFT,15.0,False,Mercedes,0 days 00:44:20.176000,2019-05-26 13:24:20.636,2,1.0,False,,False,True,77.234
0 days 00:57:16.782000,HAM,44,0 days 00:01:19.297000,17.0,2.0,,,0 days 00:00:21.161000,0 days 00:00:36.825000,0 days 00:00:21.311000,0 days 00:56:18.646000,0 days 00:56:55.471000,0 days 00:57:16.782000,180.0,186.0,255.0,275.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:55:57.485000,2019-05-26 13:35:57.945,1,1.0,False,,False,True,79.297
