Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:42:39.954000,HAM,44,0 days 00:01:41.051000,4.0,1.0,,,0 days 00:00:36.238000,0 days 00:00:35.112000,0 days 00:00:29.701000,0 days 00:41:35.136000,0 days 00:42:10.248000,0 days 00:42:39.949000,235.0,295.0,164.0,300.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:40:58.903000,2019-09-29 11:20:59.195,1,3.0,False,,False,False,101.051
0 days 00:44:20.079000,HAM,44,0 days 00:01:40.125000,5.0,1.0,,,0 days 00:00:35.940000,0 days 00:00:34.842000,0 days 00:00:29.343000,0 days 00:43:15.889000,0 days 00:43:50.731000,0 days 00:44:20.074000,245.0,293.0,165.0,289.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:42:39.954000,2019-09-29 11:22:40.246,1,3.0,False,,False,True,100.125
0 days 00:46:00.047000,HAM,44,0 days 00:01:39.968000,6.0,1.0,,,0 days 00:00:36.039000,0 days 00:00:34.705000,0 days 00:00:29.224000,0 days 00:44:56.113000,0 days 00:45:30.818000,0 days 00:46:00.042000,253.0,290.0,161.0,294.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:44:20.079000,2019-09-29 11:24:20.371,1,3.0,False,,False,True,99.968
0 days 00:47:39.628000,HAM,44,0 days 00:01:39.581000,7.0,1.0,,,0 days 00:00:35.836000,0 days 00:00:34.404000,0 days 00:00:29.341000,0 days 00:46:35.878000,0 days 00:47:10.282000,0 days 00:47:39.623000,259.0,296.0,165.0,288.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:46:00.047000,2019-09-29 11:26:00.339,1,3.0,False,,False,True,99.581
0 days 00:49:19.010000,HAM,44,0 days 00:01:39.382000,8.0,1.0,,,0 days 00:00:35.670000,0 days 00:00:34.345000,0 days 00:00:29.367000,0 days 00:48:15.293000,0 days 00:48:49.638000,0 days 00:49:19.005000,,294.0,158.0,295.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:47:39.628000,2019-09-29 11:27:39.920,1,3.0,False,,False,True,99.382
0 days 00:50:58.201000,HAM,44,0 days 00:01:39.191000,9.0,1.0,,,0 days 00:00:35.686000,0 days 00:00:34.414000,0 days 00:00:29.091000,0 days 00:49:54.691000,0 days 00:50:29.105000,0 days 00:50:58.196000,258.0,294.0,164.0,293.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:49:19.010000,2019-09-29 11:29:19.302,1,3.0,False,,False,True,99.191
0 days 00:52:38.526000,HAM,44,0 days 00:01:40.325000,10.0,1.0,,,0 days 00:00:35.603000,0 days 00:00:35.443000,0 days 00:00:29.279000,0 days 00:51:33.799000,0 days 00:52:09.242000,0 days 00:52:38.521000,259.0,296.0,165.0,295.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:50:58.201000,2019-09-29 11:30:58.493,1,3.0,False,,False,True,100.325
0 days 00:54:17.861000,HAM,44,0 days 00:01:39.335000,11.0,1.0,,,0 days 00:00:35.696000,0 days 00:00:34.500000,0 days 00:00:29.139000,0 days 00:53:14.217000,0 days 00:53:48.717000,0 days 00:54:17.856000,258.0,292.0,160.0,,False,MEDIUM,14.0,False,Mercedes,0 days 00:52:38.526000,2019-09-29 11:32:38.818,1,3.0,False,,False,True,99.335
0 days 00:55:57.107000,HAM,44,0 days 00:01:39.246000,12.0,1.0,,,0 days 00:00:35.748000,0 days 00:00:34.426000,0 days 00:00:29.072000,0 days 00:54:53.604000,0 days 00:55:28.030000,0 days 00:55:57.102000,,296.0,164.0,292.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:54:17.861000,2019-09-29 11:34:18.153,1,3.0,False,,False,True,99.246
0 days 00:57:35.737000,HAM,44,0 days 00:01:38.630000,13.0,1.0,,,0 days 00:00:35.491000,0 days 00:00:34.227000,0 days 00:00:28.912000,0 days 00:56:32.593000,0 days 00:57:06.820000,0 days 00:57:35.732000,259.0,295.0,162.0,295.0,True,MEDIUM,16.0,False,Mercedes,0 days 00:55:57.107000,2019-09-29 11:35:57.399,1,3.0,False,,False,True,98.63
0 days 00:59:14.270000,HAM,44,0 days 00:01:38.533000,14.0,1.0,,,0 days 00:00:35.514000,0 days 00:00:34.153000,0 days 00:00:28.866000,0 days 00:58:11.246000,0 days 00:58:45.399000,0 days 00:59:14.265000,257.0,295.0,164.0,,True,MEDIUM,17.0,False,Mercedes,0 days 00:57:35.737000,2019-09-29 11:37:36.029,1,3.0,False,,False,True,98.533
0 days 01:00:52.589000,HAM,44,0 days 00:01:38.319000,15.0,1.0,,,0 days 00:00:35.383000,0 days 00:00:34.073000,0 days 00:00:28.863000,0 days 00:59:49.648000,0 days 01:00:23.721000,0 days 01:00:52.584000,261.0,295.0,165.0,296.0,True,MEDIUM,18.0,False,Mercedes,0 days 00:59:14.270000,2019-09-29 11:39:14.562,1,3.0,False,,False,True,98.319
0 days 01:02:31.090000,HAM,44,0 days 00:01:38.501000,16.0,1.0,,,0 days 00:00:35.369000,0 days 00:00:34.199000,0 days 00:00:28.933000,0 days 01:01:27.953000,0 days 01:02:02.152000,0 days 01:02:31.085000,260.0,296.0,163.0,,False,MEDIUM,19.0,False,Mercedes,0 days 01:00:52.589000,2019-09-29 11:40:52.881,1,3.0,False,,False,True,98.501
0 days 01:04:10.082000,HAM,44,0 days 00:01:38.992000,17.0,1.0,,,0 days 00:00:35.719000,0 days 00:00:34.289000,0 days 00:00:28.984000,0 days 01:03:06.804000,0 days 01:03:41.093000,0 days 01:04:10.077000,257.0,296.0,162.0,297.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:02:31.090000,2019-09-29 11:42:31.382,1,3.0,False,,False,True,98.992
0 days 01:05:48.466000,HAM,44,0 days 00:01:38.384000,18.0,1.0,,,0 days 00:00:35.472000,0 days 00:00:34.071000,0 days 00:00:28.841000,0 days 01:04:45.549000,0 days 01:05:19.620000,0 days 01:05:48.461000,259.0,295.0,164.0,,False,MEDIUM,21.0,False,Mercedes,0 days 01:04:10.082000,2019-09-29 11:44:10.374,1,3.0,False,,False,True,98.384
0 days 01:07:26.957000,HAM,44,0 days 00:01:38.491000,19.0,1.0,,,0 days 00:00:35.451000,0 days 00:00:34.169000,0 days 00:00:28.871000,0 days 01:06:23.912000,0 days 01:06:58.081000,0 days 01:07:26.952000,261.0,296.0,163.0,295.0,False,MEDIUM,22.0,False,Mercedes,0 days 01:05:48.466000,2019-09-29 11:45:48.758,1,3.0,False,,False,True,98.491
