Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:44:50.769000,GAS,10,0 days 00:01:49.258000,6.0,1.0,,,0 days 00:00:29.487000,0 days 00:00:42.372000,0 days 00:00:37.399000,0 days 00:43:30.984000,0 days 00:44:13.356000,0 days 00:44:50.755000,293.0,262.0,241.0,,True,HARD,6.0,True,Toro Rosso,0 days 00:43:01.511000,2019-09-22 12:23:02.479,1,10.0,False,,False,True,109.258
0 days 00:46:39.770000,GAS,10,0 days 00:01:49.001000,7.0,1.0,,,0 days 00:00:29.441000,0 days 00:00:42.381000,0 days 00:00:37.179000,0 days 00:45:20.196000,0 days 00:46:02.577000,0 days 00:46:39.756000,292.0,264.0,242.0,283.0,True,HARD,7.0,True,Toro Rosso,0 days 00:44:50.769000,2019-09-22 12:24:51.737,1,10.0,False,,False,True,109.001
0 days 00:53:58.395000,GAS,10,0 days 00:01:49.147000,11.0,1.0,,,0 days 00:00:29.461000,0 days 00:00:42.309000,0 days 00:00:37.377000,0 days 00:52:38.695000,0 days 00:53:21.004000,0 days 00:53:58.381000,283.0,261.0,246.0,282.0,False,HARD,11.0,True,Toro Rosso,0 days 00:52:09.248000,2019-09-22 12:32:10.216,1,10.0,False,,False,True,109.147
0 days 00:55:47.824000,GAS,10,0 days 00:01:49.429000,12.0,1.0,,,0 days 00:00:29.401000,0 days 00:00:42.814000,0 days 00:00:37.214000,0 days 00:54:27.782000,0 days 00:55:10.596000,0 days 00:55:47.810000,308.0,260.0,246.0,285.0,False,HARD,12.0,True,Toro Rosso,0 days 00:53:58.395000,2019-09-22 12:33:59.363,1,10.0,False,,False,True,109.429
0 days 00:59:27.193000,GAS,10,0 days 00:01:49.375000,14.0,1.0,,,0 days 00:00:29.515000,0 days 00:00:42.404000,0 days 00:00:37.456000,0 days 00:58:07.319000,0 days 00:58:49.723000,0 days 00:59:27.179000,,262.0,245.0,285.0,False,HARD,14.0,True,Toro Rosso,0 days 00:57:37.818000,2019-09-22 12:37:38.786,1,10.0,False,,False,True,109.375
0 days 01:03:05.647000,GAS,10,0 days 00:01:48.961000,16.0,1.0,,,0 days 00:00:29.451000,0 days 00:00:42.415000,0 days 00:00:37.095000,0 days 01:01:46.123000,0 days 01:02:28.538000,0 days 01:03:05.633000,291.0,264.0,247.0,284.0,True,HARD,16.0,True,Toro Rosso,0 days 01:01:16.686000,2019-09-22 12:41:17.654,1,10.0,False,,False,True,108.961
0 days 01:04:54.911000,GAS,10,0 days 00:01:49.264000,17.0,1.0,,,0 days 00:00:29.244000,0 days 00:00:42.735000,0 days 00:00:37.285000,0 days 01:03:34.877000,0 days 01:04:17.612000,0 days 01:04:54.897000,307.0,264.0,245.0,296.0,False,HARD,17.0,True,Toro Rosso,0 days 01:03:05.647000,2019-09-22 12:43:06.615,1,10.0,False,,False,True,109.264
0 days 01:08:32.133000,GAS,10,0 days 00:01:47.417000,19.0,1.0,,,0 days 00:00:29.146000,0 days 00:00:41.737000,0 days 00:00:36.534000,0 days 01:07:13.848000,0 days 01:07:55.585000,0 days 01:08:32.119000,290.0,262.0,242.0,295.0,True,HARD,19.0,True,Toro Rosso,0 days 01:06:44.716000,2019-09-22 12:46:45.684,1,9.0,False,,False,True,107.417
0 days 01:10:21.062000,GAS,10,0 days 00:01:48.929000,20.0,1.0,,,0 days 00:00:29.685000,0 days 00:00:42.205000,0 days 00:00:37.039000,0 days 01:09:01.804000,0 days 01:09:44.009000,0 days 01:10:21.048000,292.0,260.0,243.0,283.0,False,HARD,20.0,True,Toro Rosso,0 days 01:08:32.133000,2019-09-22 12:48:33.101,1,5.0,False,,False,True,108.929
0 days 01:12:08.944000,GAS,10,0 days 00:01:47.882000,21.0,1.0,,,0 days 00:00:29.413000,0 days 00:00:41.835000,0 days 00:00:36.634000,0 days 01:10:50.461000,0 days 01:11:32.296000,0 days 01:12:08.930000,290.0,259.0,246.0,282.0,False,HARD,21.0,True,Toro Rosso,0 days 01:10:21.062000,2019-09-22 12:50:22.030,1,4.0,False,,False,True,107.882
