Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:14:52.116000,BOT,77,0 days 00:01:25.154000,19.0,6.0,,,0 days 00:00:27.334000,0 days 00:00:34.470000,0 days 00:00:23.350000,0 days 01:13:54.296000,0 days 01:14:28.766000,0 days 01:14:52.116000,318.0,277.0,254.0,331.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:13:26.962000,2020-08-08 13:58:27.000,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:14:45.244000,HAM,44,0 days 00:01:25.217000,19.0,6.0,,,0 days 00:00:27.334000,0 days 00:00:34.548000,0 days 00:00:23.335000,0 days 01:13:47.361000,0 days 01:14:21.909000,0 days 01:14:45.244000,317.0,278.0,250.0,328.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:13:20.027000,2020-08-08 13:58:20.065,1,,False,,False,True,0 days 00:00:00.063000,0.063,#00d2be
0 days 01:15:27.288000,HUL,27,0 days 00:01:26.082000,17.0,5.0,,,0 days 00:00:27.356000,0 days 00:00:35.012000,0 days 00:00:23.714000,0 days 01:14:28.562000,0 days 01:15:03.574000,0 days 01:15:27.288000,318.0,274.0,249.0,327.0,True,SOFT,2.0,True,Racing Point,0 days 01:14:01.206000,2020-08-08 13:59:01.244,1,,False,,False,True,0 days 00:00:00.928000,0.928,#0090ff
0 days 01:15:44.033000,VER,33,0 days 00:01:26.176000,11.0,4.0,,,0 days 00:00:27.440000,0 days 00:00:35.068000,0 days 00:00:23.668000,0 days 01:14:45.297000,0 days 01:15:20.365000,0 days 01:15:44.033000,309.0,275.0,247.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:17.857000,2020-08-08 13:59:17.895,1,,False,,False,True,0 days 00:00:01.022000,1.022,#0600ef
0 days 01:07:00.313000,RIC,3,0 days 00:01:26.297000,10.0,4.0,,,0 days 00:00:27.600000,0 days 00:00:35.134000,0 days 00:00:23.563000,0 days 01:06:01.616000,0 days 01:06:36.750000,0 days 01:07:00.313000,318.0,271.0,251.0,332.0,True,MEDIUM,2.0,True,Renault,0 days 01:05:34.016000,2020-08-08 13:50:34.054,1,,False,,False,True,0 days 00:00:01.143000,1.143,#0600ef
0 days 01:15:34.115000,STR,18,0 days 00:01:26.428000,17.0,6.0,,,0 days 00:00:27.560000,0 days 00:00:35.068000,0 days 00:00:23.800000,0 days 01:14:35.247000,0 days 01:15:10.315000,0 days 01:15:34.115000,317.0,275.0,251.0,325.0,True,SOFT,2.0,True,Racing Point,0 days 01:14:07.687000,2020-08-08 13:59:07.725,1,,False,,False,True,0 days 00:00:01.274000,1.274,#0090ff
0 days 00:55:13.397000,GAS,10,0 days 00:01:26.523000,11.0,4.0,,,0 days 00:00:27.790000,0 days 00:00:35.103000,0 days 00:00:23.630000,0 days 00:54:14.664000,0 days 00:54:49.767000,0 days 00:55:13.397000,309.0,275.0,253.0,326.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:53:46.874000,2020-08-08 13:38:46.912,1,,False,,False,True,0 days 00:00:01.369000,1.369,#2b4562
0 days 01:15:19.764000,LEC,16,0 days 00:01:26.614000,15.0,5.0,,,0 days 00:00:27.487000,0 days 00:00:35.189000,0 days 00:00:23.938000,0 days 01:14:20.637000,0 days 01:14:55.826000,0 days 01:15:19.764000,315.0,272.0,252.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:53.150000,2020-08-08 13:58:53.188,1,,False,,False,True,0 days 00:00:01.460000,1.46,#dc0000
0 days 00:55:39.134000,ALB,23,0 days 00:01:26.642000,11.0,4.0,,,0 days 00:00:27.732000,0 days 00:00:35.227000,0 days 00:00:23.683000,0 days 00:54:40.224000,0 days 00:55:15.451000,0 days 00:55:39.134000,309.0,272.0,253.0,328.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:54:12.492000,2020-08-08 13:39:12.530,1,,False,,False,True,0 days 00:00:01.488000,1.488,#0600ef
0 days 01:15:02.863000,NOR,4,0 days 00:01:26.778000,17.0,6.0,,,0 days 00:00:27.711000,0 days 00:00:35.326000,0 days 00:00:23.741000,0 days 01:14:03.796000,0 days 01:14:39.122000,0 days 01:15:02.863000,313.0,274.0,251.0,328.0,True,SOFT,2.0,True,McLaren,0 days 01:13:36.085000,2020-08-08 13:58:36.123,1,,False,,False,True,0 days 00:00:01.624000,1.624,#ff8700
