Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:05:06.215000,BOT,77,0 days 00:01:02.939000,14.0,5.0,,,0 days 00:00:16.050000,0 days 00:00:27.905000,0 days 00:00:18.984000,0 days 01:04:19.326000,0 days 01:04:47.231000,0 days 01:05:06.215000,317.0,253.0,288.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:03.276000,2020-07-04 13:51:53.605,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:12:37.468000,HAM,44,0 days 00:01:02.951000,19.0,6.0,,,0 days 00:00:15.993000,0 days 00:00:27.934000,0 days 00:00:19.024000,0 days 01:11:50.510000,0 days 01:12:18.444000,0 days 01:12:37.468000,323.0,252.0,288.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:11:34.517000,2020-07-04 13:59:24.846,2,,False,,False,True,0 days 00:00:00.012000,0.012,#00d2be
0 days 01:12:23.795000,VER,33,0 days 00:01:03.477000,21.0,6.0,,,0 days 00:00:16.176000,0 days 00:00:28.045000,0 days 00:00:19.256000,0 days 01:11:36.494000,0 days 01:12:04.539000,0 days 01:12:23.795000,318.0,252.0,289.0,315.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:11:20.318000,2020-07-04 13:59:10.647,2,,False,,False,True,0 days 00:00:00.538000,0.538,#0600ef
0 days 01:12:27.769000,NOR,4,0 days 00:01:03.626000,16.0,6.0,,,0 days 00:00:16.162000,0 days 00:00:28.159000,0 days 00:00:19.305000,0 days 01:11:40.305000,0 days 01:12:08.464000,0 days 01:12:27.769000,319.0,252.0,288.0,317.0,True,SOFT,2.0,True,McLaren,0 days 01:11:24.143000,2020-07-04 13:59:14.472,2,,False,,False,True,0 days 00:00:00.687000,0.687,#ff8700
0 days 00:52:40.951000,ALB,23,0 days 00:01:03.746000,11.0,3.0,,,0 days 00:00:16.167000,0 days 00:00:28.232000,0 days 00:00:19.347000,0 days 00:51:53.372000,0 days 00:52:21.604000,0 days 00:52:40.951000,320.0,255.0,289.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:51:37.205000,2020-07-04 13:39:27.534,1,,False,,False,True,0 days 00:00:00.807000,0.807,#0600ef
0 days 00:52:44.336000,PER,11,0 days 00:01:03.860000,12.0,4.0,,,0 days 00:00:16.120000,0 days 00:00:28.343000,0 days 00:00:19.397000,0 days 00:51:56.596000,0 days 00:52:24.939000,0 days 00:52:44.336000,323.0,248.0,288.0,321.0,True,SOFT,2.0,True,Racing Point,0 days 00:51:40.476000,2020-07-04 13:39:30.805,1,,False,,False,True,0 days 00:00:00.921000,0.921,#0090ff
0 days 01:12:15.366000,LEC,16,0 days 00:01:03.923000,19.0,6.0,,,0 days 00:00:16.423000,0 days 00:00:28.240000,0 days 00:00:19.260000,0 days 01:11:27.866000,0 days 01:11:56.106000,0 days 01:12:15.366000,311.0,252.0,280.0,309.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:11.443000,2020-07-04 13:59:01.772,2,,False,,False,True,0 days 00:00:00.984000,0.984,#dc0000
0 days 00:43:13.815000,STR,18,0 days 00:01:03.955000,10.0,3.0,,,0 days 00:00:16.190000,0 days 00:00:28.278000,0 days 00:00:19.487000,0 days 00:42:26.050000,0 days 00:42:54.328000,0 days 00:43:13.815000,318.0,251.0,287.0,319.0,True,SOFT,2.0,True,Racing Point,0 days 00:42:09.860000,2020-07-04 13:30:00.189,1,,False,,False,True,0 days 00:00:01.016000,1.016,#0090ff
0 days 00:52:16.151000,SAI,55,0 days 00:01:03.971000,11.0,4.0,,,0 days 00:00:16.212000,0 days 00:00:28.313000,0 days 00:00:19.446000,0 days 00:51:28.392000,0 days 00:51:56.705000,0 days 00:52:16.151000,318.0,251.0,290.0,317.0,True,SOFT,2.0,True,McLaren,0 days 00:51:12.180000,2020-07-04 13:39:02.509,1,,False,,False,True,0 days 00:00:01.032000,1.032,#ff8700
0 days 00:44:02.817000,RIC,3,0 days 00:01:04.023000,8.0,3.0,,,0 days 00:00:16.085000,0 days 00:00:28.460000,0 days 00:00:19.478000,0 days 00:43:14.879000,0 days 00:43:43.339000,0 days 00:44:02.817000,322.0,252.0,289.0,318.0,True,SOFT,2.0,True,Renault,0 days 00:42:58.794000,2020-07-04 13:30:49.123,1,,False,,False,True,0 days 00:00:01.084000,1.084,#0600ef
0 days 00:52:20.742000,VET,5,0 days 00:01:04.206000,12.0,4.0,,,0 days 00:00:16.272000,0 days 00:00:28.547000,0 days 00:00:19.387000,0 days 00:51:32.808000,0 days 00:52:01.355000,0 days 00:52:20.742000,313.0,250.0,286.0,313.0,True,SOFT,2.0,True,Ferrari,0 days 00:51:16.536000,2020-07-04 13:39:06.865,1,,False,,False,True,0 days 00:00:01.267000,1.267,#dc0000
0 days 00:52:38.171000,GAS,10,0 days 00:01:04.305000,13.0,4.0,,,0 days 00:00:16.270000,0 days 00:00:28.470000,0 days 00:00:19.565000,0 days 00:51:50.136000,0 days 00:52:18.606000,0 days 00:52:38.171000,318.0,247.0,288.0,316.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:51:33.866000,2020-07-04 13:39:24.195,1,,False,,False,True,0 days 00:00:01.366000,1.366,#2b4562
0 days 00:43:33.245000,KVY,26,0 days 00:01:04.431000,10.0,3.0,,,0 days 00:00:16.311000,0 days 00:00:28.455000,0 days 00:00:19.665000,0 days 00:42:45.125000,0 days 00:43:13.580000,0 days 00:43:33.245000,319.0,246.0,289.0,317.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:42:28.814000,2020-07-04 13:30:19.143,1,,False,,False,True,0 days 00:00:01.492000,1.492,#2b4562
