Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:14:58.048000,HAM,44,0 days 00:01:41.252000,14.0,5.0,,,0 days 00:00:30.421000,0 days 00:00:42.466000,0 days 00:00:28.365000,0 days 01:13:47.217000,0 days 01:14:29.683000,0 days 01:14:58.048000,325.0,220.0,228.0,305.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:16.796000,2020-08-29 13:58:16.828,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:15:06.830000,BOT,77,0 days 00:01:41.763000,16.0,6.0,,,0 days 00:00:30.637000,0 days 00:00:42.692000,0 days 00:00:28.434000,0 days 01:13:55.704000,0 days 01:14:38.396000,0 days 01:15:06.830000,328.0,217.0,226.0,306.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:25.067000,2020-08-29 13:58:25.099,1,,False,,False,True,0 days 00:00:00.511000,0.511,#00d2be
0 days 01:15:16.021000,VER,33,0 days 00:01:41.778000,16.0,5.0,,,0 days 00:00:30.446000,0 days 00:00:43.046000,0 days 00:00:28.286000,0 days 01:14:04.689000,0 days 01:14:47.735000,0 days 01:15:16.021000,324.0,217.0,222.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:34.243000,2020-08-29 13:58:34.275,1,,False,,False,True,0 days 00:00:00.526000,0.526,#0600ef
0 days 01:07:28.499000,RIC,3,0 days 00:01:42.061000,8.0,3.0,,,0 days 00:00:30.309000,0 days 00:00:43.594000,0 days 00:00:28.158000,0 days 01:06:16.747000,0 days 01:07:00.341000,0 days 01:07:28.499000,333.0,217.0,228.0,312.0,True,SOFT,2.0,True,Renault,0 days 01:05:46.438000,2020-08-29 13:50:46.470,1,,False,,False,True,0 days 00:00:00.809000,0.809,#0600ef
0 days 00:55:45.116000,ALB,23,0 days 00:01:42.193000,8.0,3.0,,,0 days 00:00:30.313000,0 days 00:00:43.409000,0 days 00:00:28.471000,0 days 00:54:33.236000,0 days 00:55:16.645000,0 days 00:55:45.116000,330.0,219.0,228.0,309.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:02.923000,2020-08-29 13:39:02.955,1,,False,,False,True,0 days 00:00:00.941000,0.941,#0600ef
0 days 01:15:55.172000,OCO,31,0 days 00:01:42.396000,14.0,5.0,,,0 days 00:00:30.331000,0 days 00:00:43.808000,0 days 00:00:28.257000,0 days 01:14:43.107000,0 days 01:15:26.915000,0 days 01:15:55.172000,330.0,215.0,228.0,311.0,True,SOFT,2.0,True,Renault,0 days 01:14:12.776000,2020-08-29 13:59:12.808,1,,False,,False,True,0 days 00:00:01.144000,1.144,#0600ef
0 days 01:07:33.267000,SAI,55,0 days 00:01:42.438000,11.0,4.0,,,0 days 00:00:30.182000,0 days 00:00:43.718000,0 days 00:00:28.538000,0 days 01:06:21.011000,0 days 01:07:04.729000,0 days 01:07:33.267000,326.0,218.0,228.0,312.0,True,SOFT,2.0,True,McLaren,0 days 01:05:50.829000,2020-08-29 13:50:50.861,1,,False,,False,True,0 days 00:00:01.186000,1.186,#ff8700
0 days 00:54:49.209000,STR,18,0 days 00:01:42.491000,11.0,4.0,,,0 days 00:00:30.112000,0 days 00:00:44.039000,0 days 00:00:28.340000,0 days 00:53:36.830000,0 days 00:54:20.869000,0 days 00:54:49.209000,334.0,212.0,229.0,312.0,True,SOFT,2.0,True,Racing Point,0 days 00:53:06.718000,2020-08-29 13:38:06.750,1,,False,,False,True,0 days 00:00:01.239000,1.239,#0090ff
0 days 01:07:45.175000,PER,11,0 days 00:01:42.532000,14.0,5.0,,,0 days 00:00:30.249000,0 days 00:00:43.774000,0 days 00:00:28.509000,0 days 01:06:32.892000,0 days 01:07:16.666000,0 days 01:07:45.175000,334.0,212.0,228.0,311.0,True,SOFT,2.0,True,Racing Point,0 days 01:06:02.643000,2020-08-29 13:51:02.675,1,,False,,False,True,0 days 00:00:01.280000,1.28,#0090ff
0 days 01:15:51.628000,NOR,4,0 days 00:01:42.657000,16.0,6.0,,,0 days 00:00:30.642000,0 days 00:00:43.489000,0 days 00:00:28.526000,0 days 01:14:39.613000,0 days 01:15:23.102000,0 days 01:15:51.628000,316.0,218.0,227.0,306.0,True,SOFT,2.0,True,McLaren,0 days 01:14:08.971000,2020-08-29 13:59:09.003,1,,False,,False,True,0 days 00:00:01.405000,1.405,#ff8700
0 days 00:55:06.484000,KVY,26,0 days 00:01:42.730000,11.0,4.0,,,0 days 00:00:30.141000,0 days 00:00:44.150000,0 days 00:00:28.439000,0 days 00:53:53.895000,0 days 00:54:38.045000,0 days 00:55:06.484000,336.0,216.0,228.0,311.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:53:23.754000,2020-08-29 13:38:23.786,1,,False,,False,True,0 days 00:00:01.478000,1.478,#2b4562
0 days 00:54:58.066000,GAS,10,0 days 00:01:42.745000,11.0,4.0,,,0 days 00:00:30.135000,0 days 00:00:44.121000,0 days 00:00:28.489000,0 days 00:53:45.456000,0 days 00:54:29.577000,0 days 00:54:58.066000,332.0,214.0,227.0,311.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:53:15.321000,2020-08-29 13:38:15.353,1,,False,,False,True,0 days 00:00:01.493000,1.493,#2b4562
0 days 00:55:02.871000,LEC,16,0 days 00:01:42.996000,11.0,4.0,,,0 days 00:00:30.450000,0 days 00:00:43.925000,0 days 00:00:28.621000,0 days 00:53:50.325000,0 days 00:54:34.250000,0 days 00:55:02.871000,330.0,217.0,224.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:19.875000,2020-08-29 13:38:19.907,1,,False,,False,True,0 days 00:00:01.744000,1.744,#dc0000
0 days 00:55:26.841000,VET,5,0 days 00:01:43.261000,11.0,4.0,,,0 days 00:00:30.533000,0 days 00:00:44.008000,0 days 00:00:28.720000,0 days 00:54:14.113000,0 days 00:54:58.121000,0 days 00:55:26.841000,330.0,215.0,226.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:43.580000,2020-08-29 13:38:43.612,1,,False,,False,True,0 days 00:00:02.009000,2.009,#dc0000
