Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:22:46.557000,HAM,44,0 days 00:01:24.303000,21.0,7.0,,,0 days 00:00:27.227000,0 days 00:00:33.896000,0 days 00:00:23.180000,0 days 01:21:49.481000,0 days 01:22:23.377000,0 days 01:22:46.557000,316.0,269.0,258.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 01:21:22.254000,2020-08-01 14:06:22.293,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:22:53.168000,BOT,77,0 days 00:01:24.616000,16.0,5.0,,,0 days 00:00:27.165000,0 days 00:00:34.240000,0 days 00:00:23.211000,0 days 01:21:55.717000,0 days 01:22:29.957000,0 days 01:22:53.168000,315.0,269.0,255.0,316.0,True,SOFT,2.0,True,Mercedes,0 days 01:21:28.552000,2020-08-01 14:06:28.591,1,,False,,False,True,0 days 00:00:00.313000,0.313,#00d2be
0 days 01:22:59.283000,VER,33,0 days 00:01:25.325000,14.0,5.0,,,0 days 00:00:27.321000,0 days 00:00:34.404000,0 days 00:00:23.600000,0 days 01:22:01.279000,0 days 01:22:35.683000,0 days 01:22:59.283000,307.0,270.0,254.0,315.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:21:33.958000,2020-08-01 14:06:33.997,1,,False,,False,True,0 days 00:00:01.022000,1.022,#0600ef
0 days 01:22:32.980000,LEC,16,0 days 00:01:25.427000,15.0,5.0,,,0 days 00:00:27.410000,0 days 00:00:34.441000,0 days 00:00:23.576000,0 days 01:21:34.963000,0 days 01:22:09.404000,0 days 01:22:32.980000,312.0,267.0,256.0,316.0,True,SOFT,2.0,True,Ferrari,0 days 01:21:07.553000,2020-08-01 14:06:07.592,1,,False,,False,True,0 days 00:00:01.124000,1.124,#dc0000
0 days 01:22:23.958000,NOR,4,0 days 00:01:25.782000,19.0,6.0,,,0 days 00:00:27.569000,0 days 00:00:34.675000,0 days 00:00:23.538000,0 days 01:21:25.745000,0 days 01:22:00.420000,0 days 01:22:23.958000,310.0,268.0,258.0,314.0,True,SOFT,2.0,True,McLaren,0 days 01:20:58.176000,2020-08-01 14:05:58.215,1,,False,,False,True,0 days 00:00:01.479000,1.479,#ff8700
0 days 01:22:03.678000,STR,18,0 days 00:01:25.839000,19.0,6.0,,,0 days 00:00:27.691000,0 days 00:00:34.575000,0 days 00:00:23.573000,0 days 01:21:05.530000,0 days 01:21:40.105000,0 days 01:22:03.678000,314.0,270.0,251.0,309.0,True,SOFT,2.0,True,Racing Point,0 days 01:20:37.839000,2020-08-01 14:05:37.878,1,,False,,False,True,0 days 00:00:01.536000,1.536,#0090ff
0 days 01:22:18.797000,SAI,55,0 days 00:01:25.965000,19.0,6.0,,,0 days 00:00:27.663000,0 days 00:00:34.738000,0 days 00:00:23.564000,0 days 01:21:20.495000,0 days 01:21:55.233000,0 days 01:22:18.797000,310.0,269.0,252.0,314.0,True,SOFT,2.0,True,McLaren,0 days 01:20:52.832000,2020-08-01 14:05:52.871,1,,False,,False,True,0 days 00:00:01.662000,1.662,#ff8700
0 days 01:22:07.630000,RIC,3,0 days 00:01:26.009000,18.0,6.0,,,0 days 00:00:27.597000,0 days 00:00:34.865000,0 days 00:00:23.547000,0 days 01:21:09.218000,0 days 01:21:44.083000,0 days 01:22:07.630000,313.0,266.0,254.0,317.0,True,SOFT,2.0,True,Renault,0 days 01:20:41.621000,2020-08-01 14:05:41.660,1,,False,,False,True,0 days 00:00:01.706000,1.706,#0600ef
0 days 01:22:13.747000,OCO,31,0 days 00:01:26.209000,19.0,6.0,,,0 days 00:00:27.644000,0 days 00:00:34.906000,0 days 00:00:23.659000,0 days 01:21:15.182000,0 days 01:21:50.088000,0 days 01:22:13.747000,312.0,267.0,255.0,317.0,True,SOFT,2.0,True,Renault,0 days 01:20:47.538000,2020-08-01 14:05:47.577,1,,False,,False,True,0 days 00:00:01.906000,1.906,#0600ef
0 days 00:33:16.830000,HUL,27,0 days 00:01:26.327000,7.0,2.0,,,0 days 00:00:28.002000,0 days 00:00:34.761000,0 days 00:00:23.564000,0 days 00:32:18.505000,0 days 00:32:53.266000,0 days 00:33:16.830000,312.0,268.0,255.0,317.0,True,SOFT,2.0,True,Racing Point,0 days 00:31:50.503000,2020-08-01 13:16:50.542,2,,False,,False,True,0 days 00:00:02.024000,2.024,#0090ff
0 days 01:14:43.253000,VET,5,0 days 00:01:26.339000,16.0,5.0,,,0 days 00:00:27.584000,0 days 00:00:34.788000,0 days 00:00:23.967000,0 days 01:13:44.498000,0 days 01:14:19.286000,0 days 01:14:43.253000,312.0,262.0,256.0,316.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:16.914000,2020-08-01 13:58:16.953,1,,False,,False,True,0 days 00:00:02.036000,2.036,#dc0000
0 days 00:33:06.331000,GAS,10,0 days 00:01:26.343000,7.0,2.0,,,0 days 00:00:27.900000,0 days 00:00:34.853000,0 days 00:00:23.590000,0 days 00:32:07.888000,0 days 00:32:42.741000,0 days 00:33:06.331000,310.0,267.0,255.0,317.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:31:39.988000,2020-08-01 13:16:40.027,2,,False,,False,True,0 days 00:00:02.040000,2.04,#2b4562
0 days 01:01:59.694000,ALB,23,0 days 00:01:26.545000,10.0,3.0,,,0 days 00:00:27.718000,0 days 00:00:34.998000,0 days 00:00:23.829000,0 days 01:01:00.867000,0 days 01:01:35.865000,0 days 01:01:59.694000,312.0,267.0,257.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:00:33.149000,2020-08-01 13:45:33.188,1,,False,,False,True,0 days 00:00:02.242000,2.242,#0600ef
0 days 00:33:36.695000,RUS,63,0 days 00:01:26.732000,7.0,2.0,,,0 days 00:00:27.937000,0 days 00:00:35.065000,0 days 00:00:23.730000,0 days 00:32:37.900000,0 days 00:33:12.965000,0 days 00:33:36.695000,312.0,266.0,255.0,312.0,True,SOFT,2.0,True,Williams,0 days 00:32:09.963000,2020-08-01 13:17:10.002,2,,False,,False,True,0 days 00:00:02.429000,2.429,#005aff
0 days 01:02:33.281000,KVY,26,0 days 00:01:26.744000,11.0,4.0,,,0 days 00:00:27.989000,0 days 00:00:35.032000,0 days 00:00:23.723000,0 days 01:01:34.526000,0 days 01:02:09.558000,0 days 01:02:33.281000,315.0,266.0,255.0,313.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:01:06.537000,2020-08-01 13:46:06.576,1,,False,,False,True,0 days 00:00:02.441000,2.441,#2b4562
0 days 00:33:25.008000,MAG,20,0 days 00:01:27.158000,8.0,3.0,,,0 days 00:00:28.085000,0 days 00:00:35.117000,0 days 00:00:23.956000,0 days 00:32:25.935000,0 days 00:33:01.052000,0 days 00:33:25.008000,305.0,265.0,252.0,313.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:31:57.850000,2020-08-01 13:16:57.889,2,,False,,False,True,0 days 00:00:02.855000,2.855,#ffffff
0 days 00:33:02.591000,GIO,99,0 days 00:01:27.164000,8.0,3.0,,,0 days 00:00:28.112000,0 days 00:00:35.144000,0 days 00:00:23.908000,0 days 00:32:03.539000,0 days 00:32:38.683000,0 days 00:33:02.591000,306.0,265.0,253.0,308.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:31:35.427000,2020-08-01 13:16:35.466,2,,False,,False,True,0 days 00:00:02.861000,2.861,#900000
0 days 00:32:46.079000,RAI,7,0 days 00:01:27.366000,8.0,3.0,,,0 days 00:00:28.172000,0 days 00:00:35.006000,0 days 00:00:24.188000,0 days 00:31:46.885000,0 days 00:32:21.891000,0 days 00:32:46.079000,308.0,264.0,247.0,310.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:31:18.713000,2020-08-01 13:16:18.752,2,,False,,False,True,0 days 00:00:03.063000,3.063,#900000
