Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:11:55.592000,BOT,77,0 days 00:01:25.269000,18.0,5.0,,,0 days 00:00:27.811000,0 days 00:00:35.453000,0 days 00:00:22.005000,0 days 01:10:58.134000,0 days 01:11:33.587000,0 days 01:11:55.592000,270.0,242.0,258.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 01:10:30.323000,2020-10-10 13:58:19.895,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 00:48:42.072000,HAM,44,0 days 00:01:25.390000,11.0,3.0,,,0 days 00:00:27.829000,0 days 00:00:35.659000,0 days 00:00:21.902000,0 days 00:47:44.511000,0 days 00:48:20.170000,0 days 00:48:42.072000,271.0,242.0,261.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:47:16.682000,2020-10-10 13:35:06.254,1,,False,,False,True,0 days 00:00:00.121000,0.121,#00d2be
0 days 00:52:20.353000,VER,33,0 days 00:01:25.467000,8.0,3.0,,,0 days 00:00:27.804000,0 days 00:00:35.543000,0 days 00:00:22.120000,0 days 00:51:22.690000,0 days 00:51:58.233000,0 days 00:52:20.353000,269.0,242.0,260.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:54.886000,2020-10-10 13:38:44.458,1,,False,,False,True,0 days 00:00:00.198000,0.198,#0600ef
0 days 01:12:37.655000,LEC,16,0 days 00:01:26.035000,17.0,5.0,,,0 days 00:00:27.908000,0 days 00:00:35.742000,0 days 00:00:22.385000,0 days 01:11:39.528000,0 days 01:12:15.270000,0 days 01:12:37.655000,266.0,242.0,254.0,310.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:11.620000,2020-10-10 13:59:01.192,1,,False,,False,True,0 days 00:00:00.766000,0.766,#dc0000
0 days 01:12:07.755000,ALB,23,0 days 00:01:26.047000,14.0,5.0,,,0 days 00:00:27.964000,0 days 00:00:35.712000,0 days 00:00:22.371000,0 days 01:11:09.672000,0 days 01:11:45.384000,0 days 01:12:07.755000,270.0,242.0,257.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:10:41.708000,2020-10-10 13:58:31.280,1,,False,,False,True,0 days 00:00:00.778000,0.778,#0600ef
0 days 00:51:11.785000,RIC,3,0 days 00:01:26.096000,11.0,4.0,,,0 days 00:00:28.011000,0 days 00:00:35.915000,0 days 00:00:22.170000,0 days 00:50:13.700000,0 days 00:50:49.615000,0 days 00:51:11.785000,269.0,240.0,257.0,312.0,True,SOFT,2.0,True,Renault,0 days 00:49:45.689000,2020-10-10 13:37:35.261,1,,False,,False,True,0 days 00:00:00.827000,0.827,#0600ef
0 days 01:11:34.615000,OCO,31,0 days 00:01:26.242000,19.0,6.0,,,0 days 00:00:27.981000,0 days 00:00:35.972000,0 days 00:00:22.289000,0 days 01:10:36.354000,0 days 01:11:12.326000,0 days 01:11:34.615000,270.0,238.0,256.0,315.0,True,SOFT,2.0,True,Renault,0 days 01:10:08.373000,2020-10-10 13:57:57.945,1,,False,,False,True,0 days 00:00:00.973000,0.973,#0600ef
0 days 00:51:32.798000,NOR,4,0 days 00:01:26.316000,11.0,4.0,,,0 days 00:00:28.020000,0 days 00:00:36.026000,0 days 00:00:22.270000,0 days 00:50:34.502000,0 days 00:51:10.528000,0 days 00:51:32.798000,269.0,240.0,254.0,313.0,True,SOFT,2.0,True,McLaren,0 days 00:50:06.482000,2020-10-10 13:37:56.054,1,,False,,False,True,0 days 00:00:01.047000,1.047,#ff8700
0 days 00:51:56.261000,PER,11,0 days 00:01:26.330000,13.0,4.0,,,0 days 00:00:28.084000,0 days 00:00:35.920000,0 days 00:00:22.326000,0 days 00:50:58.015000,0 days 00:51:33.935000,0 days 00:51:56.261000,270.0,238.0,262.0,318.0,True,SOFT,2.0,True,Racing Point,0 days 00:50:29.931000,2020-10-10 13:38:19.503,1,,False,,False,True,0 days 00:00:01.061000,1.061,#0090ff
0 days 00:51:46.619000,SAI,55,0 days 00:01:26.361000,13.0,4.0,,,0 days 00:00:28.156000,0 days 00:00:35.983000,0 days 00:00:22.222000,0 days 00:50:48.414000,0 days 00:51:24.397000,0 days 00:51:46.619000,270.0,239.0,258.0,314.0,True,SOFT,5.0,False,McLaren,0 days 00:50:20.258000,2020-10-10 13:38:09.830,1,,False,,False,True,0 days 00:00:01.092000,1.092,#ff8700
0 days 00:52:06.004000,VET,5,0 days 00:01:26.738000,15.0,4.0,,,0 days 00:00:28.397000,0 days 00:00:35.969000,0 days 00:00:22.372000,0 days 00:51:07.663000,0 days 00:51:43.632000,0 days 00:52:06.004000,269.0,239.0,258.0,310.0,True,SOFT,2.0,True,Ferrari,0 days 00:50:39.266000,2020-10-10 13:38:28.838,1,,False,,False,True,0 days 00:00:01.469000,1.469,#dc0000
0 days 00:51:40.023000,GAS,10,0 days 00:01:26.776000,15.0,4.0,,,0 days 00:00:28.244000,0 days 00:00:36.105000,0 days 00:00:22.427000,0 days 00:50:41.491000,0 days 00:51:17.596000,0 days 00:51:40.023000,269.0,238.0,258.0,311.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:50:13.247000,2020-10-10 13:38:02.819,1,,False,,False,True,0 days 00:00:01.507000,1.507,#2b4562
0 days 00:52:01.298000,KVY,26,0 days 00:01:26.848000,15.0,4.0,,,0 days 00:00:28.325000,0 days 00:00:36.100000,0 days 00:00:22.423000,0 days 00:51:02.775000,0 days 00:51:38.875000,0 days 00:52:01.298000,269.0,241.0,259.0,311.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:50:34.450000,2020-10-10 13:38:24.022,1,,False,,False,True,0 days 00:00:01.579000,1.579,#2b4562
0 days 00:52:35.969000,GIO,99,0 days 00:01:26.936000,13.0,4.0,,,0 days 00:00:28.215000,0 days 00:00:36.278000,0 days 00:00:22.443000,0 days 00:51:37.248000,0 days 00:52:13.526000,0 days 00:52:35.969000,269.0,239.0,256.0,307.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:51:09.033000,2020-10-10 13:38:58.605,1,,False,,False,True,0 days 00:00:01.667000,1.667,#900000
0 days 00:51:25.197000,MAG,20,0 days 00:01:27.125000,15.0,4.0,,,0 days 00:00:28.321000,0 days 00:00:36.239000,0 days 00:00:22.565000,0 days 00:50:26.393000,0 days 00:51:02.632000,0 days 00:51:25.197000,268.0,232.0,257.0,309.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:49:58.072000,2020-10-10 13:37:47.644,1,,False,,False,True,0 days 00:00:01.856000,1.856,#ffffff
0 days 00:29:58.733000,GRO,8,0 days 00:01:27.552000,9.0,2.0,,,0 days 00:00:28.437000,0 days 00:00:36.260000,0 days 00:00:22.855000,0 days 00:28:59.618000,0 days 00:29:35.878000,0 days 00:29:58.733000,267.0,238.0,255.0,308.0,True,SOFT,4.0,True,Haas F1 Team,0 days 00:28:31.181000,2020-10-10 13:16:20.753,1,,False,,False,True,0 days 00:00:02.283000,2.283,#ffffff
