Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:12:47.838000,HAM,44,0 days 00:01:18.887000,17.0,6.0,,,0 days 00:00:26.618000,0 days 00:00:26.180000,0 days 00:00:26.089000,0 days 01:11:55.569000,0 days 01:12:21.749000,0 days 01:12:47.838000,325.0,329.0,315.0,338.0,True,SOFT,2.0,True,Mercedes,0 days 01:11:28.951000,2020-09-05 13:56:29.992,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 00:54:52.494000,BOT,77,0 days 00:01:18.952000,11.0,4.0,,,0 days 00:00:26.605000,0 days 00:00:26.365000,0 days 00:00:25.982000,0 days 00:54:00.147000,0 days 00:54:26.512000,0 days 00:54:52.494000,325.0,331.0,315.0,337.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:33.542000,2020-09-05 13:38:34.583,2,,False,,False,True,0 days 00:00:00.065000,0.065,#00d2be
0 days 01:13:08.037000,SAI,55,0 days 00:01:19.695000,15.0,5.0,,,0 days 00:00:26.746000,0 days 00:00:26.711000,0 days 00:00:26.238000,0 days 01:12:15.088000,0 days 01:12:41.799000,0 days 01:13:08.037000,326.0,331.0,317.0,337.0,True,SOFT,2.0,True,McLaren,0 days 01:11:48.342000,2020-09-05 13:56:49.383,1,,False,,False,True,0 days 00:00:00.808000,0.808,#ff8700
0 days 00:44:11.426000,PER,11,0 days 00:01:19.718000,7.0,2.0,,,0 days 00:00:26.812000,0 days 00:00:26.669000,0 days 00:00:26.237000,0 days 00:43:18.520000,0 days 00:43:45.189000,0 days 00:44:11.426000,325.0,335.0,315.0,341.0,True,SOFT,2.0,True,Racing Point,0 days 00:42:51.708000,2020-09-05 13:27:52.749,1,,False,,False,True,0 days 00:00:00.831000,0.831,#0090ff
0 days 00:43:44.904000,VER,33,0 days 00:01:19.780000,7.0,2.0,,,0 days 00:00:26.750000,0 days 00:00:26.727000,0 days 00:00:26.303000,0 days 00:42:51.874000,0 days 00:43:18.601000,0 days 00:43:44.904000,323.0,329.0,313.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:25.124000,2020-09-05 13:27:26.165,1,,False,,False,True,0 days 00:00:00.893000,0.893,#0600ef
0 days 01:13:12.905000,NOR,4,0 days 00:01:19.820000,17.0,6.0,,,0 days 00:00:26.812000,0 days 00:00:26.712000,0 days 00:00:26.296000,0 days 01:12:19.897000,0 days 01:12:46.609000,0 days 01:13:12.905000,325.0,331.0,316.0,335.0,True,SOFT,3.0,False,McLaren,0 days 01:11:53.085000,2020-09-05 13:56:54.126,1,,False,,False,True,0 days 00:00:00.933000,0.933,#ff8700
0 days 01:13:02.839000,RIC,3,0 days 00:01:19.864000,15.0,6.0,,,0 days 00:00:26.615000,0 days 00:00:26.800000,0 days 00:00:26.449000,0 days 01:12:09.590000,0 days 01:12:36.390000,0 days 01:13:02.839000,328.0,334.0,316.0,342.0,True,SOFT,2.0,True,Renault,0 days 01:11:42.975000,2020-09-05 13:56:44.016,1,,False,,False,True,0 days 00:00:00.977000,0.977,#0600ef
0 days 00:44:13.910000,GAS,10,0 days 00:01:19.909000,10.0,3.0,,,0 days 00:00:26.901000,0 days 00:00:26.729000,0 days 00:00:26.279000,0 days 00:43:20.902000,0 days 00:43:47.631000,0 days 00:44:13.910000,319.0,336.0,314.0,341.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:42:54.001000,2020-09-05 13:27:55.042,1,,False,,False,True,0 days 00:00:01.022000,1.022,#2b4562
0 days 00:44:15.896000,STR,18,0 days 00:01:19.924000,9.0,3.0,,,0 days 00:00:26.860000,0 days 00:00:26.700000,0 days 00:00:26.364000,0 days 00:43:22.832000,0 days 00:43:49.532000,0 days 00:44:15.896000,327.0,337.0,316.0,342.0,True,SOFT,2.0,True,Racing Point,0 days 00:42:55.972000,2020-09-05 13:27:57.013,1,,False,,False,True,0 days 00:00:01.037000,1.037,#0090ff
0 days 00:44:01.073000,ALB,23,0 days 00:01:20.064000,9.0,3.0,,,0 days 00:00:26.759000,0 days 00:00:26.911000,0 days 00:00:26.394000,0 days 00:43:07.768000,0 days 00:43:34.679000,0 days 00:44:01.073000,325.0,332.0,317.0,338.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:41.009000,2020-09-05 13:27:42.050,1,,False,,False,True,0 days 00:00:01.177000,1.177,#0600ef
