Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:13:09.476000,BOT,77,0 days 00:01:16.466000,7.0,2.0,,,0 days 00:00:22.281000,0 days 00:00:29.262000,0 days 00:00:24.923000,0 days 01:12:15.291000,0 days 01:12:44.553000,0 days 01:13:09.476000,278.0,201.0,308.0,325.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:11:53.010000,2020-10-24 13:56:53.210,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:46:01.936000,HAM,44,0 days 00:01:16.652000,20.0,5.0,,,0 days 00:00:22.266000,0 days 00:00:29.292000,0 days 00:00:25.094000,0 days 01:45:07.550000,0 days 01:45:36.842000,0 days 01:46:01.936000,278.0,198.0,305.0,320.0,True,MEDIUM,4.0,True,Mercedes,0 days 01:44:45.284000,2020-10-24 14:29:45.484,1,,False,,False,True,0 days 00:00:00.186000,0.186,#00d2be
0 days 00:55:14.055000,VER,33,0 days 00:01:16.879000,5.0,1.0,,,0 days 00:00:22.373000,0 days 00:00:29.442000,0 days 00:00:25.064000,0 days 00:54:19.549000,0 days 00:54:48.991000,0 days 00:55:14.055000,274.0,199.0,294.0,316.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:53:57.176000,2020-10-24 13:38:57.376,1,,False,,False,True,0 days 00:00:00.413000,0.413,#0600ef
0 days 01:45:47.519000,LEC,16,0 days 00:01:17.090000,22.0,5.0,,,0 days 00:00:22.440000,0 days 00:00:29.465000,0 days 00:00:25.185000,0 days 01:44:52.869000,0 days 01:45:22.334000,0 days 01:45:47.519000,275.0,200.0,295.0,313.0,True,SOFT,3.0,True,Ferrari,0 days 01:44:30.429000,2020-10-24 14:29:30.629,1,,False,,False,True,0 days 00:00:00.624000,0.624,#dc0000
0 days 01:12:54.651000,PER,11,0 days 00:01:17.129000,9.0,2.0,,,0 days 00:00:22.459000,0 days 00:00:29.506000,0 days 00:00:25.164000,0 days 01:11:59.981000,0 days 01:12:29.487000,0 days 01:12:54.651000,277.0,201.0,307.0,323.0,True,SOFT,2.0,True,Racing Point,0 days 01:11:37.522000,2020-10-24 13:56:37.722,1,,False,,False,True,0 days 00:00:00.663000,0.663,#0090ff
0 days 01:16:48.733000,SAI,55,0 days 00:01:17.183000,14.0,3.0,,,0 days 00:00:22.309000,0 days 00:00:29.539000,0 days 00:00:25.335000,0 days 01:15:53.859000,0 days 01:16:23.398000,0 days 01:16:48.733000,277.0,199.0,306.0,,True,SOFT,4.0,True,McLaren,0 days 01:15:31.550000,2020-10-24 14:00:31.750,1,,False,,False,True,0 days 00:00:00.717000,0.717,#ff8700
0 days 01:03:30.004000,GAS,10,0 days 00:01:17.209000,11.0,2.0,,,0 days 00:00:22.400000,0 days 00:00:29.650000,0 days 00:00:25.159000,0 days 01:02:35.195000,0 days 01:03:04.845000,0 days 01:03:30.004000,278.0,201.0,307.0,322.0,True,SOFT,4.0,True,AlphaTauri,0 days 01:02:12.795000,2020-10-24 13:47:12.995,1,,False,,False,True,0 days 00:00:00.743000,0.743,#2b4562
0 days 01:14:23.349000,NOR,4,0 days 00:01:17.321000,14.0,3.0,,,0 days 00:00:22.326000,0 days 00:00:29.758000,0 days 00:00:25.237000,0 days 01:13:28.354000,0 days 01:13:58.112000,0 days 01:14:23.349000,278.0,201.0,311.0,325.0,True,SOFT,3.0,True,McLaren,0 days 01:13:06.028000,2020-10-24 13:58:06.228,1,,False,,False,True,0 days 00:00:00.855000,0.855,#ff8700
0 days 01:13:37.450000,ALB,23,0 days 00:01:17.411000,13.0,3.0,,,0 days 00:00:22.465000,0 days 00:00:29.744000,0 days 00:00:25.202000,0 days 01:12:42.504000,0 days 01:13:12.248000,0 days 01:13:37.450000,275.0,196.0,303.0,315.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:12:20.039000,2020-10-24 13:57:20.239,1,,False,,False,True,0 days 00:00:00.945000,0.945,#0600ef
0 days 01:03:35.208000,VET,5,0 days 00:01:17.446000,9.0,2.0,,,0 days 00:00:22.562000,0 days 00:00:29.658000,0 days 00:00:25.226000,0 days 01:02:40.324000,0 days 01:03:09.982000,0 days 01:03:35.208000,276.0,198.0,300.0,318.0,True,SOFT,3.0,True,Ferrari,0 days 01:02:17.762000,2020-10-24 13:47:17.962,1,,False,,False,True,0 days 00:00:00.980000,0.98,#dc0000
