Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:09:49.129000,BOT,77,0 days 00:00:53.377000,20.0,6.0,,,0 days 00:00:18.597000,0 days 00:00:18.474000,0 days 00:00:16.306000,0 days 01:09:14.349000,0 days 01:09:32.823000,0 days 01:09:49.129000,290.0,274.0,296.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 01:08:55.752000,2020-12-05 17:53:55.787,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:15:05.947000,RUS,63,0 days 00:00:53.403000,24.0,7.0,,,0 days 00:00:18.686000,0 days 00:00:18.495000,0 days 00:00:16.222000,0 days 01:14:31.230000,0 days 01:14:49.725000,0 days 01:15:05.947000,292.0,275.0,298.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:12.544000,2020-12-05 17:59:12.579,1,,False,,False,True,0 days 00:00:00.026000,0.026,#00d2be
0 days 01:15:10.084000,VER,33,0 days 00:00:53.433000,16.0,5.0,,,0 days 00:00:18.680000,0 days 00:00:18.541000,0 days 00:00:16.212000,0 days 01:14:35.331000,0 days 01:14:53.872000,0 days 01:15:10.084000,290.0,272.0,295.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:16.651000,2020-12-05 17:59:16.686,1,,False,,False,True,0 days 00:00:00.056000,0.056,#0600ef
0 days 01:05:27.544000,LEC,16,0 days 00:00:53.613000,20.0,6.0,,,0 days 00:00:18.621000,0 days 00:00:18.653000,0 days 00:00:16.339000,0 days 01:04:52.552000,0 days 01:05:11.205000,0 days 01:05:27.544000,290.0,271.0,296.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:33.931000,2020-12-05 17:49:33.966,1,,False,,False,True,0 days 00:00:00.236000,0.236,#dc0000
0 days 00:47:12.834000,PER,11,0 days 00:00:53.787000,8.0,2.0,,,0 days 00:00:18.656000,0 days 00:00:18.806000,0 days 00:00:16.325000,0 days 00:46:37.703000,0 days 00:46:56.509000,0 days 00:47:12.834000,291.0,274.0,299.0,330.0,True,SOFT,2.0,True,Racing Point,0 days 00:46:19.047000,2020-12-05 17:31:19.082,1,,False,,False,True,0 days 00:00:00.410000,0.41,#0090ff
0 days 00:48:39.172000,SAI,55,0 days 00:00:53.818000,11.0,4.0,,,0 days 00:00:18.566000,0 days 00:00:18.737000,0 days 00:00:16.515000,0 days 00:48:03.920000,0 days 00:48:22.657000,0 days 00:48:39.172000,289.0,271.0,295.0,330.0,True,SOFT,2.0,True,McLaren,0 days 00:47:45.354000,2020-12-05 17:32:45.389,1,,False,,False,True,0 days 00:00:00.441000,0.441,#ff8700
0 days 00:47:18.002000,STR,18,0 days 00:00:53.840000,9.0,3.0,,,0 days 00:00:18.731000,0 days 00:00:18.802000,0 days 00:00:16.307000,0 days 00:46:42.893000,0 days 00:47:01.695000,0 days 00:47:18.002000,292.0,273.0,300.0,327.0,True,SOFT,2.0,True,Racing Point,0 days 00:46:24.162000,2020-12-05 17:31:24.197,1,,False,,False,True,0 days 00:00:00.463000,0.463,#0090ff
0 days 00:55:09.534000,KVY,26,0 days 00:00:53.856000,20.0,4.0,,,0 days 00:00:18.642000,0 days 00:00:18.874000,0 days 00:00:16.340000,0 days 00:54:34.320000,0 days 00:54:53.194000,0 days 00:55:09.534000,293.0,270.0,301.0,329.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:54:15.678000,2020-12-05 17:39:15.713,1,,False,,False,True,0 days 00:00:00.479000,0.479,#2b4562
0 days 00:54:59.936000,RIC,3,0 days 00:00:53.871000,8.0,3.0,,,0 days 00:00:18.702000,0 days 00:00:18.773000,0 days 00:00:16.396000,0 days 00:54:24.767000,0 days 00:54:43.540000,0 days 00:54:59.936000,291.0,272.0,299.0,331.0,True,SOFT,2.0,True,Renault,0 days 00:54:06.065000,2020-12-05 17:39:06.100,1,,False,,False,True,0 days 00:00:00.494000,0.494,#0600ef
0 days 00:54:56.832000,GAS,10,0 days 00:00:53.941000,18.0,4.0,,,0 days 00:00:18.659000,0 days 00:00:18.779000,0 days 00:00:16.503000,0 days 00:54:21.550000,0 days 00:54:40.329000,0 days 00:54:56.832000,291.0,271.0,300.0,327.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:54:02.891000,2020-12-05 17:39:02.926,1,,False,,False,True,0 days 00:00:00.564000,0.564,#2b4562
