Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:34:12.200000,HAM,44,0 days 00:01:17.825000,19.0,2.0,,,0 days 00:00:18.935000,0 days 00:00:34.662000,0 days 00:00:24.228000,0 days 01:33:13.310000,0 days 01:33:47.972000,0 days 01:34:12.200000,295.0,218.0,264.0,294.0,True,WET,7.0,True,Mercedes,0 days 01:32:54.375000,2020-07-11 14:19:41.994,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:31:58.525000,VER,33,0 days 00:01:17.938000,18.0,2.0,,,0 days 00:00:19.082000,0 days 00:00:34.692000,0 days 00:00:24.164000,0 days 01:30:59.669000,0 days 01:31:34.361000,0 days 01:31:58.525000,289.0,218.0,264.0,291.0,True,WET,5.0,True,Red Bull Racing,0 days 01:30:40.587000,2020-07-11 14:17:28.206,1,,False,,False,True,0 days 00:00:00.113000,0.113,#0600ef
0 days 01:33:07.988000,NOR,4,0 days 00:01:18.448000,19.0,2.0,,,0 days 00:00:19.309000,0 days 00:00:34.760000,0 days 00:00:24.379000,0 days 01:32:08.849000,0 days 01:32:43.609000,0 days 01:33:07.988000,290.0,216.0,265.0,291.0,True,WET,6.0,True,McLaren,0 days 01:31:49.540000,2020-07-11 14:18:37.159,1,,False,,False,True,0 days 00:00:00.623000,0.623,#ff8700
0 days 01:13:51.611000,SAI,55,0 days 00:01:18.590000,10.0,1.0,,,0 days 00:00:19.162000,0 days 00:00:35.186000,0 days 00:00:24.242000,0 days 01:12:52.183000,0 days 01:13:27.369000,0 days 01:13:51.611000,289.0,218.0,265.0,290.0,True,WET,10.0,True,McLaren,0 days 01:12:33.021000,2020-07-11 13:59:20.640,1,,False,,False,True,0 days 00:00:00.765000,0.765,#ff8700
0 days 01:37:08.551000,BOT,77,0 days 00:01:18.657000,22.0,2.0,,,0 days 00:00:19.123000,0 days 00:00:34.968000,0 days 00:00:24.566000,0 days 01:36:09.017000,0 days 01:36:43.985000,0 days 01:37:08.551000,291.0,217.0,265.0,292.0,True,WET,9.0,True,Mercedes,0 days 01:35:49.894000,2020-07-11 14:22:37.513,1,,False,,False,True,0 days 00:00:00.832000,0.832,#00d2be
0 days 01:40:05.951000,GAS,10,0 days 00:01:18.744000,23.0,3.0,,,0 days 00:00:19.269000,0 days 00:00:35.017000,0 days 00:00:24.458000,0 days 01:39:06.476000,0 days 01:39:41.493000,0 days 01:40:05.951000,287.0,204.0,264.0,289.0,True,WET,11.0,True,AlphaTauri,0 days 01:38:47.207000,2020-07-11 14:25:34.826,1,,False,,False,True,0 days 00:00:00.919000,0.919,#2b4562
0 days 01:34:00.407000,OCO,31,0 days 00:01:18.764000,18.0,3.0,,,0 days 00:00:19.415000,0 days 00:00:34.879000,0 days 00:00:24.470000,0 days 01:33:01.058000,0 days 01:33:35.937000,0 days 01:34:00.407000,288.0,217.0,261.0,287.0,True,WET,6.0,True,Renault,0 days 01:32:41.643000,2020-07-11 14:19:29.262,1,,False,,False,True,0 days 00:00:00.939000,0.939,#0600ef
0 days 01:37:47.970000,ALB,23,0 days 00:01:19.014000,21.0,2.0,,,0 days 00:00:19.210000,0 days 00:00:35.054000,0 days 00:00:24.750000,0 days 01:36:48.166000,0 days 01:37:23.220000,0 days 01:37:47.970000,291.0,214.0,263.0,293.0,True,WET,9.0,True,Red Bull Racing,0 days 01:36:28.956000,2020-07-11 14:23:16.575,1,,False,,False,True,0 days 00:00:01.189000,1.189,#0600ef
0 days 01:29:45.338000,RIC,3,0 days 00:01:19.229000,16.0,2.0,,,0 days 00:00:19.327000,0 days 00:00:35.424000,0 days 00:00:24.478000,0 days 01:28:45.436000,0 days 01:29:20.860000,0 days 01:29:45.338000,,214.0,262.0,293.0,True,WET,3.0,True,Renault,0 days 01:28:26.109000,2020-07-11 14:15:13.728,1,,False,,False,True,0 days 00:00:01.404000,1.404,#0600ef
0 days 01:29:54.200000,VET,5,0 days 00:01:19.545000,17.0,3.0,,,0 days 00:00:19.421000,0 days 00:00:35.372000,0 days 00:00:24.752000,0 days 01:28:54.076000,0 days 01:29:29.448000,0 days 01:29:54.200000,284.0,213.0,260.0,289.0,True,WET,14.0,False,Ferrari,0 days 01:28:34.655000,2020-07-11 14:15:22.274,1,,False,,False,True,0 days 00:00:01.720000,1.72,#dc0000
