Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:06:32.483000,HAM,44,0 days 00:01:15.144000,10.0,4.0,,,0 days 00:00:26.881000,0 days 00:00:20.658000,0 days 00:00:27.605000,0 days 01:05:44.220000,0 days 01:06:04.878000,0 days 01:06:32.483000,281.0,258.0,297.0,309.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:17.339000,2020-09-12 13:50:17.359,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:06:41.890000,BOT,77,0 days 00:01:15.203000,8.0,3.0,,,0 days 00:00:26.848000,0 days 00:00:20.739000,0 days 00:00:27.616000,0 days 01:05:53.535000,0 days 01:06:14.274000,0 days 01:06:41.890000,282.0,256.0,299.0,309.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:26.687000,2020-09-12 13:50:26.707,1,,False,,False,True,0 days 00:00:00.059000,0.059,#00d2be
0 days 00:44:03.955000,VER,33,0 days 00:01:15.471000,5.0,2.0,,,0 days 00:00:27.059000,0 days 00:00:20.850000,0 days 00:00:27.562000,0 days 00:43:15.543000,0 days 00:43:36.393000,0 days 00:44:03.955000,279.0,260.0,306.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:48.484000,2020-09-12 13:27:48.504,1,,False,,False,True,0 days 00:00:00.327000,0.327,#0600ef
0 days 00:44:50.935000,ALB,23,0 days 00:01:15.914000,8.0,3.0,,,0 days 00:00:27.237000,0 days 00:00:20.958000,0 days 00:00:27.719000,0 days 00:44:02.258000,0 days 00:44:23.216000,0 days 00:44:50.935000,280.0,259.0,303.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:35.021000,2020-09-12 13:28:35.041,1,,False,,False,True,0 days 00:00:00.770000,0.77,#0600ef
0 days 00:44:59.542000,RIC,3,0 days 00:01:16.243000,8.0,3.0,,,0 days 00:00:27.399000,0 days 00:00:21.139000,0 days 00:00:27.705000,0 days 00:44:10.698000,0 days 00:44:31.837000,0 days 00:44:59.542000,277.0,258.0,310.0,317.0,True,SOFT,2.0,True,Renault,0 days 00:43:43.299000,2020-09-12 13:28:43.319,1,,False,,False,True,0 days 00:00:01.099000,1.099,#0600ef
0 days 01:14:32.594000,LEC,16,0 days 00:01:16.270000,17.0,6.0,,,0 days 00:00:27.369000,0 days 00:00:20.931000,0 days 00:00:27.970000,0 days 01:13:43.693000,0 days 01:14:04.624000,0 days 01:14:32.594000,278.0,256.0,299.0,306.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:16.324000,2020-09-12 13:58:16.344,2,,False,,False,True,0 days 00:00:01.126000,1.126,#dc0000
0 days 00:44:18.508000,STR,18,0 days 00:01:16.271000,5.0,2.0,,,0 days 00:00:27.411000,0 days 00:00:21.142000,0 days 00:00:27.718000,0 days 00:43:29.648000,0 days 00:43:50.790000,0 days 00:44:18.508000,277.0,257.0,303.0,315.0,True,SOFT,2.0,True,Racing Point,0 days 00:43:02.237000,2020-09-12 13:28:02.257,1,,False,,False,True,0 days 00:00:01.127000,1.127,#0090ff
0 days 00:53:54.853000,OCO,31,0 days 00:01:16.297000,11.0,4.0,,,0 days 00:00:27.317000,0 days 00:00:20.994000,0 days 00:00:27.986000,0 days 00:53:05.873000,0 days 00:53:26.867000,0 days 00:53:54.853000,280.0,260.0,304.0,312.0,True,SOFT,2.0,True,Renault,0 days 00:52:38.556000,2020-09-12 13:37:38.576,2,,False,,False,True,0 days 00:00:01.153000,1.153,#0600ef
0 days 01:09:45.211000,PER,11,0 days 00:01:16.311000,15.0,5.0,,,0 days 00:00:27.508000,0 days 00:00:20.971000,0 days 00:00:27.832000,0 days 01:08:56.408000,0 days 01:09:17.379000,0 days 01:09:45.211000,280.0,260.0,307.0,313.0,True,SOFT,2.0,True,Racing Point,0 days 01:08:28.900000,2020-09-12 13:53:28.920,1,,False,,False,True,0 days 00:00:01.167000,1.167,#0090ff
0 days 00:53:45.630000,SAI,55,0 days 00:01:16.522000,11.0,4.0,,,0 days 00:00:27.402000,0 days 00:00:21.001000,0 days 00:00:28.119000,0 days 00:52:56.510000,0 days 00:53:17.511000,0 days 00:53:45.630000,279.0,257.0,300.0,319.0,True,SOFT,2.0,True,McLaren,0 days 00:52:29.108000,2020-09-12 13:37:29.128,2,,False,,False,True,0 days 00:00:01.378000,1.378,#ff8700
