Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:53:54.942000,GAS,10,0 days 00:01:32.954000,11.0,1.0,,,0 days 00:00:29.398000,0 days 00:00:38.056000,0 days 00:00:25.500000,0 days 00:52:51.386000,0 days 00:53:29.442000,0 days 00:53:54.942000,314.0,259.0,250.0,328.0,True,MEDIUM,11.0,True,AlphaTauri,0 days 00:52:21.988000,2020-08-02 13:32:22.002,1,11.0,False,,False,True,92.954
0 days 01:14:50.539000,GAS,10,0 days 00:01:32.775000,21.0,2.0,,,0 days 00:00:29.416000,0 days 00:00:38.014000,0 days 00:00:25.345000,0 days 01:13:47.180000,0 days 01:14:25.194000,0 days 01:14:50.539000,318.0,261.0,251.0,329.0,True,HARD,9.0,True,AlphaTauri,0 days 01:13:17.764000,2020-08-02 13:53:17.778,1,13.0,False,,False,True,92.775
0 days 01:16:23.125000,GAS,10,0 days 00:01:32.586000,22.0,2.0,,,0 days 00:00:29.258000,0 days 00:00:37.833000,0 days 00:00:25.495000,0 days 01:15:19.797000,0 days 01:15:57.630000,0 days 01:16:23.125000,320.0,257.0,252.0,326.0,True,HARD,10.0,True,AlphaTauri,0 days 01:14:50.539000,2020-08-02 13:54:50.553,1,13.0,False,,False,True,92.586
0 days 01:17:55.421000,GAS,10,0 days 00:01:32.296000,23.0,2.0,,,0 days 00:00:29.221000,0 days 00:00:37.461000,0 days 00:00:25.614000,0 days 01:16:52.346000,0 days 01:17:29.807000,0 days 01:17:55.421000,319.0,262.0,251.0,332.0,True,HARD,11.0,True,AlphaTauri,0 days 01:16:23.125000,2020-08-02 13:56:23.139,1,13.0,False,,False,True,92.296
0 days 01:19:27.483000,GAS,10,0 days 00:01:32.062000,24.0,2.0,,,0 days 00:00:29.217000,0 days 00:00:37.552000,0 days 00:00:25.293000,0 days 01:18:24.638000,0 days 01:19:02.190000,0 days 01:19:27.483000,308.0,261.0,250.0,330.0,True,HARD,12.0,True,AlphaTauri,0 days 01:17:55.421000,2020-08-02 13:57:55.435,1,13.0,False,,False,True,92.062
0 days 01:20:59.689000,GAS,10,0 days 00:01:32.206000,25.0,2.0,,,0 days 00:00:29.266000,0 days 00:00:37.620000,0 days 00:00:25.320000,0 days 01:19:56.749000,0 days 01:20:34.369000,0 days 01:20:59.689000,316.0,262.0,252.0,335.0,False,HARD,13.0,True,AlphaTauri,0 days 01:19:27.483000,2020-08-02 13:59:27.497,1,13.0,False,,False,True,92.206
0 days 01:22:31.849000,GAS,10,0 days 00:01:32.160000,26.0,2.0,,,0 days 00:00:29.327000,0 days 00:00:37.591000,0 days 00:00:25.242000,0 days 01:21:29.016000,0 days 01:22:06.607000,0 days 01:22:31.849000,311.0,260.0,253.0,332.0,False,HARD,14.0,True,AlphaTauri,0 days 01:20:59.689000,2020-08-02 14:00:59.703,1,13.0,False,,False,True,92.16
0 days 01:24:04.246000,GAS,10,0 days 00:01:32.397000,27.0,2.0,,,0 days 00:00:29.051000,0 days 00:00:38.086000,0 days 00:00:25.260000,0 days 01:23:00.900000,0 days 01:23:38.986000,0 days 01:24:04.246000,336.0,262.0,252.0,329.0,False,HARD,15.0,True,AlphaTauri,0 days 01:22:31.849000,2020-08-02 14:02:31.863,1,13.0,False,,False,True,92.397
0 days 01:25:36.418000,GAS,10,0 days 00:01:32.172000,28.0,2.0,,,0 days 00:00:29.144000,0 days 00:00:37.779000,0 days 00:00:25.249000,0 days 01:24:33.390000,0 days 01:25:11.169000,0 days 01:25:36.418000,323.0,262.0,253.0,326.0,False,HARD,16.0,True,AlphaTauri,0 days 01:24:04.246000,2020-08-02 14:04:04.260,1,13.0,False,,False,True,92.172
0 days 01:27:08.469000,GAS,10,0 days 00:01:32.051000,29.0,2.0,,,0 days 00:00:29.465000,0 days 00:00:37.391000,0 days 00:00:25.195000,0 days 01:26:05.883000,0 days 01:26:43.274000,0 days 01:27:08.469000,320.0,262.0,253.0,327.0,True,HARD,17.0,True,AlphaTauri,0 days 01:25:36.418000,2020-08-02 14:05:36.432,1,13.0,False,,False,True,92.051
