Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:08:06.112000,GAS,10,0 days 00:01:34.167000,5.0,1.0,,,0 days 00:00:30.961000,0 days 00:00:39.289000,0 days 00:00:23.917000,0 days 00:07:02.893000,0 days 00:07:42.182000,0 days 00:08:06.099000,259.0,222.0,249.0,312.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:06:31.945000,2020-10-11 12:19:46.536,1,14.0,False,,False,True,94.167
0 days 00:19:08.340000,GAS,10,0 days 00:01:33.697000,12.0,1.0,,,0 days 00:00:30.533000,0 days 00:00:39.078000,0 days 00:00:24.086000,0 days 00:18:05.163000,0 days 00:18:44.241000,0 days 00:19:08.327000,260.0,219.0,247.0,290.0,True,MEDIUM,12.0,True,AlphaTauri,0 days 00:17:34.643000,2020-10-11 12:30:49.234,1,10.0,False,,False,True,93.697
0 days 00:20:42.500000,GAS,10,0 days 00:01:34.160000,13.0,1.0,,,0 days 00:00:30.506000,0 days 00:00:39.342000,0 days 00:00:24.312000,0 days 00:19:38.833000,0 days 00:20:18.175000,0 days 00:20:42.487000,258.0,222.0,251.0,311.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 00:19:08.340000,2020-10-11 12:32:22.931,2,10.0,False,,False,True,94.16
0 days 00:22:15.732000,GAS,10,0 days 00:01:33.232000,14.0,1.0,,,0 days 00:00:30.142000,0 days 00:00:38.983000,0 days 00:00:24.107000,0 days 00:21:12.629000,0 days 00:21:51.612000,0 days 00:22:15.719000,256.0,222.0,246.0,288.0,True,MEDIUM,14.0,True,AlphaTauri,0 days 00:20:42.500000,2020-10-11 12:33:57.091,1,9.0,False,,False,True,93.232
0 days 00:23:49.376000,GAS,10,0 days 00:01:33.644000,15.0,1.0,,,0 days 00:00:30.510000,0 days 00:00:39.073000,0 days 00:00:24.061000,0 days 00:22:46.229000,0 days 00:23:25.302000,0 days 00:23:49.363000,259.0,219.0,246.0,289.0,False,MEDIUM,15.0,True,AlphaTauri,0 days 00:22:15.732000,2020-10-11 12:35:30.323,1,9.0,False,,False,True,93.644
0 days 00:30:26.537000,GAS,10,0 days 00:01:34.129000,19.0,1.0,,,0 days 00:00:30.765000,0 days 00:00:39.320000,0 days 00:00:24.044000,0 days 00:29:23.160000,0 days 00:30:02.480000,0 days 00:30:26.524000,258.0,223.0,248.0,288.0,False,MEDIUM,19.0,True,AlphaTauri,0 days 00:28:52.408000,2020-10-11 12:42:06.999,2,8.0,False,,False,True,94.129
0 days 00:32:00.043000,GAS,10,0 days 00:01:33.506000,20.0,1.0,,,0 days 00:00:30.464000,0 days 00:00:39.043000,0 days 00:00:23.999000,0 days 00:30:56.988000,0 days 00:31:36.031000,0 days 00:32:00.030000,260.0,223.0,248.0,288.0,False,MEDIUM,20.0,True,AlphaTauri,0 days 00:30:26.537000,2020-10-11 12:43:41.128,1,8.0,False,,False,True,93.506
0 days 00:33:33.454000,GAS,10,0 days 00:01:33.411000,21.0,1.0,,,0 days 00:00:30.341000,0 days 00:00:39.148000,0 days 00:00:23.922000,0 days 00:32:30.371000,0 days 00:33:09.519000,0 days 00:33:33.441000,,223.0,247.0,288.0,False,MEDIUM,21.0,True,AlphaTauri,0 days 00:32:00.043000,2020-10-11 12:45:14.634,1,8.0,False,,False,True,93.411
0 days 00:35:07.506000,GAS,10,0 days 00:01:34.052000,22.0,1.0,,,0 days 00:00:30.813000,0 days 00:00:39.197000,0 days 00:00:24.042000,0 days 00:34:04.254000,0 days 00:34:43.451000,0 days 00:35:07.493000,258.0,223.0,248.0,286.0,False,MEDIUM,22.0,True,AlphaTauri,0 days 00:33:33.454000,2020-10-11 12:46:48.045,1,7.0,False,,False,True,94.052
0 days 00:36:41.143000,GAS,10,0 days 00:01:33.637000,23.0,1.0,,,0 days 00:00:30.319000,0 days 00:00:39.228000,0 days 00:00:24.090000,0 days 00:35:37.812000,0 days 00:36:17.040000,0 days 00:36:41.130000,263.0,222.0,247.0,285.0,False,MEDIUM,23.0,True,AlphaTauri,0 days 00:35:07.506000,2020-10-11 12:48:22.097,1,7.0,False,,False,True,93.637
0 days 00:38:14.394000,GAS,10,0 days 00:01:33.251000,24.0,1.0,,,0 days 00:00:30.385000,0 days 00:00:38.883000,0 days 00:00:23.983000,0 days 00:37:11.515000,0 days 00:37:50.398000,0 days 00:38:14.381000,260.0,223.0,247.0,286.0,False,MEDIUM,24.0,True,AlphaTauri,0 days 00:36:41.143000,2020-10-11 12:49:55.734,1,7.0,False,,False,True,93.251
0 days 00:39:47.735000,GAS,10,0 days 00:01:33.341000,25.0,1.0,,,0 days 00:00:30.227000,0 days 00:00:39.050000,0 days 00:00:24.064000,0 days 00:38:44.608000,0 days 00:39:23.658000,0 days 00:39:47.722000,262.0,223.0,248.0,287.0,False,MEDIUM,25.0,True,AlphaTauri,0 days 00:38:14.394000,2020-10-11 12:51:28.985,1,7.0,False,,False,True,93.341
0 days 00:41:21.218000,GAS,10,0 days 00:01:33.483000,26.0,1.0,,,0 days 00:00:30.307000,0 days 00:00:39.032000,0 days 00:00:24.144000,0 days 00:40:18.029000,0 days 00:40:57.061000,0 days 00:41:21.205000,259.0,224.0,247.0,288.0,False,MEDIUM,26.0,True,AlphaTauri,0 days 00:39:47.735000,2020-10-11 12:53:02.326,1,7.0,False,,False,True,93.483
0 days 00:42:54.867000,GAS,10,0 days 00:01:33.649000,27.0,1.0,,,0 days 00:00:30.279000,0 days 00:00:39.104000,0 days 00:00:24.266000,0 days 00:41:51.484000,0 days 00:42:30.588000,0 days 00:42:54.854000,262.0,223.0,247.0,286.0,False,MEDIUM,27.0,True,AlphaTauri,0 days 00:41:21.218000,2020-10-11 12:54:35.809,1,7.0,False,,False,True,93.649
0 days 00:51:08.954000,GAS,10,0 days 00:01:31.732000,32.0,2.0,,,0 days 00:00:30.108000,0 days 00:00:38.106000,0 days 00:00:23.518000,0 days 00:50:07.317000,0 days 00:50:45.423000,0 days 00:51:08.941000,259.0,228.0,250.0,290.0,True,HARD,2.0,True,AlphaTauri,0 days 00:49:37.222000,2020-10-11 13:02:51.813,1,12.0,False,,False,True,91.732
0 days 00:52:40.207000,GAS,10,0 days 00:01:31.253000,33.0,2.0,,,0 days 00:00:29.758000,0 days 00:00:38.039000,0 days 00:00:23.456000,0 days 00:51:38.699000,0 days 00:52:16.738000,0 days 00:52:40.194000,258.0,229.0,260.0,312.0,True,HARD,3.0,True,AlphaTauri,0 days 00:51:08.954000,2020-10-11 13:04:23.545,1,12.0,False,,False,True,91.253
0 days 00:54:12.045000,GAS,10,0 days 00:01:31.838000,34.0,2.0,,,0 days 00:00:29.910000,0 days 00:00:38.277000,0 days 00:00:23.651000,0 days 00:53:10.104000,0 days 00:53:48.381000,0 days 00:54:12.032000,257.0,227.0,250.0,286.0,False,HARD,4.0,True,AlphaTauri,0 days 00:52:40.207000,2020-10-11 13:05:54.798,1,11.0,False,,False,True,91.838
