Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:21:28.268000,PER,11,0 days 00:01:23.762000,11.0,3.0,,,0 days 00:00:30.802000,0 days 00:00:23.293000,0 days 00:00:29.667000,0 days 01:20:35.303000,0 days 01:20:58.596000,0 days 01:21:28.263000,270.0,250.0,297.0,300.0,True,SOFT,6.0,False,Racing Point,0 days 01:20:04.506000,2020-09-13 14:00:04.778,1,5.0,False,,False,True,83.762
0 days 01:22:52.498000,PER,11,0 days 00:01:24.230000,12.0,3.0,,,0 days 00:00:30.967000,0 days 00:00:23.336000,0 days 00:00:29.927000,0 days 01:21:59.230000,0 days 01:22:22.566000,0 days 01:22:52.493000,269.0,245.0,298.0,303.0,False,SOFT,7.0,False,Racing Point,0 days 01:21:28.268000,2020-09-13 14:01:28.540,1,5.0,False,,False,True,84.23
0 days 01:24:16.373000,PER,11,0 days 00:01:23.875000,13.0,3.0,,,0 days 00:00:30.952000,0 days 00:00:23.059000,0 days 00:00:29.864000,0 days 01:23:23.445000,0 days 01:23:46.504000,0 days 01:24:16.368000,267.0,247.0,296.0,301.0,False,SOFT,8.0,False,Racing Point,0 days 01:22:52.498000,2020-09-13 14:02:52.770,1,5.0,False,,False,True,83.875
0 days 01:25:40.166000,PER,11,0 days 00:01:23.793000,14.0,3.0,,,0 days 00:00:30.662000,0 days 00:00:23.197000,0 days 00:00:29.934000,0 days 01:24:47.030000,0 days 01:25:10.227000,0 days 01:25:40.161000,,246.0,296.0,,False,SOFT,9.0,False,Racing Point,0 days 01:24:16.373000,2020-09-13 14:04:16.645,1,5.0,False,,False,True,83.793
0 days 01:28:29.459000,PER,11,0 days 00:01:24.279000,16.0,3.0,,,0 days 00:00:30.957000,0 days 00:00:23.353000,0 days 00:00:29.969000,0 days 01:27:36.132000,0 days 01:27:59.485000,0 days 01:28:29.454000,,244.0,301.0,302.0,False,SOFT,11.0,False,Racing Point,0 days 01:27:05.180000,2020-09-13 14:07:05.452,1,6.0,False,,False,True,84.279
0 days 01:29:53.661000,PER,11,0 days 00:01:24.202000,17.0,3.0,,,0 days 00:00:30.818000,0 days 00:00:23.264000,0 days 00:00:30.120000,0 days 01:29:00.272000,0 days 01:29:23.536000,0 days 01:29:53.656000,269.0,246.0,301.0,307.0,False,SOFT,12.0,False,Racing Point,0 days 01:28:29.459000,2020-09-13 14:08:29.731,1,6.0,False,,False,True,84.202
0 days 01:32:43.356000,PER,11,0 days 00:01:24.282000,19.0,3.0,,,0 days 00:00:30.788000,0 days 00:00:23.490000,0 days 00:00:30.004000,0 days 01:31:49.857000,0 days 01:32:13.347000,0 days 01:32:43.351000,,248.0,299.0,298.0,False,SOFT,14.0,False,Racing Point,0 days 01:31:19.074000,2020-09-13 14:11:19.346,1,7.0,False,,False,True,84.282
0 days 01:48:36.663000,PER,11,0 days 00:01:22.111000,30.0,4.0,,,0 days 00:00:29.611000,0 days 00:00:22.810000,0 days 00:00:29.690000,0 days 01:47:44.158000,0 days 01:48:06.968000,0 days 01:48:36.658000,269.0,245.0,291.0,321.0,True,MEDIUM,2.0,True,Racing Point,0 days 01:47:14.552000,2020-09-13 14:27:14.824,1,6.0,False,,False,True,82.111
0 days 01:49:59.813000,PER,11,0 days 00:01:23.150000,31.0,4.0,,,0 days 00:00:30.566000,0 days 00:00:23.056000,0 days 00:00:29.528000,0 days 01:49:07.224000,0 days 01:49:30.280000,0 days 01:49:59.808000,267.0,248.0,291.0,294.0,False,MEDIUM,3.0,True,Racing Point,0 days 01:48:36.663000,2020-09-13 14:28:36.935,1,6.0,False,,False,True,83.15
0 days 01:51:23.097000,PER,11,0 days 00:01:23.284000,32.0,4.0,,,0 days 00:00:30.529000,0 days 00:00:23.073000,0 days 00:00:29.682000,0 days 01:50:30.337000,0 days 01:50:53.410000,0 days 01:51:23.092000,,250.0,290.0,,False,MEDIUM,4.0,True,Racing Point,0 days 01:49:59.813000,2020-09-13 14:30:00.085,1,6.0,False,,False,True,83.284
0 days 01:52:46.368000,PER,11,0 days 00:01:23.271000,33.0,4.0,,,0 days 00:00:30.795000,0 days 00:00:22.937000,0 days 00:00:29.539000,0 days 01:51:53.887000,0 days 01:52:16.824000,0 days 01:52:46.363000,268.0,249.0,291.0,293.0,False,MEDIUM,5.0,True,Racing Point,0 days 01:51:23.097000,2020-09-13 14:31:23.369,1,6.0,False,,False,True,83.271
0 days 01:54:09.290000,PER,11,0 days 00:01:22.922000,34.0,4.0,,,0 days 00:00:30.456000,0 days 00:00:22.838000,0 days 00:00:29.628000,0 days 01:53:16.819000,0 days 01:53:39.657000,0 days 01:54:09.285000,,249.0,291.0,294.0,False,MEDIUM,6.0,True,Racing Point,0 days 01:52:46.368000,2020-09-13 14:32:46.640,1,6.0,False,,False,True,82.922
0 days 01:55:32.104000,PER,11,0 days 00:01:22.814000,35.0,4.0,,,0 days 00:00:30.415000,0 days 00:00:22.841000,0 days 00:00:29.558000,0 days 01:54:39.700000,0 days 01:55:02.541000,0 days 01:55:32.099000,,249.0,293.0,295.0,False,MEDIUM,7.0,True,Racing Point,0 days 01:54:09.290000,2020-09-13 14:34:09.562,1,6.0,False,,False,True,82.814
