Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:28:03.874000,LEC,16,0 days 00:01:41.218000,16.0,6.0,,,0 days 00:00:35.502000,0 days 00:00:40.555000,0 days 00:00:25.161000,0 days 01:26:58.158000,0 days 01:27:38.713000,0 days 01:28:03.874000,236.0,230.0,331.0,314.0,True,SOFT,2.0,True,Ferrari,0 days 01:26:22.656000,2021-06-05 13:11:22.666,1,,False,,False,True,0 days 00:00:00,0.0,#dc0000
0 days 01:29:43.300000,HAM,44,0 days 00:01:41.450000,18.0,6.0,,,0 days 00:00:35.533000,0 days 00:00:40.683000,0 days 00:00:25.234000,0 days 01:28:37.383000,0 days 01:29:18.066000,0 days 01:29:43.300000,236.0,246.0,333.0,313.0,True,SOFT,3.0,True,Mercedes,0 days 01:28:01.850000,2021-06-05 13:13:01.860,1,,False,,False,True,0 days 00:00:00.232000,0.232,#00d2be
0 days 01:28:28.557000,VER,33,0 days 00:01:41.563000,16.0,6.0,,,0 days 00:00:35.635000,0 days 00:00:40.592000,0 days 00:00:25.336000,0 days 01:27:22.629000,0 days 01:28:03.221000,0 days 01:28:28.557000,228.0,232.0,325.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:26:46.994000,2021-06-05 13:11:47.004,1,,False,,False,True,0 days 00:00:00.345000,0.345,#0600ef
0 days 01:33:06.980000,GAS,10,0 days 00:01:41.565000,16.0,5.0,,,0 days 00:00:35.432000,0 days 00:00:40.598000,0 days 00:00:25.535000,0 days 01:32:00.847000,0 days 01:32:41.445000,0 days 01:33:06.980000,240.0,244.0,326.0,309.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:31:25.415000,2021-06-05 13:16:25.425,1,,False,,False,True,0 days 00:00:00.347000,0.347,#2b4562
0 days 01:28:11.448000,SAI,55,0 days 00:01:41.576000,15.0,6.0,,,0 days 00:00:35.485000,0 days 00:00:40.672000,0 days 00:00:25.419000,0 days 01:27:05.357000,0 days 01:27:46.029000,0 days 01:28:11.448000,238.0,231.0,325.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 01:26:29.872000,2021-06-05 13:11:29.882,1,,False,,False,True,0 days 00:00:00.358000,0.358,#dc0000
0 days 01:04:51.428000,PER,11,0 days 00:01:41.630000,10.0,4.0,,,0 days 00:00:35.534000,0 days 00:00:40.720000,0 days 00:00:25.376000,0 days 01:03:45.332000,0 days 01:04:26.052000,0 days 01:04:51.428000,229.0,229.0,327.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:09.798000,2021-06-05 12:48:09.808,1,,False,,False,True,0 days 00:00:00.412000,0.412,#0600ef
0 days 01:11:43.835000,TSU,22,0 days 00:01:41.654000,13.0,4.0,,,0 days 00:00:35.627000,0 days 00:00:40.768000,0 days 00:00:25.259000,0 days 01:10:37.808000,0 days 01:11:18.576000,0 days 01:11:43.835000,243.0,233.0,331.0,312.0,True,SOFT,4.0,True,AlphaTauri,0 days 01:10:02.181000,2021-06-05 12:55:02.191,1,,False,,False,True,0 days 00:00:00.436000,0.436,#2b4562
0 days 01:28:19.654000,NOR,4,0 days 00:01:41.747000,17.0,6.0,,,0 days 00:00:35.652000,0 days 00:00:40.641000,0 days 00:00:25.454000,0 days 01:27:13.559000,0 days 01:27:54.200000,0 days 01:28:19.654000,230.0,235.0,324.0,308.0,True,SOFT,4.0,False,McLaren,0 days 01:26:37.907000,2021-06-05 13:11:37.917,1,,False,,False,True,0 days 00:00:00.529000,0.529,#ff8700
0 days 01:07:26.790000,BOT,77,0 days 00:01:42.106000,12.0,4.0,,,0 days 00:00:35.735000,0 days 00:00:41.094000,0 days 00:00:25.277000,0 days 01:06:20.419000,0 days 01:07:01.513000,0 days 01:07:26.790000,230.0,243.0,325.0,310.0,True,SOFT,3.0,True,Mercedes,0 days 01:05:44.684000,2021-06-05 12:50:44.694,1,,False,,False,True,0 days 00:00:00.888000,0.888,#00d2be
0 days 01:04:59.880000,ALO,14,0 days 00:01:42.195000,12.0,4.0,,,0 days 00:00:35.676000,0 days 00:00:41.076000,0 days 00:00:25.443000,0 days 01:03:53.361000,0 days 01:04:34.437000,0 days 01:04:59.880000,222.0,239.0,330.0,312.0,True,SOFT,2.0,True,Alpine,0 days 01:03:17.685000,2021-06-05 12:48:17.695,1,,False,,False,True,0 days 00:00:00.977000,0.977,#0090ff
0 days 01:04:41.844000,VET,5,0 days 00:01:42.224000,12.0,4.0,,,0 days 00:00:35.480000,0 days 00:00:41.173000,0 days 00:00:25.571000,0 days 01:03:35.100000,0 days 01:04:16.273000,0 days 01:04:41.844000,222.0,220.0,323.0,312.0,True,SOFT,2.0,True,Aston Martin,0 days 01:02:59.620000,2021-06-05 12:47:59.630,1,,False,,False,True,0 days 00:00:01.006000,1.006,#006f62
0 days 01:05:05.329000,OCO,31,0 days 00:01:42.273000,7.0,3.0,,,0 days 00:00:35.842000,0 days 00:00:41.104000,0 days 00:00:25.327000,0 days 01:03:58.898000,0 days 01:04:40.002000,0 days 01:05:05.329000,223.0,227.0,331.0,313.0,True,SOFT,2.0,True,Alpine,0 days 01:03:23.056000,2021-06-05 12:48:23.066,1,,False,,False,True,0 days 00:00:01.055000,1.055,#0090ff
0 days 00:48:41.910000,RIC,3,0 days 00:01:42.304000,6.0,3.0,,,0 days 00:00:35.646000,0 days 00:00:41.218000,0 days 00:00:25.440000,0 days 00:47:35.252000,0 days 00:48:16.470000,0 days 00:48:41.910000,220.0,224.0,326.0,309.0,True,SOFT,4.0,False,McLaren,0 days 00:46:59.606000,2021-06-05 12:31:59.616,1,,False,,False,True,0 days 00:00:01.086000,1.086,#ff8700
