Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:15:36.078000,VER,33,0 days 00:01:28.997000,14.0,5.0,,,0 days 00:00:28.349000,0 days 00:00:38.229000,0 days 00:00:22.419000,0 days 01:14:35.430000,0 days 01:15:13.659000,0 days 01:15:36.078000,246.0,270.0,284.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:07.081000,2021-03-27 15:59:07.466,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:15:25.914000,HAM,44,0 days 00:01:29.385000,17.0,6.0,,,0 days 00:00:28.372000,0 days 00:00:38.536000,0 days 00:00:22.477000,0 days 01:14:24.901000,0 days 01:15:03.437000,0 days 01:15:25.914000,244.0,267.0,290.0,311.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:56.529000,2021-03-27 15:58:56.914,1,,False,,False,True,0 days 00:00:00.388000,0.388,#00d2be
0 days 01:15:19.651000,BOT,77,0 days 00:01:29.586000,16.0,6.0,,,0 days 00:00:28.493000,0 days 00:00:38.642000,0 days 00:00:22.451000,0 days 01:14:18.558000,0 days 01:14:57.200000,0 days 01:15:19.651000,245.0,271.0,284.0,308.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:50.065000,2021-03-27 15:58:50.450,1,,False,,False,True,0 days 00:00:00.589000,0.589,#00d2be
0 days 01:15:41.794000,LEC,16,0 days 00:01:29.678000,14.0,5.0,,,0 days 00:00:28.419000,0 days 00:00:38.598000,0 days 00:00:22.661000,0 days 01:14:40.535000,0 days 01:15:19.133000,0 days 01:15:41.794000,246.0,269.0,287.0,312.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:12.116000,2021-03-27 15:59:12.501,1,,False,,False,True,0 days 00:00:00.681000,0.681,#dc0000
0 days 01:15:31.701000,GAS,10,0 days 00:01:29.809000,14.0,5.0,,,0 days 00:00:28.585000,0 days 00:00:38.658000,0 days 00:00:22.566000,0 days 01:14:30.477000,0 days 01:15:09.135000,0 days 01:15:31.701000,247.0,273.0,290.0,314.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:14:01.892000,2021-03-27 15:59:02.277,1,,False,,False,True,0 days 00:00:00.812000,0.812,#2b4562
0 days 01:16:02.838000,RIC,3,0 days 00:01:29.927000,17.0,6.0,,,0 days 00:00:28.568000,0 days 00:00:38.772000,0 days 00:00:22.587000,0 days 01:15:01.479000,0 days 01:15:40.251000,0 days 01:16:02.838000,246.0,270.0,292.0,311.0,True,SOFT,2.0,True,McLaren,0 days 01:14:32.911000,2021-03-27 15:59:33.296,1,,False,,False,True,0 days 00:00:00.930000,0.93,#ff8700
0 days 01:15:55.281000,NOR,4,0 days 00:01:29.974000,17.0,6.0,,,0 days 00:00:28.624000,0 days 00:00:38.659000,0 days 00:00:22.691000,0 days 01:14:53.931000,0 days 01:15:32.590000,0 days 01:15:55.281000,246.0,268.0,292.0,312.0,True,SOFT,2.0,True,McLaren,0 days 01:14:25.307000,2021-03-27 15:59:25.692,1,,False,,False,True,0 days 00:00:00.977000,0.977,#ff8700
0 days 00:55:14.783000,SAI,55,0 days 00:01:30.009000,10.0,4.0,,,0 days 00:00:28.628000,0 days 00:00:38.679000,0 days 00:00:22.702000,0 days 00:54:13.402000,0 days 00:54:52.081000,0 days 00:55:14.783000,245.0,269.0,286.0,310.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:44.774000,2021-03-27 15:38:45.159,1,,False,,False,True,0 days 00:00:01.012000,1.012,#dc0000
0 days 01:16:08.504000,ALO,14,0 days 00:01:30.249000,14.0,5.0,,,0 days 00:00:28.747000,0 days 00:00:38.806000,0 days 00:00:22.696000,0 days 01:15:07.002000,0 days 01:15:45.808000,0 days 01:16:08.504000,244.0,268.0,288.0,311.0,True,SOFT,2.0,True,Alpine,0 days 01:14:38.255000,2021-03-27 15:59:38.640,1,,False,,False,True,0 days 00:00:01.252000,1.252,#0090ff
0 days 01:12:05.145000,STR,18,0 days 00:01:30.601000,14.0,5.0,,,0 days 00:00:28.765000,0 days 00:00:39.016000,0 days 00:00:22.820000,0 days 01:11:03.309000,0 days 01:11:42.325000,0 days 01:12:05.145000,244.0,264.0,282.0,310.0,True,SOFT,2.0,True,Aston Martin,0 days 01:10:34.544000,2021-03-27 15:55:34.929,1,,False,,False,True,0 days 00:00:01.604000,1.604,#006f62
