Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:17:00.259000,HAM,44,0 days 00:01:14.411000,19.0,6.0,,,0 days 00:00:23.633000,0 days 00:00:25.805000,0 days 00:00:24.973000,0 days 01:16:09.481000,0 days 01:16:35.286000,0 days 01:17:00.259000,235.0,261.0,287.0,290.0,True,SOFT,2.0,True,Mercedes,0 days 01:15:45.848000,2021-04-17 13:00:45.856,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:25:16.277000,PER,11,0 days 00:01:14.446000,17.0,6.0,,,0 days 00:00:23.630000,0 days 00:00:25.668000,0 days 00:00:25.148000,0 days 01:24:25.461000,0 days 01:24:51.129000,0 days 01:25:16.277000,235.0,260.0,286.0,289.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:24:01.831000,2021-04-17 13:09:01.839,1,,False,,False,True,0 days 00:00:00.035000,0.035,#0600ef
0 days 01:25:20.645000,VER,33,0 days 00:01:14.498000,19.0,6.0,,,0 days 00:00:23.798000,0 days 00:00:25.617000,0 days 00:00:25.083000,0 days 01:24:29.945000,0 days 01:24:55.562000,0 days 01:25:20.645000,235.0,260.0,286.0,290.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:24:06.147000,2021-04-17 13:09:06.155,1,,False,,False,True,0 days 00:00:00.087000,0.087,#0600ef
0 days 00:36:23.610000,BOT,77,0 days 00:01:14.672000,6.0,2.0,,,0 days 00:00:23.917000,0 days 00:00:25.747000,0 days 00:00:25.008000,0 days 00:35:32.855000,0 days 00:35:58.602000,0 days 00:36:23.610000,232.0,261.0,285.0,291.0,True,SOFT,6.0,False,Mercedes,0 days 00:35:08.938000,2021-04-17 12:20:08.946,1,,False,,False,True,0 days 00:00:00.261000,0.261,#00d2be
0 days 00:57:29.875000,NOR,4,0 days 00:01:14.718000,8.0,3.0,,,0 days 00:00:23.671000,0 days 00:00:25.746000,0 days 00:00:25.301000,0 days 00:56:38.828000,0 days 00:57:04.574000,0 days 00:57:29.875000,234.0,264.0,286.0,293.0,True,SOFT,2.0,True,McLaren,0 days 00:56:15.157000,2021-04-17 12:41:15.165,1,,False,,False,True,0 days 00:00:00.307000,0.307,#ff8700
0 days 01:25:11.840000,LEC,16,0 days 00:01:14.740000,18.0,6.0,,,0 days 00:00:23.853000,0 days 00:00:25.690000,0 days 00:00:25.197000,0 days 01:24:20.953000,0 days 01:24:46.643000,0 days 01:25:11.840000,236.0,259.0,281.0,287.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:57.100000,2021-04-17 13:08:57.108,1,,False,,False,True,0 days 00:00:00.329000,0.329,#dc0000
0 days 01:24:32.390000,GAS,10,0 days 00:01:14.790000,20.0,6.0,,,0 days 00:00:23.806000,0 days 00:00:25.853000,0 days 00:00:25.131000,0 days 01:23:41.406000,0 days 01:24:07.259000,0 days 01:24:32.390000,231.0,261.0,286.0,288.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:23:17.600000,2021-04-17 13:08:17.608,1,,False,,False,True,0 days 00:00:00.379000,0.379,#2b4562
0 days 01:24:40.058000,RIC,3,0 days 00:01:14.826000,20.0,7.0,,,0 days 00:00:23.739000,0 days 00:00:25.856000,0 days 00:00:25.231000,0 days 01:23:48.971000,0 days 01:24:14.827000,0 days 01:24:40.058000,236.0,261.0,284.0,287.0,True,SOFT,2.0,True,McLaren,0 days 01:23:25.232000,2021-04-17 13:08:25.240,1,,False,,False,True,0 days 00:00:00.415000,0.415,#ff8700
0 days 01:05:02.907000,OCO,31,0 days 00:01:15.117000,13.0,5.0,,,0 days 00:00:23.975000,0 days 00:00:25.920000,0 days 00:00:25.222000,0 days 01:04:11.765000,0 days 01:04:37.685000,0 days 01:05:02.907000,234.0,260.0,285.0,292.0,True,SOFT,2.0,True,Alpine,0 days 01:03:47.790000,2021-04-17 12:48:47.798,1,,False,,False,True,0 days 00:00:00.706000,0.706,#0090ff
0 days 01:02:40.920000,STR,18,0 days 00:01:15.138000,13.0,4.0,,,0 days 00:00:23.982000,0 days 00:00:25.967000,0 days 00:00:25.189000,0 days 01:01:49.764000,0 days 01:02:15.731000,0 days 01:02:40.920000,232.0,261.0,286.0,289.0,True,SOFT,2.0,True,Aston Martin,0 days 01:01:25.782000,2021-04-17 12:46:25.790,1,,False,,False,True,0 days 00:00:00.727000,0.727,#006f62
