Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:25:25.050000,VER,33,0 days 00:01:29.990000,15.0,6.0,,,0 days 00:00:22.405000,0 days 00:00:27.388000,0 days 00:00:40.197000,0 days 01:24:17.465000,0 days 01:24:44.853000,0 days 01:25:25.050000,126.0,284.0,303.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:23:55.060000,2021-06-19 14:09:22.263,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:25:46.457000,HAM,44,0 days 00:01:30.248000,19.0,6.0,,,0 days 00:00:22.374000,0 days 00:00:27.516000,0 days 00:00:40.358000,0 days 01:24:38.583000,0 days 01:25:06.099000,0 days 01:25:46.457000,122.0,282.0,301.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:24:16.209000,2021-06-19 14:09:43.412,1,,False,,False,True,0 days 00:00:00.258000,0.258,#00d2be
0 days 01:25:41.614000,BOT,77,0 days 00:01:30.376000,15.0,6.0,,,0 days 00:00:22.407000,0 days 00:00:27.527000,0 days 00:00:40.442000,0 days 01:24:33.645000,0 days 01:25:01.172000,0 days 01:25:41.614000,124.0,282.0,301.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 01:24:11.238000,2021-06-19 14:09:38.441,1,,False,,False,True,0 days 00:00:00.386000,0.386,#00d2be
0 days 01:25:33.409000,PER,11,0 days 00:01:30.445000,15.0,6.0,,,0 days 00:00:22.420000,0 days 00:00:27.597000,0 days 00:00:40.428000,0 days 01:24:25.384000,0 days 01:24:52.981000,0 days 01:25:33.409000,121.0,284.0,303.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:24:02.964000,2021-06-19 14:09:30.167,1,,False,,False,True,0 days 00:00:00.455000,0.455,#0600ef
0 days 01:25:03.483000,SAI,55,0 days 00:01:30.840000,18.0,7.0,,,0 days 00:00:22.427000,0 days 00:00:27.815000,0 days 00:00:40.598000,0 days 01:23:55.070000,0 days 01:24:22.885000,0 days 01:25:03.483000,126.0,280.0,298.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:32.643000,2021-06-19 14:08:59.846,1,,False,,False,True,0 days 00:00:00.850000,0.85,#dc0000
0 days 01:24:40.936000,GAS,10,0 days 00:01:30.868000,21.0,7.0,,,0 days 00:00:22.487000,0 days 00:00:27.790000,0 days 00:00:40.591000,0 days 01:23:32.555000,0 days 01:24:00.345000,0 days 01:24:40.936000,118.0,281.0,302.0,324.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:23:10.068000,2021-06-19 14:08:37.271,1,,False,,False,True,0 days 00:00:00.878000,0.878,#2b4562
0 days 01:24:49.732000,LEC,16,0 days 00:01:30.987000,19.0,7.0,,,0 days 00:00:22.516000,0 days 00:00:27.888000,0 days 00:00:40.583000,0 days 01:23:41.261000,0 days 01:24:09.149000,0 days 01:24:49.732000,121.0,279.0,296.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:18.745000,2021-06-19 14:08:45.948,1,,False,,False,True,0 days 00:00:00.997000,0.997,#dc0000
0 days 01:25:11.787000,NOR,4,0 days 00:01:31.252000,17.0,6.0,,,0 days 00:00:22.615000,0 days 00:00:27.743000,0 days 00:00:40.894000,0 days 01:24:03.150000,0 days 01:24:30.893000,0 days 01:25:11.787000,116.0,281.0,303.0,324.0,True,SOFT,2.0,True,McLaren,0 days 01:23:40.535000,2021-06-19 14:09:07.738,1,,False,,False,True,0 days 00:00:01.262000,1.262,#ff8700
0 days 01:24:57.610000,ALO,14,0 days 00:01:31.340000,16.0,6.0,,,0 days 00:00:22.578000,0 days 00:00:27.772000,0 days 00:00:40.990000,0 days 01:23:48.848000,0 days 01:24:16.620000,0 days 01:24:57.610000,126.0,278.0,299.0,326.0,True,SOFT,2.0,True,Alpine,0 days 01:23:26.270000,2021-06-19 14:08:53.473,1,,False,,False,True,0 days 00:00:01.350000,1.35,#0090ff
0 days 01:25:20.408000,RIC,3,0 days 00:01:31.382000,20.0,7.0,,,0 days 00:00:22.798000,0 days 00:00:27.806000,0 days 00:00:40.778000,0 days 01:24:11.824000,0 days 01:24:39.630000,0 days 01:25:20.408000,120.0,280.0,303.0,322.0,True,SOFT,2.0,True,McLaren,0 days 01:23:49.026000,2021-06-19 14:09:16.229,1,,False,,False,True,0 days 00:00:01.392000,1.392,#ff8700
