Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:16:11.628000,HAM,44,0 days 00:01:15.419000,14.0,5.0,,,0 days 00:00:27.355000,0 days 00:00:26.702000,0 days 00:00:21.362000,0 days 01:15:23.564000,0 days 01:15:50.266000,0 days 01:16:11.628000,284.0,256.0,259.0,303.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:56.209000,2021-07-31 13:59:57.884,1,,False,,False,False,0 days 00:00:00,0.0,#00d2be
0 days 01:02:28.006000,VER,33,0 days 00:01:15.650000,10.0,3.0,,,0 days 00:00:27.430000,0 days 00:00:26.825000,0 days 00:00:21.395000,0 days 01:01:39.786000,0 days 01:02:06.611000,0 days 01:02:28.006000,280.0,253.0,260.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:01:12.356000,2021-07-31 13:46:14.031,1,,False,,False,False,0 days 00:00:00.231000,0.231,#0600ef
0 days 01:16:03.303000,BOT,77,0 days 00:01:15.734000,14.0,5.0,,,0 days 00:00:27.369000,0 days 00:00:26.882000,0 days 00:00:21.483000,0 days 01:15:14.938000,0 days 01:15:41.820000,0 days 01:16:03.303000,282.0,255.0,261.0,302.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:47.569000,2021-07-31 13:59:49.244,1,,False,,False,False,0 days 00:00:00.315000,0.315,#00d2be
0 days 01:03:10.697000,NOR,4,0 days 00:01:16.385000,10.0,4.0,,,0 days 00:00:27.667000,0 days 00:00:26.994000,0 days 00:00:21.724000,0 days 01:02:21.979000,0 days 01:02:48.973000,0 days 01:03:10.697000,279.0,254.0,261.0,304.0,True,SOFT,2.0,True,McLaren,0 days 01:01:54.312000,2021-07-31 13:46:55.987,1,,False,,False,False,0 days 00:00:00.966000,0.966,#ff8700
0 days 01:02:22.188000,GAS,10,0 days 00:01:16.394000,8.0,3.0,,,0 days 00:00:27.681000,0 days 00:00:27.070000,0 days 00:00:21.643000,0 days 01:01:33.475000,0 days 01:02:00.545000,0 days 01:02:22.188000,278.0,252.0,261.0,300.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:01:05.794000,2021-07-31 13:46:07.469,1,,False,,False,False,0 days 00:00:00.975000,0.975,#2b4562
0 days 01:16:19.552000,PER,11,0 days 00:01:16.421000,13.0,4.0,,,0 days 00:00:27.604000,0 days 00:00:27.361000,0 days 00:00:21.456000,0 days 01:15:30.735000,0 days 01:15:58.096000,0 days 01:16:19.552000,281.0,251.0,259.0,301.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:15:03.131000,2021-07-31 14:00:04.806,1,,False,,False,False,0 days 00:00:01.002000,1.002,#0600ef
0 days 01:23:33.027000,LEC,16,0 days 00:01:16.496000,16.0,5.0,,,0 days 00:00:27.786000,0 days 00:00:27.055000,0 days 00:00:21.655000,0 days 01:22:44.317000,0 days 01:23:11.372000,0 days 01:23:33.027000,282.0,253.0,256.0,302.0,True,SOFT,2.0,True,Ferrari,0 days 01:22:16.531000,2021-07-31 14:07:18.206,1,,False,,False,False,0 days 00:00:01.077000,1.077,#dc0000
0 days 01:02:45.594000,ALO,14,0 days 00:01:16.541000,8.0,3.0,,,0 days 00:00:27.746000,0 days 00:00:27.184000,0 days 00:00:21.611000,0 days 01:01:56.799000,0 days 01:02:23.983000,0 days 01:02:45.594000,276.0,252.0,257.0,298.0,True,SOFT,2.0,True,Alpine,0 days 01:01:29.053000,2021-07-31 13:46:30.728,1,,False,,False,False,0 days 00:00:01.122000,1.122,#0090ff
0 days 00:25:38.871000,SAI,55,0 days 00:01:16.649000,2.0,1.0,,,0 days 00:00:27.684000,0 days 00:00:27.080000,0 days 00:00:21.885000,0 days 00:24:49.906000,0 days 00:25:16.986000,0 days 00:25:38.871000,282.0,249.0,255.0,303.0,True,SOFT,2.0,True,Ferrari,0 days 00:24:22.222000,2021-07-31 13:09:23.897,1,,False,,False,False,0 days 00:00:01.230000,1.23,#dc0000
0 days 01:23:53.491000,OCO,31,0 days 00:01:16.653000,14.0,5.0,,,0 days 00:00:27.869000,0 days 00:00:27.162000,0 days 00:00:21.622000,0 days 01:23:04.707000,0 days 01:23:31.869000,0 days 01:23:53.491000,278.0,251.0,257.0,298.0,True,SOFT,2.0,True,Alpine,0 days 01:22:36.838000,2021-07-31 14:07:38.513,1,,False,,False,False,0 days 00:00:01.234000,1.234,#0090ff
0 days 01:19:44.547000,VET,5,0 days 00:01:16.750000,14.0,5.0,,,0 days 00:00:27.763000,0 days 00:00:27.382000,0 days 00:00:21.605000,0 days 01:18:55.560000,0 days 01:19:22.942000,0 days 01:19:44.547000,278.0,253.0,259.0,301.0,True,SOFT,2.0,True,Aston Martin,0 days 01:18:27.797000,2021-07-31 14:03:29.472,1,,False,,False,False,0 days 00:00:01.331000,1.331,#006f62
0 days 01:03:04.698000,RIC,3,0 days 00:01:16.871000,12.0,4.0,,,0 days 00:00:27.756000,0 days 00:00:27.336000,0 days 00:00:21.779000,0 days 01:02:15.583000,0 days 01:02:42.919000,0 days 01:03:04.698000,281.0,255.0,261.0,304.0,True,SOFT,2.0,True,McLaren,0 days 01:01:47.827000,2021-07-31 13:46:49.502,1,,False,,False,False,0 days 00:00:01.452000,1.452,#ff8700
0 days 01:02:57.070000,STR,18,0 days 00:01:16.893000,11.0,4.0,,,0 days 00:00:27.778000,0 days 00:00:27.430000,0 days 00:00:21.685000,0 days 01:02:07.955000,0 days 01:02:35.385000,0 days 01:02:57.070000,280.0,252.0,259.0,305.0,True,SOFT,2.0,True,Aston Martin,0 days 01:01:40.177000,2021-07-31 13:46:41.852,1,,False,,False,False,0 days 00:00:01.474000,1.474,#006f62
0 days 00:33:28.801000,RAI,7,0 days 00:01:17.553000,8.0,3.0,,,0 days 00:00:27.870000,0 days 00:00:27.597000,0 days 00:00:22.086000,0 days 00:32:39.118000,0 days 00:33:06.715000,0 days 00:33:28.801000,284.0,250.0,257.0,304.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:32:11.248000,2021-07-31 13:17:12.923,1,,False,,False,False,0 days 00:00:02.134000,2.134,#900000
0 days 01:03:37.047000,GIO,99,0 days 00:01:17.583000,11.0,4.0,,,0 days 00:00:28.019000,0 days 00:00:27.665000,0 days 00:00:21.899000,0 days 01:02:47.483000,0 days 01:03:15.148000,0 days 01:03:37.047000,283.0,248.0,257.0,309.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 01:02:19.464000,2021-07-31 13:47:21.139,1,,False,,False,False,0 days 00:00:02.164000,2.164,#900000
0 days 00:32:51.704000,TSU,22,0 days 00:01:17.919000,7.0,2.0,,,0 days 00:00:28.118000,0 days 00:00:27.787000,0 days 00:00:22.014000,0 days 00:32:01.903000,0 days 00:32:29.690000,0 days 00:32:51.704000,278.0,249.0,258.0,,True,SOFT,2.0,True,AlphaTauri,0 days 00:31:33.785000,2021-07-31 13:16:35.460,1,,False,,False,False,0 days 00:00:02.500000,2.5,#2b4562
0 days 00:33:02.608000,RUS,63,0 days 00:01:17.944000,7.0,2.0,,,0 days 00:00:28.124000,0 days 00:00:27.673000,0 days 00:00:22.147000,0 days 00:32:12.788000,0 days 00:32:40.461000,0 days 00:33:02.608000,279.0,253.0,260.0,300.0,True,SOFT,2.0,True,Williams,0 days 00:31:44.664000,2021-07-31 13:16:46.339,1,,False,,False,False,0 days 00:00:02.525000,2.525,#005aff
0 days 00:33:54.330000,LAT,6,0 days 00:01:18.036000,7.0,2.0,,,0 days 00:00:27.976000,0 days 00:00:27.894000,0 days 00:00:22.166000,0 days 00:33:04.270000,0 days 00:33:32.164000,0 days 00:33:54.330000,279.0,250.0,257.0,302.0,True,SOFT,2.0,True,Williams,0 days 00:32:36.294000,2021-07-31 13:17:37.969,1,,False,,False,False,0 days 00:00:02.617000,2.617,#005aff
0 days 00:26:02.616000,MAZ,9,0 days 00:01:18.922000,5.0,2.0,,,0 days 00:00:28.238000,0 days 00:00:28.037000,0 days 00:00:22.647000,0 days 00:25:11.932000,0 days 00:25:39.969000,0 days 00:26:02.616000,282.0,244.0,256.0,307.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:24:43.694000,2021-07-31 13:09:45.369,1,,False,,False,False,0 days 00:00:03.503000,3.503,#ffffff
