Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:07:27.199000,LEC,16,0 days 00:01:10.346000,23.0,4.0,,,0 days 00:00:18.612000,0 days 00:00:32.983000,0 days 00:00:18.751000,0 days 01:06:35.465000,0 days 01:07:08.448000,0 days 01:07:27.199000,223.0,208.0,269.0,279.0,True,SOFT,3.0,True,Ferrari,0 days 01:06:16.853000,2021-05-22 13:51:17.592,1,,False,,False,False,0 days 00:00:00,0.0,#dc0000
0 days 01:05:39.049000,VER,33,0 days 00:01:10.576000,18.0,4.0,,,0 days 00:00:18.472000,0 days 00:00:33.349000,0 days 00:00:18.755000,0 days 01:04:46.945000,0 days 01:05:20.294000,0 days 01:05:39.049000,222.0,207.0,270.0,280.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:28.473000,2021-05-22 13:49:29.212,1,,False,,False,False,0 days 00:00:00.230000,0.23,#0600ef
0 days 01:08:21.267000,BOT,77,0 days 00:01:10.601000,24.0,4.0,,,0 days 00:00:18.599000,0 days 00:00:33.041000,0 days 00:00:18.961000,0 days 01:07:29.265000,0 days 01:08:02.306000,0 days 01:08:21.267000,225.0,210.0,271.0,282.0,True,SOFT,4.0,True,Mercedes,0 days 01:07:10.666000,2021-05-22 13:52:11.405,1,,False,,False,False,0 days 00:00:00.255000,0.255,#00d2be
0 days 01:07:34.282000,SAI,55,0 days 00:01:10.611000,21.0,4.0,,,0 days 00:00:18.443000,0 days 00:00:33.084000,0 days 00:00:19.084000,0 days 01:06:42.114000,0 days 01:07:15.198000,0 days 01:07:34.282000,222.0,208.0,268.0,280.0,True,SOFT,3.0,True,Ferrari,0 days 01:06:23.671000,2021-05-22 13:51:24.410,1,,False,,False,False,0 days 00:00:00.265000,0.265,#dc0000
0 days 01:11:47.961000,NOR,4,0 days 00:01:10.620000,22.0,4.0,,,0 days 00:00:18.633000,0 days 00:00:33.219000,0 days 00:00:18.768000,0 days 01:10:55.974000,0 days 01:11:29.193000,0 days 01:11:47.961000,224.0,210.0,273.0,279.0,True,SOFT,6.0,True,McLaren,0 days 01:10:37.341000,2021-05-22 13:55:38.080,1,,False,,False,False,0 days 00:00:00.274000,0.274,#ff8700
0 days 01:08:08.797000,GAS,10,0 days 00:01:10.900000,25.0,4.0,,,0 days 00:00:18.744000,0 days 00:00:33.171000,0 days 00:00:18.985000,0 days 01:07:16.641000,0 days 01:07:49.812000,0 days 01:08:08.797000,223.0,204.0,269.0,279.0,True,SOFT,4.0,True,AlphaTauri,0 days 01:06:57.897000,2021-05-22 13:51:58.636,1,,False,,False,False,0 days 00:00:00.554000,0.554,#2b4562
0 days 00:55:51.599000,PER,11,0 days 00:01:11.019000,18.0,3.0,,,0 days 00:00:18.670000,0 days 00:00:33.417000,0 days 00:00:18.932000,0 days 00:54:59.250000,0 days 00:55:32.667000,0 days 00:55:51.599000,222.0,206.0,269.0,281.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:54:40.580000,2021-05-22 13:39:41.319,1,,False,,False,False,0 days 00:00:00.673000,0.673,#0600ef
0 days 01:07:39.704000,HAM,44,0 days 00:01:11.095000,26.0,4.0,,,0 days 00:00:18.689000,0 days 00:00:33.263000,0 days 00:00:19.143000,0 days 01:06:47.298000,0 days 01:07:20.561000,0 days 01:07:39.704000,222.0,208.0,268.0,283.0,True,SOFT,3.0,True,Mercedes,0 days 01:06:28.609000,2021-05-22 13:51:29.348,1,,False,,False,False,0 days 00:00:00.749000,0.749,#00d2be
0 days 00:46:36.397000,VET,5,0 days 00:01:11.309000,14.0,2.0,,,0 days 00:00:18.790000,0 days 00:00:33.504000,0 days 00:00:19.015000,0 days 00:45:43.878000,0 days 00:46:17.382000,0 days 00:46:36.397000,220.0,207.0,272.0,281.0,True,SOFT,4.0,True,Aston Martin,0 days 00:45:25.088000,2021-05-22 13:30:25.827,1,,False,,False,False,0 days 00:00:00.963000,0.963,#006f62
0 days 00:55:05.561000,GIO,99,0 days 00:01:11.409000,20.0,4.0,,,0 days 00:00:18.842000,0 days 00:00:33.535000,0 days 00:00:19.032000,0 days 00:54:12.994000,0 days 00:54:46.529000,0 days 00:55:05.561000,220.0,208.0,271.0,282.0,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:53:54.152000,2021-05-22 13:38:54.891,1,,False,,False,False,0 days 00:00:01.063000,1.063,#900000
