Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:14:39.720000,HAM,44,0 days 00:01:20.827000,17.0,6.0,,,0 days 00:00:26.450000,0 days 00:00:26.922000,0 days 00:00:27.455000,0 days 01:13:45.343000,0 days 01:14:12.265000,0 days 01:14:39.720000,253.0,279.0,315.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:18.893000,2021-11-20 14:58:18.903,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:15:45.512000,VER,33,0 days 00:01:21.282000,17.0,5.0,,,0 days 00:00:26.554000,0 days 00:00:27.185000,0 days 00:00:27.543000,0 days 01:14:50.784000,0 days 01:15:17.969000,0 days 01:15:45.512000,250.0,278.0,312.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:24.230000,2021-11-20 14:59:24.240,2,,False,,False,True,0 days 00:00:00.455000,0.455,#0600ef
0 days 01:07:10.346000,BOT,77,0 days 00:01:21.478000,16.0,5.0,,,0 days 00:00:26.739000,0 days 00:00:27.144000,0 days 00:00:27.595000,0 days 01:06:15.607000,0 days 01:06:42.751000,0 days 01:07:10.346000,251.0,280.0,315.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:48.868000,2021-11-20 14:50:48.878,1,,False,,False,True,0 days 00:00:00.651000,0.651,#00d2be
0 days 01:07:46.772000,GAS,10,0 days 00:01:21.640000,16.0,5.0,,,0 days 00:00:26.778000,0 days 00:00:27.267000,0 days 00:00:27.595000,0 days 01:06:51.910000,0 days 01:07:19.177000,0 days 01:07:46.772000,250.0,280.0,314.0,319.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:06:25.132000,2021-11-20 14:51:25.142,1,,False,,False,True,0 days 00:00:00.813000,0.813,#2b4562
0 days 01:08:15.341000,ALO,14,0 days 00:01:21.670000,14.0,5.0,,,0 days 00:00:26.606000,0 days 00:00:27.355000,0 days 00:00:27.709000,0 days 01:07:20.277000,0 days 01:07:47.632000,0 days 01:08:15.341000,252.0,277.0,311.0,327.0,True,SOFT,2.0,True,Alpine,0 days 01:06:53.671000,2021-11-20 14:51:53.681,1,,False,,False,True,0 days 00:00:00.843000,0.843,#0090ff
0 days 01:15:15.362000,NOR,4,0 days 00:01:21.731000,20.0,6.0,,,0 days 00:00:26.669000,0 days 00:00:27.516000,0 days 00:00:27.546000,0 days 01:14:20.300000,0 days 01:14:47.816000,0 days 01:15:15.362000,252.0,281.0,319.0,324.0,True,SOFT,2.0,True,McLaren,0 days 01:13:53.631000,2021-11-20 14:58:53.641,2,,False,,False,True,0 days 00:00:00.904000,0.904,#ff8700
0 days 01:07:32.773000,SAI,55,0 days 00:01:21.840000,17.0,5.0,,,0 days 00:00:26.871000,0 days 00:00:27.393000,0 days 00:00:27.576000,0 days 01:06:37.804000,0 days 01:07:05.197000,0 days 01:07:32.773000,252.0,281.0,315.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 01:06:10.933000,2021-11-20 14:51:10.943,1,,False,,False,True,0 days 00:00:01.013000,1.013,#dc0000
0 days 01:14:47.692000,TSU,22,0 days 00:01:21.881000,17.0,6.0,,,0 days 00:00:26.816000,0 days 00:00:27.302000,0 days 00:00:27.763000,0 days 01:13:52.627000,0 days 01:14:19.929000,0 days 01:14:47.692000,252.0,280.0,312.0,318.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:13:25.811000,2021-11-20 14:58:25.821,1,,False,,False,True,0 days 00:00:01.054000,1.054,#2b4562
0 days 00:55:27.935000,OCO,31,0 days 00:01:22.012000,11.0,4.0,,,0 days 00:00:26.747000,0 days 00:00:27.546000,0 days 00:00:27.719000,0 days 00:54:32.670000,0 days 00:55:00.216000,0 days 00:55:27.935000,248.0,277.0,314.0,322.0,True,SOFT,2.0,True,Alpine,0 days 00:54:05.923000,2021-11-20 14:39:05.933,1,,False,,False,True,0 days 00:00:01.185000,1.185,#0090ff
0 days 00:51:21.123000,VET,5,0 days 00:01:22.146000,14.0,3.0,,,0 days 00:00:26.854000,0 days 00:00:27.435000,0 days 00:00:27.857000,0 days 00:50:25.831000,0 days 00:50:53.266000,0 days 00:51:21.123000,251.0,279.0,317.0,322.0,True,SOFT,5.0,True,Aston Martin,0 days 00:49:58.977000,2021-11-20 14:34:58.987,1,,False,,False,True,0 days 00:00:01.319000,1.319,#006f62
0 days 00:55:51.663000,PER,11,0 days 00:01:22.346000,11.0,3.0,,,0 days 00:00:27.038000,0 days 00:00:27.295000,0 days 00:00:28.013000,0 days 00:54:56.355000,0 days 00:55:23.650000,0 days 00:55:51.663000,247.0,277.0,312.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:29.317000,2021-11-20 14:39:29.327,1,,False,,False,True,0 days 00:00:01.519000,1.519,#0600ef
0 days 00:54:59.866000,STR,18,0 days 00:01:22.460000,14.0,4.0,,,0 days 00:00:27.036000,0 days 00:00:27.529000,0 days 00:00:27.895000,0 days 00:54:04.442000,0 days 00:54:31.971000,0 days 00:54:59.866000,248.0,281.0,317.0,322.0,True,SOFT,2.0,True,Aston Martin,0 days 00:53:37.406000,2021-11-20 14:38:37.416,1,,False,,False,True,0 days 00:00:01.633000,1.633,#006f62
0 days 00:54:50.796000,LEC,16,0 days 00:01:22.463000,14.0,4.0,,,0 days 00:00:27.006000,0 days 00:00:27.624000,0 days 00:00:27.833000,0 days 00:53:55.339000,0 days 00:54:22.963000,0 days 00:54:50.796000,249.0,280.0,313.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:28.333000,2021-11-20 14:38:28.343,1,,False,,False,True,0 days 00:00:01.636000,1.636,#dc0000
0 days 00:55:13.061000,RIC,3,0 days 00:01:22.597000,14.0,4.0,,,0 days 00:00:27.040000,0 days 00:00:27.725000,0 days 00:00:27.832000,0 days 00:54:17.504000,0 days 00:54:45.229000,0 days 00:55:13.061000,248.0,280.0,317.0,323.0,True,SOFT,2.0,True,McLaren,0 days 00:53:50.464000,2021-11-20 14:38:50.474,1,,False,,False,True,0 days 00:00:01.770000,1.77,#ff8700
