Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:16:11.282000,NOR,4,0 days 00:01:41.993000,22.0,5.0,,,0 days 00:00:36.517000,0 days 00:00:34.685000,0 days 00:00:30.791000,0 days 01:15:05.806000,0 days 01:15:40.491000,0 days 01:16:11.282000,261.0,294.0,142.0,291.0,True,SOFT,3.0,True,McLaren,0 days 01:14:29.289000,2021-09-25 12:59:29.371,1,,False,,False,True,0 days 00:00:00,0.0,#ff8700
0 days 01:15:51.580000,SAI,55,0 days 00:01:42.510000,24.0,6.0,,,0 days 00:00:36.549000,0 days 00:00:34.793000,0 days 00:00:31.168000,0 days 01:14:45.619000,0 days 01:15:20.412000,0 days 01:15:51.580000,261.0,286.0,147.0,291.0,True,SOFT,3.0,True,Ferrari,0 days 01:14:09.070000,2021-09-25 12:59:09.152,1,,False,,False,True,0 days 00:00:00.517000,0.517,#dc0000
0 days 01:16:23.628000,RUS,63,0 days 00:01:42.983000,25.0,6.0,,,0 days 00:00:36.308000,0 days 00:00:34.860000,0 days 00:00:31.815000,0 days 01:15:16.953000,0 days 01:15:51.813000,0 days 01:16:23.628000,261.0,302.0,151.0,301.0,True,SOFT,4.0,True,Williams,0 days 01:14:40.645000,2021-09-25 12:59:40.727,2,,False,,False,True,0 days 00:00:00.990000,0.99,#005aff
0 days 01:07:04.920000,HAM,44,0 days 00:01:44.050000,20.0,3.0,,,0 days 00:00:36.938000,0 days 00:00:35.656000,0 days 00:00:31.456000,0 days 01:05:57.808000,0 days 01:06:33.464000,0 days 01:07:04.920000,255.0,297.0,142.0,301.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 01:05:20.870000,2021-09-25 12:50:20.952,1,,False,,False,True,0 days 00:00:02.057000,2.057,#00d2be
0 days 01:16:07.131000,RIC,3,0 days 00:01:44.156000,22.0,5.0,,,0 days 00:00:37.170000,0 days 00:00:35.062000,0 days 00:00:31.924000,0 days 01:15:00.145000,0 days 01:15:35.207000,0 days 01:16:07.131000,260.0,293.0,145.0,287.0,True,SOFT,3.0,True,McLaren,0 days 01:14:22.975000,2021-09-25 12:59:23.057,1,,False,,False,True,0 days 00:00:02.163000,2.163,#ff8700
0 days 01:16:19.967000,ALO,14,0 days 00:01:44.204000,24.0,6.0,,,0 days 00:00:36.957000,0 days 00:00:35.133000,0 days 00:00:32.114000,0 days 01:15:12.720000,0 days 01:15:47.853000,0 days 01:16:19.967000,259.0,298.0,147.0,292.0,True,SOFT,3.0,True,Alpine,0 days 01:14:35.763000,2021-09-25 12:59:35.845,2,,False,,False,True,0 days 00:00:02.211000,2.211,#0090ff
0 days 01:07:00.201000,BOT,77,0 days 00:01:44.710000,19.0,3.0,,,0 days 00:00:37.148000,0 days 00:00:36.008000,0 days 00:00:31.554000,0 days 01:05:52.639000,0 days 01:06:28.647000,0 days 01:07:00.201000,258.0,294.0,146.0,297.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 01:05:15.491000,2021-09-25 12:50:15.573,1,,False,,False,True,0 days 00:00:02.717000,2.717,#00d2be
0 days 01:15:42.827000,STR,18,0 days 00:01:44.956000,22.0,5.0,,,0 days 00:00:37.261000,0 days 00:00:35.410000,0 days 00:00:32.285000,0 days 01:14:35.132000,0 days 01:15:10.542000,0 days 01:15:42.827000,254.0,300.0,138.0,294.0,True,SOFT,3.0,True,Aston Martin,0 days 01:13:57.871000,2021-09-25 12:58:57.953,1,,False,,False,True,0 days 00:00:02.963000,2.963,#006f62
0 days 01:09:07.996000,PER,11,0 days 00:01:45.337000,20.0,3.0,,,0 days 00:00:37.106000,0 days 00:00:36.166000,0 days 00:00:32.065000,0 days 01:07:59.765000,0 days 01:08:35.931000,0 days 01:09:07.996000,252.0,299.0,139.0,302.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:07:22.659000,2021-09-25 12:52:22.741,1,,False,,False,True,0 days 00:00:03.344000,3.344,#0600ef
0 days 01:07:14.373000,OCO,31,0 days 00:01:45.865000,20.0,4.0,,,0 days 00:00:37.355000,0 days 00:00:36.342000,0 days 00:00:32.168000,0 days 01:06:05.863000,0 days 01:06:42.205000,0 days 01:07:14.373000,252.0,295.0,142.0,288.0,True,INTERMEDIATE,5.0,False,Alpine,0 days 01:05:28.508000,2021-09-25 12:50:28.590,1,,False,,False,True,0 days 00:00:03.872000,3.872,#0090ff
0 days 00:50:41.518000,VET,5,0 days 00:01:46.573000,15.0,2.0,,,0 days 00:00:37.766000,0 days 00:00:36.714000,0 days 00:00:32.093000,0 days 00:49:32.711000,0 days 00:50:09.425000,0 days 00:50:41.518000,243.0,292.0,143.0,297.0,True,INTERMEDIATE,5.0,True,Aston Martin,0 days 00:48:54.945000,2021-09-25 12:33:55.027,1,,False,,False,True,0 days 00:00:04.580000,4.58,#006f62
0 days 00:56:11.968000,GAS,10,0 days 00:01:46.641000,17.0,2.0,,,0 days 00:00:37.614000,0 days 00:00:36.726000,0 days 00:00:32.301000,0 days 00:55:02.941000,0 days 00:55:39.667000,0 days 00:56:11.968000,249.0,299.0,136.0,298.0,True,INTERMEDIATE,8.0,True,AlphaTauri,0 days 00:54:25.327000,2021-09-25 12:39:25.409,1,,False,,False,True,0 days 00:00:04.648000,4.648,#2b4562
0 days 00:56:33.652000,TSU,22,0 days 00:01:46.751000,19.0,3.0,,,0 days 00:00:37.552000,0 days 00:00:36.845000,0 days 00:00:32.354000,0 days 00:55:24.453000,0 days 00:56:01.298000,0 days 00:56:33.652000,235.0,298.0,139.0,297.0,True,INTERMEDIATE,2.0,True,AlphaTauri,0 days 00:54:46.901000,2021-09-25 12:39:46.983,1,,False,,False,True,0 days 00:00:04.758000,4.758,#2b4562
0 days 00:25:46.292000,LAT,6,0 days 00:01:48.252000,5.0,1.0,,,0 days 00:00:37.753000,0 days 00:00:37.512000,0 days 00:00:32.987000,0 days 00:24:35.793000,0 days 00:25:13.305000,0 days 00:25:46.292000,242.0,297.0,143.0,300.0,True,INTERMEDIATE,5.0,True,Williams,0 days 00:23:58.040000,2021-09-25 12:08:58.122,1,,False,,False,True,0 days 00:00:06.259000,6.259,#005aff
0 days 00:33:05.591000,LEC,16,0 days 00:01:48.470000,9.0,1.0,,,0 days 00:00:38.436000,0 days 00:00:37.449000,0 days 00:00:32.585000,0 days 00:31:55.557000,0 days 00:32:33.006000,0 days 00:33:05.591000,253.0,292.0,133.0,295.0,True,INTERMEDIATE,9.0,True,Ferrari,0 days 00:31:17.121000,2021-09-25 12:16:17.203,1,,False,,False,True,0 days 00:00:06.477000,6.477,#dc0000
0 days 00:33:41.267000,RAI,7,0 days 00:01:49.586000,9.0,2.0,,,0 days 00:00:38.456000,0 days 00:00:37.917000,0 days 00:00:33.213000,0 days 00:32:30.137000,0 days 00:33:08.054000,0 days 00:33:41.267000,245.0,281.0,135.0,,True,INTERMEDIATE,3.0,True,Alfa Romeo Racing,0 days 00:31:51.681000,2021-09-25 12:16:51.763,1,,False,,False,True,0 days 00:00:07.593000,7.593,#900000
0 days 00:34:26.326000,MSC,47,0 days 00:01:49.830000,9.0,2.0,,,0 days 00:00:38.233000,0 days 00:00:37.993000,0 days 00:00:33.604000,0 days 00:33:14.729000,0 days 00:33:52.722000,0 days 00:34:26.326000,239.0,295.0,133.0,289.0,True,INTERMEDIATE,5.0,True,Haas F1 Team,0 days 00:32:36.496000,2021-09-25 12:17:36.578,1,,False,,False,True,0 days 00:00:07.837000,7.837,#ffffff
0 days 00:32:59.381000,GIO,99,0 days 00:01:51.023000,8.0,2.0,,,0 days 00:00:39.191000,0 days 00:00:38.202000,0 days 00:00:33.630000,0 days 00:31:47.549000,0 days 00:32:25.751000,0 days 00:32:59.381000,232.0,296.0,138.0,279.0,True,INTERMEDIATE,4.0,True,Alfa Romeo Racing,0 days 00:31:08.358000,2021-09-25 12:16:08.440,1,,False,,False,True,0 days 00:00:09.030000,9.03,#900000
0 days 00:34:44.629000,MAZ,9,0 days 00:01:53.764000,9.0,2.0,,,0 days 00:00:39.912000,0 days 00:00:38.853000,0 days 00:00:34.999000,0 days 00:33:30.777000,0 days 00:34:09.630000,0 days 00:34:44.629000,223.0,297.0,141.0,239.0,True,INTERMEDIATE,3.0,True,Haas F1 Team,0 days 00:32:50.865000,2021-09-25 12:17:50.947,1,,False,,False,True,0 days 00:00:11.771000,11.771,#ffffff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
