Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:15:29.783000,HAM,44,0 days 00:01:07.934000,22.0,6.0,,,0 days 00:00:17.498000,0 days 00:00:34.445000,0 days 00:00:15.991000,0 days 01:14:39.347000,0 days 01:15:13.792000,0 days 01:15:29.783000,322.0,265.0,321.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:21.849000,2021-11-12 19:59:21.858,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:09:04.310000,VER,33,0 days 00:01:08.372000,13.0,4.0,,,0 days 00:00:17.521000,0 days 00:00:34.696000,0 days 00:00:16.155000,0 days 01:08:13.459000,0 days 01:08:48.155000,0 days 01:09:04.310000,320.0,265.0,316.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:07:55.938000,2021-11-12 19:52:55.947,1,,False,,False,True,0 days 00:00:00.438000,0.438,#0600ef
0 days 00:55:45.189000,BOT,77,0 days 00:01:08.426000,16.0,4.0,,,0 days 00:00:17.663000,0 days 00:00:34.670000,0 days 00:00:16.093000,0 days 00:54:54.426000,0 days 00:55:29.096000,0 days 00:55:45.189000,318.0,265.0,318.0,321.0,True,SOFT,2.0,True,Mercedes,0 days 00:54:36.763000,2021-11-12 19:39:36.772,1,,False,,False,True,0 days 00:00:00.492000,0.492,#00d2be
0 days 01:15:24.312000,PER,11,0 days 00:01:08.483000,21.0,6.0,,,0 days 00:00:17.651000,0 days 00:00:34.677000,0 days 00:00:16.155000,0 days 01:14:33.480000,0 days 01:15:08.157000,0 days 01:15:24.312000,320.0,263.0,315.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:15.829000,2021-11-12 19:59:15.838,1,,False,,False,True,0 days 00:00:00.549000,0.549,#0600ef
0 days 01:15:16.022000,GAS,10,0 days 00:01:08.777000,17.0,6.0,,,0 days 00:00:17.709000,0 days 00:00:34.894000,0 days 00:00:16.174000,0 days 01:14:24.954000,0 days 01:14:59.848000,0 days 01:15:16.022000,320.0,265.0,315.0,317.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:14:07.245000,2021-11-12 19:59:07.254,1,,False,,False,True,0 days 00:00:00.843000,0.843,#2b4562
0 days 01:15:07.104000,SAI,55,0 days 00:01:08.826000,18.0,6.0,,,0 days 00:00:17.627000,0 days 00:00:34.967000,0 days 00:00:16.232000,0 days 01:14:15.905000,0 days 01:14:50.872000,0 days 01:15:07.104000,321.0,266.0,315.0,319.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:58.278000,2021-11-12 19:58:58.287,1,,False,,False,True,0 days 00:00:00.892000,0.892,#dc0000
0 days 00:55:03.992000,LEC,16,0 days 00:01:08.859000,15.0,5.0,,,0 days 00:00:17.646000,0 days 00:00:34.936000,0 days 00:00:16.277000,0 days 00:54:12.779000,0 days 00:54:47.715000,0 days 00:55:03.992000,323.0,266.0,316.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:55.133000,2021-11-12 19:38:55.142,1,,False,,False,True,0 days 00:00:00.925000,0.925,#dc0000
0 days 01:15:40.368000,NOR,4,0 days 00:01:08.980000,21.0,6.0,,,0 days 00:00:17.637000,0 days 00:00:35.192000,0 days 00:00:16.151000,0 days 01:14:49.025000,0 days 01:15:24.217000,0 days 01:15:40.368000,322.0,264.0,320.0,322.0,True,SOFT,2.0,True,McLaren,0 days 01:14:31.388000,2021-11-12 19:59:31.397,1,,False,,False,True,0 days 00:00:01.046000,1.046,#ff8700
0 days 01:15:44.631000,RIC,3,0 days 00:01:09.039000,21.0,7.0,,,0 days 00:00:17.722000,0 days 00:00:35.103000,0 days 00:00:16.214000,0 days 01:14:53.314000,0 days 01:15:28.417000,0 days 01:15:44.631000,320.0,263.0,318.0,319.0,True,SOFT,2.0,True,McLaren,0 days 01:14:35.592000,2021-11-12 19:59:35.601,1,,False,,False,True,0 days 00:00:01.105000,1.105,#ff8700
0 days 01:14:47.679000,ALO,14,0 days 00:01:09.113000,18.0,6.0,,,0 days 00:00:17.748000,0 days 00:00:35.131000,0 days 00:00:16.234000,0 days 01:13:56.314000,0 days 01:14:31.445000,0 days 01:14:47.679000,320.0,264.0,317.0,321.0,True,SOFT,2.0,True,Alpine,0 days 01:13:38.566000,2021-11-12 19:58:38.575,1,,False,,False,True,0 days 00:00:01.179000,1.179,#0090ff
0 days 00:54:56.168000,OCO,31,0 days 00:01:09.189000,13.0,4.0,,,0 days 00:00:17.738000,0 days 00:00:35.165000,0 days 00:00:16.286000,0 days 00:54:04.717000,0 days 00:54:39.882000,0 days 00:54:56.168000,321.0,264.0,318.0,323.0,True,SOFT,2.0,True,Alpine,0 days 00:53:46.979000,2021-11-12 19:38:46.988,1,,False,,False,True,0 days 00:00:01.255000,1.255,#0090ff
0 days 00:33:29.447000,GIO,99,0 days 00:01:09.342000,8.0,3.0,,,0 days 00:00:17.689000,0 days 00:00:35.502000,0 days 00:00:16.151000,0 days 00:32:37.794000,0 days 00:33:13.296000,0 days 00:33:29.447000,327.0,269.0,323.0,328.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:32:20.105000,2021-11-12 19:17:20.114,1,,False,,False,True,0 days 00:00:01.408000,1.408,#900000
0 days 00:25:15.076000,TSU,22,0 days 00:01:09.350000,2.0,1.0,,,0 days 00:00:17.971000,0 days 00:00:35.159000,0 days 00:00:16.220000,0 days 00:24:23.697000,0 days 00:24:58.856000,0 days 00:25:15.076000,319.0,265.0,327.0,316.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:24:05.726000,2021-11-12 19:09:05.735,1,,False,,False,True,0 days 00:00:01.416000,1.416,#2b4562
0 days 00:55:11.833000,VET,5,0 days 00:01:09.399000,14.0,4.0,,,0 days 00:00:17.834000,0 days 00:00:35.238000,0 days 00:00:16.327000,0 days 00:54:20.268000,0 days 00:54:55.506000,0 days 00:55:11.833000,317.0,262.0,314.0,315.0,True,SOFT,2.0,True,Aston Martin,0 days 00:54:02.434000,2021-11-12 19:39:02.443,1,,False,,False,True,0 days 00:00:01.465000,1.465,#006f62
0 days 00:55:52.255000,RAI,7,0 days 00:01:09.503000,14.0,5.0,,,0 days 00:00:17.807000,0 days 00:00:35.416000,0 days 00:00:16.280000,0 days 00:55:00.559000,0 days 00:55:35.975000,0 days 00:55:52.255000,325.0,266.0,321.0,330.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:54:42.752000,2021-11-12 19:39:42.761,1,,False,,False,True,0 days 00:00:01.569000,1.569,#900000
0 days 00:33:21.729000,STR,18,0 days 00:01:09.663000,8.0,2.0,,,0 days 00:00:18.075000,0 days 00:00:35.292000,0 days 00:00:16.296000,0 days 00:32:30.141000,0 days 00:33:05.433000,0 days 00:33:21.729000,319.0,264.0,317.0,318.0,True,SOFT,2.0,True,Aston Martin,0 days 00:32:12.066000,2021-11-12 19:17:12.075,1,,False,,False,True,0 days 00:00:01.729000,1.729,#006f62
0 days 00:33:02.031000,LAT,6,0 days 00:01:09.897000,8.0,3.0,,,0 days 00:00:17.981000,0 days 00:00:35.524000,0 days 00:00:16.392000,0 days 00:32:10.115000,0 days 00:32:45.639000,0 days 00:33:02.031000,318.0,263.0,320.0,319.0,True,SOFT,2.0,True,Williams,0 days 00:31:52.134000,2021-11-12 19:16:52.143,1,,False,,False,True,0 days 00:00:01.963000,1.963,#005aff
0 days 00:32:49.107000,RUS,63,0 days 00:01:09.953000,9.0,3.0,,,0 days 00:00:18.037000,0 days 00:00:35.539000,0 days 00:00:16.377000,0 days 00:31:57.191000,0 days 00:32:32.730000,0 days 00:32:49.107000,318.0,263.0,321.0,320.0,True,SOFT,2.0,True,Williams,0 days 00:31:39.154000,2021-11-12 19:16:39.163,1,,False,,False,True,0 days 00:00:02.019000,2.019,#005aff
0 days 00:27:08.700000,MSC,47,0 days 00:01:10.329000,7.0,2.0,,,0 days 00:00:17.969000,0 days 00:00:35.847000,0 days 00:00:16.513000,0 days 00:26:16.340000,0 days 00:26:52.187000,0 days 00:27:08.700000,321.0,265.0,319.0,318.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:25:58.371000,2021-11-12 19:10:58.380,1,,False,,False,True,0 days 00:00:02.395000,2.395,#ffffff
0 days 00:27:03.611000,MAZ,9,0 days 00:01:10.589000,6.0,2.0,,,0 days 00:00:18.231000,0 days 00:00:35.825000,0 days 00:00:16.533000,0 days 00:26:11.253000,0 days 00:26:47.078000,0 days 00:27:03.611000,320.0,263.0,314.0,318.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:25:53.022000,2021-11-12 19:10:53.031,1,,False,,False,True,0 days 00:00:02.655000,2.655,#ffffff
