Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:09:50.096000,HAM,44,0 days 00:01:22.868000,25.0,7.0,,,0 days 00:00:30.738000,0 days 00:00:29.262000,0 days 00:00:22.868000,0 days 01:08:57.966000,0 days 01:09:27.228000,0 days 01:09:50.096000,279.0,295.0,252.0,321.0,True,SOFT,2.0,True,Mercedes,0 days 01:08:27.228000,2021-10-09 12:56:21.271,1,,False,,False,True,0 days 00:00:00,0.0,#00d2be
0 days 01:12:38.455000,BOT,77,0 days 00:01:22.998000,26.0,7.0,,,0 days 00:00:30.730000,0 days 00:00:29.265000,0 days 00:00:23.003000,0 days 01:11:46.187000,0 days 01:12:15.452000,0 days 01:12:38.455000,282.0,293.0,251.0,324.0,True,SOFT,2.0,True,Mercedes,0 days 01:11:15.457000,2021-10-09 12:59:09.500,1,,False,,False,True,0 days 00:00:00.130000,0.13,#00d2be
0 days 01:12:21.193000,VER,33,0 days 00:01:23.196000,24.0,8.0,,,0 days 00:00:30.801000,0 days 00:00:29.333000,0 days 00:00:23.062000,0 days 01:11:28.798000,0 days 01:11:58.131000,0 days 01:12:21.193000,280.0,290.0,252.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:10:57.997000,2021-10-09 12:58:52.040,1,,False,,False,True,0 days 00:00:00.328000,0.328,#0600ef
0 days 01:13:05.644000,LEC,16,0 days 00:01:23.265000,29.0,8.0,,,0 days 00:00:30.990000,0 days 00:00:29.319000,0 days 00:00:22.956000,0 days 01:12:13.369000,0 days 01:12:42.688000,0 days 01:13:05.644000,283.0,295.0,252.0,323.0,True,SOFT,3.0,True,Ferrari,0 days 01:11:42.379000,2021-10-09 12:59:36.422,1,,False,,False,True,0 days 00:00:00.397000,0.397,#dc0000
0 days 01:11:48.191000,GAS,10,0 days 00:01:23.326000,23.0,8.0,,,0 days 00:00:30.711000,0 days 00:00:29.361000,0 days 00:00:23.254000,0 days 01:10:55.576000,0 days 01:11:24.937000,0 days 01:11:48.191000,280.0,289.0,251.0,321.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:10:24.865000,2021-10-09 12:58:18.908,1,,False,,False,True,0 days 00:00:00.458000,0.458,#2b4562
0 days 01:12:32.970000,ALO,14,0 days 00:01:23.477000,23.0,8.0,,,0 days 00:00:30.762000,0 days 00:00:29.592000,0 days 00:00:23.123000,0 days 01:11:40.255000,0 days 01:12:09.847000,0 days 01:12:32.970000,280.0,289.0,251.0,319.0,True,SOFT,2.0,True,Alpine,0 days 01:11:09.493000,2021-10-09 12:59:03.536,1,,False,,False,True,0 days 00:00:00.609000,0.609,#0090ff
0 days 01:12:16.766000,PER,11,0 days 00:01:23.706000,23.0,8.0,,,0 days 00:00:31.188000,0 days 00:00:29.483000,0 days 00:00:23.035000,0 days 01:11:24.248000,0 days 01:11:53.731000,0 days 01:12:16.766000,280.0,290.0,252.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:10:53.060000,2021-10-09 12:58:47.103,1,,False,,False,True,0 days 00:00:00.838000,0.838,#0600ef
0 days 01:12:26.824000,NOR,4,0 days 00:01:23.954000,24.0,8.0,,,0 days 00:00:31.247000,0 days 00:00:29.607000,0 days 00:00:23.100000,0 days 01:11:34.117000,0 days 01:12:03.724000,0 days 01:12:26.824000,277.0,291.0,252.0,318.0,True,SOFT,2.0,True,McLaren,0 days 01:11:02.870000,2021-10-09 12:58:56.913,1,,False,,False,True,0 days 00:00:01.086000,1.086,#ff8700
0 days 00:51:44.183000,TSU,22,0 days 00:01:24.054000,17.0,6.0,,,0 days 00:00:31.356000,0 days 00:00:29.544000,0 days 00:00:23.154000,0 days 00:50:51.485000,0 days 00:51:21.029000,0 days 00:51:44.183000,282.0,293.0,252.0,320.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:50:20.129000,2021-10-09 12:38:14.172,2,,False,,False,True,0 days 00:00:01.186000,1.186,#2b4562
0 days 01:12:48.186000,STR,18,0 days 00:01:24.305000,22.0,8.0,,,0 days 00:00:31.433000,0 days 00:00:29.650000,0 days 00:00:23.222000,0 days 01:11:55.314000,0 days 01:12:24.964000,0 days 01:12:48.186000,278.0,291.0,250.0,318.0,True,SOFT,2.0,True,Aston Martin,0 days 01:11:23.881000,2021-10-09 12:59:17.924,1,,False,,False,True,0 days 00:00:01.437000,1.437,#006f62
