Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 00:50:04.705000,GAS,10,0 days 00:01:36.677000,6.0,2.0,,,0 days 00:00:30.990000,0 days 00:00:41.802000,0 days 00:00:23.885000,0 days 00:48:59.036000,0 days 00:49:40.838000,0 days 00:50:04.723000,233.0,254.0,275.0,280.0,True,HARD,2.0,True,AlphaTauri,0 days 00:48:28.028000,2021-03-28 15:18:28.038,1,19.0,False,,False,True,96.677
0 days 00:51:41.659000,GAS,10,0 days 00:01:36.954000,7.0,2.0,,,0 days 00:00:31.176000,0 days 00:00:41.678000,0 days 00:00:24.100000,0 days 00:50:35.899000,0 days 00:51:17.577000,0 days 00:51:41.677000,232.0,252.0,274.0,282.0,False,HARD,3.0,True,AlphaTauri,0 days 00:50:04.705000,2021-03-28 15:20:04.715,1,19.0,False,,False,True,96.954
0 days 00:53:19.083000,GAS,10,0 days 00:01:37.424000,8.0,2.0,,,0 days 00:00:31.340000,0 days 00:00:41.981000,0 days 00:00:24.103000,0 days 00:52:13.017000,0 days 00:52:54.998000,0 days 00:53:19.101000,231.0,251.0,275.0,,False,HARD,4.0,True,AlphaTauri,0 days 00:51:41.659000,2021-03-28 15:21:41.669,1,19.0,False,,False,True,97.424
0 days 00:54:56.113000,GAS,10,0 days 00:01:37.030000,9.0,2.0,,,0 days 00:00:31.256000,0 days 00:00:41.911000,0 days 00:00:23.863000,0 days 00:53:50.357000,0 days 00:54:32.268000,0 days 00:54:56.131000,234.0,248.0,276.0,286.0,False,HARD,5.0,True,AlphaTauri,0 days 00:53:19.083000,2021-03-28 15:23:19.093,1,19.0,False,,False,True,97.03
0 days 00:56:33.488000,GAS,10,0 days 00:01:37.375000,10.0,2.0,,,0 days 00:00:31.296000,0 days 00:00:42.128000,0 days 00:00:23.951000,0 days 00:55:27.427000,0 days 00:56:09.555000,0 days 00:56:33.506000,233.0,245.0,274.0,285.0,False,HARD,6.0,True,AlphaTauri,0 days 00:54:56.113000,2021-03-28 15:24:56.123,1,19.0,False,,False,True,97.375
0 days 00:58:11.005000,GAS,10,0 days 00:01:37.517000,11.0,2.0,,,0 days 00:00:31.269000,0 days 00:00:42.075000,0 days 00:00:24.173000,0 days 00:57:04.775000,0 days 00:57:46.850000,0 days 00:58:11.023000,235.0,245.0,276.0,286.0,False,HARD,7.0,True,AlphaTauri,0 days 00:56:33.488000,2021-03-28 15:26:33.498,1,19.0,False,,False,True,97.517
0 days 00:59:49.059000,GAS,10,0 days 00:01:38.054000,12.0,2.0,,,0 days 00:00:31.415000,0 days 00:00:42.518000,0 days 00:00:24.121000,0 days 00:58:42.438000,0 days 00:59:24.956000,0 days 00:59:49.077000,233.0,242.0,275.0,287.0,False,HARD,8.0,True,AlphaTauri,0 days 00:58:11.005000,2021-03-28 15:28:11.015,1,19.0,False,,False,True,98.054
0 days 01:01:26.933000,GAS,10,0 days 00:01:37.874000,13.0,2.0,,,0 days 00:00:31.383000,0 days 00:00:42.312000,0 days 00:00:24.179000,0 days 01:00:20.460000,0 days 01:01:02.772000,0 days 01:01:26.951000,235.0,247.0,277.0,286.0,False,HARD,9.0,True,AlphaTauri,0 days 00:59:49.059000,2021-03-28 15:29:49.069,1,19.0,False,,False,True,97.874
0 days 01:03:05.235000,GAS,10,0 days 00:01:38.302000,14.0,2.0,,,0 days 00:00:31.450000,0 days 00:00:42.590000,0 days 00:00:24.262000,0 days 01:01:58.401000,0 days 01:02:40.991000,0 days 01:03:05.253000,233.0,244.0,276.0,287.0,False,HARD,10.0,True,AlphaTauri,0 days 01:01:26.933000,2021-03-28 15:31:26.943,1,19.0,False,,False,True,98.302
0 days 01:04:43.236000,GAS,10,0 days 00:01:38.001000,15.0,2.0,,,0 days 00:00:31.426000,0 days 00:00:42.398000,0 days 00:00:24.177000,0 days 01:03:36.679000,0 days 01:04:19.077000,0 days 01:04:43.254000,235.0,247.0,277.0,291.0,False,HARD,11.0,True,AlphaTauri,0 days 01:03:05.235000,2021-03-28 15:33:05.245,1,17.0,False,,False,True,98.001
0 days 01:06:21.229000,GAS,10,0 days 00:01:37.993000,16.0,2.0,,,0 days 00:00:31.359000,0 days 00:00:42.296000,0 days 00:00:24.338000,0 days 01:05:14.613000,0 days 01:05:56.909000,0 days 01:06:21.247000,233.0,248.0,276.0,287.0,False,HARD,12.0,True,AlphaTauri,0 days 01:04:43.236000,2021-03-28 15:34:43.246,1,17.0,False,,False,True,97.993
0 days 01:07:59.644000,GAS,10,0 days 00:01:38.415000,17.0,2.0,,,0 days 00:00:31.463000,0 days 00:00:42.478000,0 days 00:00:24.474000,0 days 01:06:52.710000,0 days 01:07:35.188000,0 days 01:07:59.662000,,250.0,275.0,290.0,False,HARD,13.0,True,AlphaTauri,0 days 01:06:21.229000,2021-03-28 15:36:21.239,1,17.0,False,,False,True,98.415
