Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:11:35.402000,VER,33,0 days 00:01:21.615000,5.0,1.0,,,0 days 00:00:29.344000,0 days 00:00:31.373000,0 days 00:00:20.898000,0 days 01:10:43.131000,0 days 01:11:14.504000,0 days 01:11:35.402000,284.0,278.0,247.0,311.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:10:13.787000,2021-11-07 19:11:15.183,1,1.0,False,,False,False,81.615
0 days 01:12:57.037000,VER,33,0 days 00:01:21.635000,6.0,1.0,,,0 days 00:00:29.228000,0 days 00:00:31.510000,0 days 00:00:20.897000,0 days 01:12:04.630000,0 days 01:12:36.140000,0 days 01:12:57.037000,275.0,279.0,247.0,,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:11:35.402000,2021-11-07 19:12:36.798,1,1.0,False,,False,True,81.635
0 days 01:14:18.659000,VER,33,0 days 00:01:21.622000,7.0,1.0,,,0 days 00:00:29.241000,0 days 00:00:31.540000,0 days 00:00:20.841000,0 days 01:13:26.278000,0 days 01:13:57.818000,0 days 01:14:18.659000,276.0,280.0,247.0,315.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:12:57.037000,2021-11-07 19:13:58.433,1,1.0,False,,False,True,81.622
0 days 01:15:40.179000,VER,33,0 days 00:01:21.520000,8.0,1.0,,,0 days 00:00:29.149000,0 days 00:00:31.486000,0 days 00:00:20.885000,0 days 01:14:47.808000,0 days 01:15:19.294000,0 days 01:15:40.179000,277.0,279.0,246.0,,True,MEDIUM,11.0,False,Red Bull Racing,0 days 01:14:18.659000,2021-11-07 19:15:20.055,1,1.0,False,,False,True,81.52
0 days 01:17:01.230000,VER,33,0 days 00:01:21.051000,9.0,1.0,,,0 days 00:00:29.030000,0 days 00:00:31.215000,0 days 00:00:20.806000,0 days 01:16:09.209000,0 days 01:16:40.424000,0 days 01:17:01.230000,,279.0,247.0,312.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:15:40.179000,2021-11-07 19:16:41.575,1,1.0,False,,False,True,81.051
0 days 01:18:22.374000,VER,33,0 days 00:01:21.144000,10.0,1.0,,,0 days 00:00:28.989000,0 days 00:00:31.331000,0 days 00:00:20.824000,0 days 01:17:30.219000,0 days 01:18:01.550000,0 days 01:18:22.374000,282.0,280.0,247.0,314.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:17:01.230000,2021-11-07 19:18:02.626,1,1.0,False,,False,True,81.144
0 days 01:19:43.332000,VER,33,0 days 00:01:20.958000,11.0,1.0,,,0 days 00:00:28.965000,0 days 00:00:31.183000,0 days 00:00:20.810000,0 days 01:18:51.339000,0 days 01:19:22.522000,0 days 01:19:43.332000,278.0,280.0,247.0,312.0,True,MEDIUM,14.0,False,Red Bull Racing,0 days 01:18:22.374000,2021-11-07 19:19:23.770,1,1.0,False,,False,True,80.958
0 days 01:21:04.346000,VER,33,0 days 00:01:21.014000,12.0,1.0,,,0 days 00:00:29.002000,0 days 00:00:31.227000,0 days 00:00:20.785000,0 days 01:20:12.334000,0 days 01:20:43.561000,0 days 01:21:04.346000,279.0,280.0,247.0,313.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:19:43.332000,2021-11-07 19:20:44.728,1,1.0,False,,False,True,81.014
0 days 01:22:25.555000,VER,33,0 days 00:01:21.209000,13.0,1.0,,,0 days 00:00:29.081000,0 days 00:00:31.241000,0 days 00:00:20.887000,0 days 01:21:33.427000,0 days 01:22:04.668000,0 days 01:22:25.555000,280.0,278.0,247.0,318.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:21:04.346000,2021-11-07 19:22:05.742,1,1.0,False,,False,True,81.209
0 days 01:23:46.713000,VER,33,0 days 00:01:21.158000,14.0,1.0,,,0 days 00:00:29.113000,0 days 00:00:31.315000,0 days 00:00:20.730000,0 days 01:22:54.668000,0 days 01:23:25.983000,0 days 01:23:46.713000,279.0,280.0,248.0,316.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:22:25.555000,2021-11-07 19:23:26.951,1,1.0,False,,False,True,81.158
0 days 01:25:07.813000,VER,33,0 days 00:01:21.100000,15.0,1.0,,,0 days 00:00:28.919000,0 days 00:00:31.322000,0 days 00:00:20.859000,0 days 01:24:15.632000,0 days 01:24:46.954000,0 days 01:25:07.813000,286.0,280.0,248.0,317.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:23:46.713000,2021-11-07 19:24:48.109,1,1.0,False,,False,True,81.1
