Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:32:04.116000,GAS,10,0 days 00:01:28.662000,19.0,2.0,,,0 days 00:00:29.045000,0 days 00:00:29.658000,0 days 00:00:29.959000,0 days 01:31:04.500000,0 days 01:31:34.158000,0 days 01:32:04.117000,235.0,273.0,295.0,317.0,True,MEDIUM,9.0,False,AlphaTauri,0 days 01:30:35.454000,2021-11-21 14:31:35.464,1,13.0,False,,False,True,88.662
0 days 01:33:32.897000,GAS,10,0 days 00:01:28.781000,20.0,2.0,,,0 days 00:00:29.261000,0 days 00:00:29.601000,0 days 00:00:29.919000,0 days 01:32:33.378000,0 days 01:33:02.979000,0 days 01:33:32.898000,233.0,275.0,296.0,299.0,False,MEDIUM,10.0,False,AlphaTauri,0 days 01:32:04.116000,2021-11-21 14:33:04.126,1,13.0,False,,False,True,88.781
0 days 01:35:01.640000,GAS,10,0 days 00:01:28.743000,21.0,2.0,,,0 days 00:00:29.176000,0 days 00:00:29.652000,0 days 00:00:29.915000,0 days 01:34:02.074000,0 days 01:34:31.726000,0 days 01:35:01.641000,234.0,276.0,296.0,300.0,False,MEDIUM,11.0,False,AlphaTauri,0 days 01:33:32.897000,2021-11-21 14:34:32.907,1,13.0,False,,False,True,88.743
0 days 01:36:30.264000,GAS,10,0 days 00:01:28.624000,22.0,2.0,,,0 days 00:00:29.218000,0 days 00:00:29.663000,0 days 00:00:29.743000,0 days 01:35:30.859000,0 days 01:36:00.522000,0 days 01:36:30.265000,,275.0,296.0,302.0,True,MEDIUM,12.0,False,AlphaTauri,0 days 01:35:01.640000,2021-11-21 14:36:01.650,1,13.0,False,,False,True,88.624
0 days 01:37:59.034000,GAS,10,0 days 00:01:28.770000,23.0,2.0,,,0 days 00:00:29.187000,0 days 00:00:29.678000,0 days 00:00:29.905000,0 days 01:36:59.452000,0 days 01:37:29.130000,0 days 01:37:59.035000,236.0,276.0,296.0,301.0,False,MEDIUM,13.0,False,AlphaTauri,0 days 01:36:30.264000,2021-11-21 14:37:30.274,1,12.0,False,,False,True,88.77
0 days 01:40:57.038000,GAS,10,0 days 00:01:28.917000,25.0,2.0,,,0 days 00:00:29.260000,0 days 00:00:29.781000,0 days 00:00:29.876000,0 days 01:39:57.382000,0 days 01:40:27.163000,0 days 01:40:57.039000,236.0,276.0,298.0,302.0,False,MEDIUM,15.0,False,AlphaTauri,0 days 01:39:28.121000,2021-11-21 14:40:28.131,1,11.0,False,,False,True,88.917
0 days 01:42:26.050000,GAS,10,0 days 00:01:29.012000,26.0,2.0,,,0 days 00:00:29.284000,0 days 00:00:29.761000,0 days 00:00:29.967000,0 days 01:41:26.323000,0 days 01:41:56.084000,0 days 01:42:26.051000,235.0,279.0,295.0,,False,MEDIUM,16.0,False,AlphaTauri,0 days 01:40:57.038000,2021-11-21 14:41:57.048,1,8.0,False,,False,True,89.012
0 days 01:43:54.783000,GAS,10,0 days 00:01:28.733000,27.0,2.0,,,0 days 00:00:29.206000,0 days 00:00:29.757000,0 days 00:00:29.770000,0 days 01:42:55.257000,0 days 01:43:25.014000,0 days 01:43:54.784000,,276.0,295.0,299.0,False,MEDIUM,17.0,False,AlphaTauri,0 days 01:42:26.050000,2021-11-21 14:43:26.060,1,6.0,False,,False,True,88.733
0 days 01:45:23.258000,GAS,10,0 days 00:01:28.475000,28.0,2.0,,,0 days 00:00:29.136000,0 days 00:00:29.559000,0 days 00:00:29.780000,0 days 01:44:23.920000,0 days 01:44:53.479000,0 days 01:45:23.259000,236.0,275.0,295.0,,True,MEDIUM,18.0,False,AlphaTauri,0 days 01:43:54.783000,2021-11-21 14:44:54.793,1,6.0,False,,False,True,88.475
0 days 01:46:51.664000,GAS,10,0 days 00:01:28.406000,29.0,2.0,,,0 days 00:00:29.011000,0 days 00:00:29.661000,0 days 00:00:29.734000,0 days 01:45:52.270000,0 days 01:46:21.931000,0 days 01:46:51.665000,237.0,276.0,295.0,300.0,True,MEDIUM,19.0,False,AlphaTauri,0 days 01:45:23.258000,2021-11-21 14:46:23.268,1,6.0,False,,False,True,88.406
0 days 01:48:20.349000,GAS,10,0 days 00:01:28.685000,30.0,2.0,,,0 days 00:00:29.120000,0 days 00:00:29.707000,0 days 00:00:29.858000,0 days 01:47:20.785000,0 days 01:47:50.492000,0 days 01:48:20.350000,235.0,276.0,295.0,299.0,False,MEDIUM,20.0,False,AlphaTauri,0 days 01:46:51.664000,2021-11-21 14:47:51.674,1,6.0,False,,False,True,88.685
0 days 01:49:48.885000,GAS,10,0 days 00:01:28.536000,31.0,2.0,,,0 days 00:00:29.206000,0 days 00:00:29.666000,0 days 00:00:29.664000,0 days 01:48:49.556000,0 days 01:49:19.222000,0 days 01:49:48.886000,237.0,276.0,294.0,,False,MEDIUM,21.0,False,AlphaTauri,0 days 01:48:20.349000,2021-11-21 14:49:20.359,1,6.0,False,,False,True,88.536
0 days 01:51:17.625000,GAS,10,0 days 00:01:28.740000,32.0,2.0,,,0 days 00:00:29.106000,0 days 00:00:29.788000,0 days 00:00:29.846000,0 days 01:50:17.992000,0 days 01:50:47.780000,0 days 01:51:17.626000,235.0,276.0,295.0,300.0,False,MEDIUM,22.0,False,AlphaTauri,0 days 01:49:48.885000,2021-11-21 14:50:48.895,1,6.0,False,,False,True,88.74
0 days 01:59:07.246000,GAS,10,0 days 00:01:27.045000,37.0,3.0,,,0 days 00:00:28.785000,0 days 00:00:29.020000,0 days 00:00:29.240000,0 days 01:58:08.987000,0 days 01:58:38.007000,0 days 01:59:07.247000,240.0,281.0,301.0,305.0,True,MEDIUM,7.0,False,AlphaTauri,0 days 01:57:40.201000,2021-11-21 14:58:40.211,1,11.0,False,,False,True,87.045
0 days 02:00:34.535000,GAS,10,0 days 00:01:27.289000,38.0,3.0,,,0 days 00:00:28.976000,0 days 00:00:29.173000,0 days 00:00:29.140000,0 days 01:59:36.223000,0 days 02:00:05.396000,0 days 02:00:34.536000,235.0,281.0,317.0,304.0,False,MEDIUM,8.0,False,AlphaTauri,0 days 01:59:07.246000,2021-11-21 15:00:07.256,1,11.0,False,,False,True,87.289
0 days 02:02:02.160000,GAS,10,0 days 00:01:27.625000,39.0,3.0,,,0 days 00:00:29.153000,0 days 00:00:29.233000,0 days 00:00:29.239000,0 days 02:01:03.689000,0 days 02:01:32.922000,0 days 02:02:02.161000,238.0,280.0,315.0,328.0,False,MEDIUM,9.0,False,AlphaTauri,0 days 02:00:34.535000,2021-11-21 15:01:34.545,1,11.0,False,,False,True,87.625
