Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:04:56.124000,GAS,10,0 days 00:01:36.492000,2.0,1.0,,,0 days 00:00:36.118000,0 days 00:00:30.641000,0 days 00:00:29.733000,0 days 01:03:55.748000,0 days 01:04:26.389000,0 days 01:04:56.122000,280.0,300.0,294.0,302.0,True,MEDIUM,9.0,False,AlphaTauri,0 days 01:03:19.632000,2021-12-05 17:35:26.850,1,8.0,False,,False,True,96.492
0 days 01:06:31.996000,GAS,10,0 days 00:01:35.872000,3.0,1.0,,,0 days 00:00:35.867000,0 days 00:00:30.327000,0 days 00:00:29.678000,0 days 01:05:31.989000,0 days 01:06:02.316000,0 days 01:06:31.994000,,300.0,292.0,303.0,True,MEDIUM,10.0,False,AlphaTauri,0 days 01:04:56.124000,2021-12-05 17:37:03.342,1,8.0,False,,False,True,95.872
0 days 01:08:07.486000,GAS,10,0 days 00:01:35.490000,4.0,1.0,,,0 days 00:00:35.435000,0 days 00:00:30.281000,0 days 00:00:29.774000,0 days 01:07:07.429000,0 days 01:07:37.710000,0 days 01:08:07.484000,,297.0,294.0,301.0,True,MEDIUM,11.0,False,AlphaTauri,0 days 01:06:31.996000,2021-12-05 17:38:39.214,1,8.0,False,,False,True,95.49
0 days 01:09:42.917000,GAS,10,0 days 00:01:35.431000,5.0,1.0,,,0 days 00:00:35.631000,0 days 00:00:30.227000,0 days 00:00:29.573000,0 days 01:08:43.115000,0 days 01:09:13.342000,0 days 01:09:42.915000,278.0,298.0,292.0,301.0,True,MEDIUM,12.0,False,AlphaTauri,0 days 01:08:07.486000,2021-12-05 17:40:14.704,1,8.0,False,,False,True,95.431
0 days 01:11:18.193000,GAS,10,0 days 00:01:35.276000,6.0,1.0,,,0 days 00:00:35.616000,0 days 00:00:30.126000,0 days 00:00:29.534000,0 days 01:10:18.531000,0 days 01:10:48.657000,0 days 01:11:18.191000,283.0,299.0,295.0,299.0,True,MEDIUM,13.0,False,AlphaTauri,0 days 01:09:42.917000,2021-12-05 17:41:50.135,1,8.0,False,,False,True,95.276
0 days 01:12:53.999000,GAS,10,0 days 00:01:35.806000,7.0,1.0,,,0 days 00:00:36.047000,0 days 00:00:30.133000,0 days 00:00:29.626000,0 days 01:11:54.238000,0 days 01:12:24.371000,0 days 01:12:53.997000,271.0,297.0,293.0,299.0,False,MEDIUM,14.0,False,AlphaTauri,0 days 01:11:18.193000,2021-12-05 17:43:25.411,1,8.0,False,,False,True,95.806
0 days 01:14:30.808000,GAS,10,0 days 00:01:36.809000,8.0,1.0,,,0 days 00:00:36.701000,0 days 00:00:30.365000,0 days 00:00:29.743000,0 days 01:13:30.698000,0 days 01:14:01.063000,0 days 01:14:30.806000,280.0,297.0,292.0,299.0,False,MEDIUM,15.0,False,AlphaTauri,0 days 01:12:53.999000,2021-12-05 17:45:01.217,1,9.0,False,,False,True,96.809
0 days 01:16:06.065000,GAS,10,0 days 00:01:35.257000,9.0,1.0,,,0 days 00:00:35.498000,0 days 00:00:30.048000,0 days 00:00:29.711000,0 days 01:15:06.304000,0 days 01:15:36.352000,0 days 01:16:06.063000,282.0,298.0,291.0,300.0,True,MEDIUM,16.0,False,AlphaTauri,0 days 01:14:30.808000,2021-12-05 17:46:38.026,2,9.0,False,,False,True,95.257
0 days 02:15:51.240000,GAS,10,0 days 00:01:35.689000,18.0,3.0,,,0 days 00:00:35.871000,0 days 00:00:30.270000,0 days 00:00:29.548000,0 days 02:14:51.420000,0 days 02:15:21.690000,0 days 02:15:51.238000,284.0,297.0,293.0,296.0,False,HARD,5.0,False,AlphaTauri,0 days 02:14:15.551000,2021-12-05 18:46:22.769,1,6.0,False,,False,True,95.689
0 days 02:17:25.738000,GAS,10,0 days 00:01:34.498000,19.0,3.0,,,0 days 00:00:35.077000,0 days 00:00:30.042000,0 days 00:00:29.379000,0 days 02:16:26.315000,0 days 02:16:56.357000,0 days 02:17:25.736000,282.0,296.0,294.0,295.0,True,HARD,6.0,False,AlphaTauri,0 days 02:15:51.240000,2021-12-05 18:47:58.458,1,6.0,False,,False,True,94.498
