Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:03:51.197000,GAS,10,0 days 00:01:23.081000,20.0,2.0,,,0 days 00:00:23.674000,0 days 00:00:31.269000,0 days 00:00:28.138000,0 days 01:02:51.773000,0 days 01:03:23.042000,0 days 01:03:51.180000,273.0,273.0,272.0,298.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 01:02:28.116000,2021-05-09 13:32:28.124,1,19.0,False,,False,True,83.081
0 days 01:05:14.243000,GAS,10,0 days 00:01:23.046000,21.0,2.0,,,0 days 00:00:23.580000,0 days 00:00:31.286000,0 days 00:00:28.180000,0 days 01:04:14.760000,0 days 01:04:46.046000,0 days 01:05:14.226000,276.0,272.0,275.0,299.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 01:03:51.197000,2021-05-09 13:33:51.205,1,19.0,False,,False,True,83.046
0 days 01:19:20.507000,GAS,10,0 days 00:01:23.567000,31.0,2.0,,,0 days 00:00:23.119000,0 days 00:00:31.750000,0 days 00:00:28.698000,0 days 01:18:20.042000,0 days 01:18:51.792000,0 days 01:19:20.490000,274.0,266.0,277.0,332.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 01:17:56.940000,2021-05-09 13:47:56.948,1,14.0,False,,False,True,83.567
0 days 01:44:56.065000,GAS,10,0 days 00:01:21.496000,49.0,3.0,,,0 days 00:00:23.016000,0 days 00:00:30.802000,0 days 00:00:27.678000,0 days 01:43:57.568000,0 days 01:44:28.370000,0 days 01:44:56.048000,279.0,273.0,278.0,303.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:43:34.569000,2021-05-09 14:13:34.577,1,16.0,False,,False,True,81.496
0 days 01:46:19.121000,GAS,10,0 days 00:01:23.056000,50.0,3.0,,,0 days 00:00:23.041000,0 days 00:00:30.793000,0 days 00:00:29.222000,0 days 01:45:19.089000,0 days 01:45:49.882000,0 days 01:46:19.104000,276.0,260.0,285.0,304.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:44:56.065000,2021-05-09 14:14:56.073,1,15.0,False,,False,True,83.056
0 days 01:47:40.508000,GAS,10,0 days 00:01:21.387000,51.0,3.0,,,0 days 00:00:22.669000,0 days 00:00:30.737000,0 days 00:00:27.981000,0 days 01:46:41.773000,0 days 01:47:12.510000,0 days 01:47:40.491000,274.0,276.0,278.0,323.0,True,SOFT,4.0,True,AlphaTauri,0 days 01:46:19.121000,2021-05-09 14:16:19.129,1,15.0,False,,False,True,81.387
0 days 01:49:02.527000,GAS,10,0 days 00:01:22.019000,52.0,3.0,,,0 days 00:00:23.132000,0 days 00:00:30.775000,0 days 00:00:28.112000,0 days 01:48:03.623000,0 days 01:48:34.398000,0 days 01:49:02.510000,275.0,287.0,289.0,306.0,False,SOFT,5.0,True,AlphaTauri,0 days 01:47:40.508000,2021-05-09 14:17:40.516,1,15.0,False,,False,True,82.019
0 days 01:50:24.256000,GAS,10,0 days 00:01:21.729000,53.0,3.0,,,0 days 00:00:22.708000,0 days 00:00:30.736000,0 days 00:00:28.285000,0 days 01:49:25.218000,0 days 01:49:55.954000,0 days 01:50:24.239000,279.0,275.0,288.0,335.0,False,SOFT,6.0,True,AlphaTauri,0 days 01:49:02.527000,2021-05-09 14:19:02.535,1,14.0,False,,False,True,81.729
0 days 01:51:47.292000,GAS,10,0 days 00:01:23.036000,54.0,3.0,,,0 days 00:00:23.350000,0 days 00:00:31.166000,0 days 00:00:28.520000,0 days 01:50:47.589000,0 days 01:51:18.755000,0 days 01:51:47.275000,270.0,267.0,288.0,328.0,False,SOFT,7.0,True,AlphaTauri,0 days 01:50:24.256000,2021-05-09 14:20:24.264,1,14.0,False,,False,True,83.036
0 days 01:53:10.237000,GAS,10,0 days 00:01:22.945000,55.0,3.0,,,0 days 00:00:23.089000,0 days 00:00:31.269000,0 days 00:00:28.587000,0 days 01:52:10.364000,0 days 01:52:41.633000,0 days 01:53:10.220000,274.0,267.0,288.0,327.0,False,SOFT,8.0,True,AlphaTauri,0 days 01:51:47.292000,2021-05-09 14:21:47.300,1,14.0,False,,False,True,82.945
