Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:10:37.962000,VER,1,0 days 00:01:23.824000,16.0,6.0,,,0 days 00:00:17.287000,0 days 00:00:36.056000,0 days 00:00:30.481000,0 days 01:09:31.425000,0 days 01:10:07.481000,0 days 01:10:37.962000,290.0,323.0,220.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:09:14.138000,2022-11-19 14:58:43.290,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:10:42.355000,PER,11,0 days 00:01:24.052000,17.0,6.0,,,0 days 00:00:17.343000,0 days 00:00:35.993000,0 days 00:00:30.716000,0 days 01:09:35.646000,0 days 01:10:11.639000,0 days 01:10:42.355000,291.0,325.0,217.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:09:18.303000,2022-11-19 14:58:47.455,1,,False,,False,True,0 days 00:00:00.228000,0.228,#0600ef
0 days 01:10:01.972000,LEC,16,0 days 00:01:24.092000,16.0,5.0,,,0 days 00:00:17.298000,0 days 00:00:36.318000,0 days 00:00:30.476000,0 days 01:08:55.178000,0 days 01:09:31.496000,0 days 01:10:01.972000,291.0,318.0,220.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 01:08:37.880000,2022-11-19 14:58:07.032,1,,False,,False,True,0 days 00:00:00.268000,0.268,#dc0000
0 days 01:10:21.891000,SAI,55,0 days 00:01:24.242000,15.0,5.0,,,0 days 00:00:17.307000,0 days 00:00:36.289000,0 days 00:00:30.646000,0 days 01:09:14.956000,0 days 01:09:51.245000,0 days 01:10:21.891000,290.0,321.0,219.0,324.0,True,SOFT,2.0,True,Ferrari,0 days 01:08:57.649000,2022-11-19 14:58:26.801,1,,False,,False,True,0 days 00:00:00.418000,0.418,#dc0000
0 days 01:10:57.125000,HAM,44,0 days 00:01:24.508000,20.0,6.0,,,0 days 00:00:17.220000,0 days 00:00:36.471000,0 days 00:00:30.817000,0 days 01:09:49.837000,0 days 01:10:26.308000,0 days 01:10:57.125000,287.0,315.0,220.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 01:09:32.617000,2022-11-19 14:59:01.769,1,,False,,False,True,0 days 00:00:00.684000,0.684,#00d2be
0 days 01:11:01.660000,RUS,63,0 days 00:01:24.511000,19.0,6.0,,,0 days 00:00:17.390000,0 days 00:00:36.510000,0 days 00:00:30.611000,0 days 01:09:54.539000,0 days 01:10:31.049000,0 days 01:11:01.660000,286.0,319.0,220.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:09:37.149000,2022-11-19 14:59:06.301,1,,False,,False,True,0 days 00:00:00.687000,0.687,#00d2be
0 days 01:10:13.772000,NOR,4,0 days 00:01:24.769000,16.0,6.0,,,0 days 00:00:17.421000,0 days 00:00:36.498000,0 days 00:00:30.850000,0 days 01:09:06.424000,0 days 01:09:42.922000,0 days 01:10:13.772000,286.0,319.0,217.0,321.0,True,SOFT,2.0,True,McLaren,0 days 01:08:49.003000,2022-11-19 14:58:18.155,1,,False,,False,True,0 days 00:00:00.945000,0.945,#ff8700
0 days 01:10:09.812000,OCO,31,0 days 00:01:24.830000,16.0,6.0,,,0 days 00:00:17.468000,0 days 00:00:36.490000,0 days 00:00:30.872000,0 days 01:09:02.450000,0 days 01:09:38.940000,0 days 01:10:09.812000,289.0,318.0,219.0,323.0,True,SOFT,2.0,True,Alpine,0 days 01:08:44.982000,2022-11-19 14:58:14.134,1,,False,,False,True,0 days 00:00:01.006000,1.006,#0090ff
0 days 01:06:15.640000,VET,5,0 days 00:01:24.961000,17.0,5.0,,,0 days 00:00:17.411000,0 days 00:00:36.723000,0 days 00:00:30.827000,0 days 01:05:08.090000,0 days 01:05:44.813000,0 days 01:06:15.640000,285.0,314.0,218.0,313.0,True,SOFT,2.0,True,Aston Martin,0 days 01:04:50.679000,2022-11-19 14:54:19.831,1,,False,,False,True,0 days 00:00:01.137000,1.137,#006f62
0 days 01:07:05.862000,RIC,3,0 days 00:01:25.045000,14.0,5.0,,,0 days 00:00:17.485000,0 days 00:00:36.666000,0 days 00:00:30.894000,0 days 01:05:58.302000,0 days 01:06:34.968000,0 days 01:07:05.862000,287.0,314.0,218.0,317.0,True,SOFT,2.0,True,McLaren,0 days 01:05:40.817000,2022-11-19 14:55:09.969,1,,False,,False,True,0 days 00:00:01.221000,1.221,#ff8700
