Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:21:11.755000,VER,1,0 days 00:01:10.342000,11.0,4.0,,,0 days 00:00:24.229000,0 days 00:00:24.556000,0 days 00:00:21.557000,0 days 01:20:25.642000,0 days 01:20:50.198000,0 days 01:21:11.755000,285.0,286.0,321.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:20:01.413000,2022-09-03 14:05:01.423,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:20:51.095000,LEC,16,0 days 00:01:10.363000,17.0,5.0,,,0 days 00:00:24.155000,0 days 00:00:24.747000,0 days 00:00:21.461000,0 days 01:20:04.887000,0 days 01:20:29.634000,0 days 01:20:51.095000,282.0,284.0,315.0,315.0,True,SOFT,2.0,True,Ferrari,0 days 01:19:40.732000,2022-09-03 14:04:40.742,1,,False,,False,True,0 days 00:00:00.021000,0.021,#dc0000
0 days 01:21:18.702000,SAI,55,0 days 00:01:10.434000,17.0,6.0,,,0 days 00:00:24.176000,0 days 00:00:24.627000,0 days 00:00:21.631000,0 days 01:20:32.444000,0 days 01:20:57.071000,0 days 01:21:18.702000,283.0,284.0,311.0,320.0,True,SOFT,2.0,True,Ferrari,0 days 01:20:08.268000,2022-09-03 14:05:08.278,1,,False,,False,True,0 days 00:00:00.092000,0.092,#dc0000
0 days 01:14:13.725000,HAM,44,0 days 00:01:10.648000,14.0,5.0,,,0 days 00:00:24.328000,0 days 00:00:24.574000,0 days 00:00:21.746000,0 days 01:13:27.405000,0 days 01:13:51.979000,0 days 01:14:13.725000,276.0,281.0,310.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:03.077000,2022-09-03 13:58:03.087,1,,False,,False,True,0 days 00:00:00.306000,0.306,#00d2be
0 days 01:01:14.129000,RUS,63,0 days 00:01:10.824000,11.0,4.0,,,0 days 00:00:24.400000,0 days 00:00:24.759000,0 days 00:00:21.665000,0 days 01:00:27.705000,0 days 01:00:52.464000,0 days 01:01:14.129000,279.0,282.0,314.0,322.0,True,SOFT,2.0,True,Mercedes,0 days 01:00:03.305000,2022-09-03 13:45:03.315,1,,False,,False,True,0 days 00:00:00.482000,0.482,#00d2be
0 days 01:12:13.993000,PER,11,0 days 00:01:11.077000,15.0,5.0,,,0 days 00:00:24.347000,0 days 00:00:24.965000,0 days 00:00:21.765000,0 days 01:11:27.263000,0 days 01:11:52.228000,0 days 01:12:13.993000,286.0,285.0,318.0,326.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:11:02.916000,2022-09-03 13:56:02.926,1,,False,,False,True,0 days 00:00:00.735000,0.735,#0600ef
0 days 01:00:42.734000,NOR,4,0 days 00:01:11.116000,11.0,4.0,,,0 days 00:00:24.281000,0 days 00:00:25.003000,0 days 00:00:21.832000,0 days 00:59:55.899000,0 days 01:00:20.902000,0 days 01:00:42.734000,280.0,282.0,314.0,322.0,True,SOFT,2.0,True,McLaren,0 days 00:59:31.618000,2022-09-03 13:44:31.628,1,,False,,False,True,0 days 00:00:00.774000,0.774,#ff8700
0 days 00:52:53.956000,STR,18,0 days 00:01:11.416000,11.0,3.0,,,0 days 00:00:24.321000,0 days 00:00:25.247000,0 days 00:00:21.848000,0 days 00:52:06.861000,0 days 00:52:32.108000,0 days 00:52:53.956000,283.0,280.0,310.0,318.0,True,SOFT,2.0,True,Aston Martin,0 days 00:51:42.540000,2022-09-03 13:36:42.550,1,,False,,False,True,0 days 00:00:01.074000,1.074,#006f62
0 days 01:00:49.957000,MSC,47,0 days 00:01:11.420000,14.0,4.0,,,0 days 00:00:24.467000,0 days 00:00:25.117000,0 days 00:00:21.836000,0 days 01:00:03.004000,0 days 01:00:28.121000,0 days 01:00:49.957000,279.0,283.0,317.0,324.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:59:38.537000,2022-09-03 13:44:38.547,1,,False,,False,True,0 days 00:00:01.078000,1.078,#ffffff
0 days 00:33:13.391000,TSU,22,0 days 00:01:11.427000,8.0,3.0,,,0 days 00:00:24.584000,0 days 00:00:24.772000,0 days 00:00:22.071000,0 days 00:32:26.548000,0 days 00:32:51.320000,0 days 00:33:13.391000,278.0,284.0,313.0,321.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:32:01.964000,2022-09-03 13:17:01.974,1,,False,,False,True,0 days 00:00:01.085000,1.085,#2b4562
0 days 01:01:44.201000,GAS,10,0 days 00:01:11.512000,14.0,5.0,,,0 days 00:00:24.701000,0 days 00:00:25.003000,0 days 00:00:21.808000,0 days 01:00:57.390000,0 days 01:01:22.393000,0 days 01:01:44.201000,279.0,280.0,312.0,323.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:00:32.689000,2022-09-03 13:45:32.699,1,,False,,False,True,0 days 00:00:01.170000,1.17,#2b4562
