Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:05:19.686000,VER,1,0 days 00:01:29.304000,8.0,3.0,,,0 days 00:00:31.116000,0 days 00:00:40.406000,0 days 00:00:17.782000,0 days 01:04:21.498000,0 days 01:05:01.904000,0 days 01:05:19.686000,283.0,304.0,267.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:50.382000,2022-10-08 06:50:51.952,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:12:36.911000,LEC,16,0 days 00:01:29.314000,11.0,4.0,,,0 days 00:00:31.149000,0 days 00:00:40.166000,0 days 00:00:17.999000,0 days 01:11:38.746000,0 days 01:12:18.912000,0 days 01:12:36.911000,281.0,300.0,262.0,300.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:07.597000,2022-10-08 06:58:09.167,1,,False,,False,True,0 days 00:00:00.010000,0.01,#dc0000
0 days 01:12:55.898000,SAI,55,0 days 00:01:29.361000,11.0,4.0,,,0 days 00:00:31.127000,0 days 00:00:40.275000,0 days 00:00:17.959000,0 days 01:11:57.664000,0 days 01:12:37.939000,0 days 01:12:55.898000,282.0,302.0,265.0,302.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:26.537000,2022-10-08 06:58:28.107,1,,False,,False,True,0 days 00:00:00.057000,0.057,#dc0000
0 days 01:12:50.858000,PER,11,0 days 00:01:29.709000,14.0,5.0,,,0 days 00:00:31.373000,0 days 00:00:40.433000,0 days 00:00:17.903000,0 days 01:11:52.522000,0 days 01:12:32.955000,0 days 01:12:50.858000,281.0,303.0,266.0,301.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:11:21.149000,2022-10-08 06:58:22.719,1,,False,,False,True,0 days 00:00:00.405000,0.405,#0600ef
0 days 01:12:43.716000,OCO,31,0 days 00:01:30.165000,17.0,6.0,,,0 days 00:00:31.333000,0 days 00:00:40.786000,0 days 00:00:18.046000,0 days 01:11:44.884000,0 days 01:12:25.670000,0 days 01:12:43.716000,279.0,300.0,265.0,300.0,True,SOFT,2.0,True,Alpine,0 days 01:11:13.551000,2022-10-08 06:58:15.121,1,,False,,False,True,0 days 00:00:00.861000,0.861,#0090ff
0 days 01:13:21.451000,HAM,44,0 days 00:01:30.261000,19.0,6.0,,,0 days 00:00:31.321000,0 days 00:00:40.766000,0 days 00:00:18.174000,0 days 01:12:22.511000,0 days 01:13:03.277000,0 days 01:13:21.451000,275.0,294.0,263.0,292.0,True,SOFT,2.0,True,Mercedes,0 days 01:11:51.190000,2022-10-08 06:58:52.760,1,,False,,False,True,0 days 00:00:00.957000,0.957,#00d2be
0 days 01:05:38.693000,ALO,14,0 days 00:01:30.322000,11.0,4.0,,,0 days 00:00:31.455000,0 days 00:00:40.707000,0 days 00:00:18.160000,0 days 01:04:39.826000,0 days 01:05:20.533000,0 days 01:05:38.693000,279.0,300.0,263.0,301.0,True,SOFT,2.0,True,Alpine,0 days 01:04:08.371000,2022-10-08 06:51:09.941,1,,False,,False,True,0 days 00:00:01.018000,1.018,#0090ff
0 days 01:13:27.052000,RUS,63,0 days 00:01:30.389000,18.0,6.0,,,0 days 00:00:31.474000,0 days 00:00:40.730000,0 days 00:00:18.185000,0 days 01:12:28.137000,0 days 01:13:08.867000,0 days 01:13:27.052000,274.0,295.0,263.0,292.0,True,SOFT,2.0,True,Mercedes,0 days 01:11:56.663000,2022-10-08 06:58:58.233,1,,False,,False,True,0 days 00:00:01.085000,1.085,#00d2be
0 days 00:53:39.202000,NOR,4,0 days 00:01:30.473000,12.0,4.0,,,0 days 00:00:31.427000,0 days 00:00:41.017000,0 days 00:00:18.029000,0 days 00:52:40.156000,0 days 00:53:21.173000,0 days 00:53:39.202000,278.0,298.0,263.0,297.0,True,SOFT,2.0,True,McLaren,0 days 00:52:08.729000,2022-10-08 06:39:10.299,1,,False,,False,True,0 days 00:00:01.169000,1.169,#ff8700
0 days 01:07:51.137000,VET,5,0 days 00:01:30.554000,14.0,5.0,,,0 days 00:00:31.655000,0 days 00:00:40.741000,0 days 00:00:18.158000,0 days 01:06:52.238000,0 days 01:07:32.979000,0 days 01:07:51.137000,276.0,295.0,263.0,295.0,True,SOFT,2.0,True,Aston Martin,0 days 01:06:20.583000,2022-10-08 06:53:22.153,1,,False,,False,True,0 days 00:00:01.250000,1.25,#006f62
