Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:13:53.373000,LEC,16,0 days 00:01:49.412000,19.0,4.0,,,0 days 00:00:29.391000,0 days 00:00:41.602000,0 days 00:00:38.419000,0 days 01:12:33.352000,0 days 01:13:14.954000,0 days 01:13:53.373000,291.0,266.0,252.0,283.0,True,SOFT,5.0,True,Ferrari,0 days 01:12:03.961000,2022-10-01 13:57:03.969,1,,False,,False,True,0 days 00:00:00,0.0,#dc0000
0 days 01:15:14.976000,PER,11,0 days 00:01:49.434000,18.0,4.0,,,0 days 00:00:28.940000,0 days 00:00:41.455000,0 days 00:00:39.039000,0 days 01:13:54.482000,0 days 01:14:35.937000,0 days 01:15:14.976000,293.0,266.0,253.0,287.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:13:25.542000,2022-10-01 13:58:25.550,1,,False,,False,True,0 days 00:00:00.022000,0.022,#0600ef
0 days 01:15:50.849000,HAM,44,0 days 00:01:49.466000,22.0,5.0,,,0 days 00:00:29.169000,0 days 00:00:41.186000,0 days 00:00:39.111000,0 days 01:14:30.552000,0 days 01:15:11.738000,0 days 01:15:50.849000,293.0,266.0,251.0,283.0,True,SOFT,6.0,True,Mercedes,0 days 01:14:01.383000,2022-10-01 13:59:01.391,1,,False,,False,True,0 days 00:00:00.054000,0.054,#00d2be
0 days 01:15:00.096000,SAI,55,0 days 00:01:49.583000,21.0,4.0,,,0 days 00:00:28.961000,0 days 00:00:41.463000,0 days 00:00:39.159000,0 days 01:13:39.474000,0 days 01:14:20.937000,0 days 01:15:00.096000,290.0,265.0,250.0,284.0,True,SOFT,6.0,True,Ferrari,0 days 01:13:10.513000,2022-10-01 13:58:10.521,1,,False,,False,True,0 days 00:00:00.171000,0.171,#dc0000
0 days 01:15:34.791000,ALO,14,0 days 00:01:49.966000,22.0,4.0,,,0 days 00:00:29.388000,0 days 00:00:41.723000,0 days 00:00:38.855000,0 days 01:14:14.213000,0 days 01:14:55.936000,0 days 01:15:34.791000,288.0,263.0,248.0,282.0,True,SOFT,6.0,True,Alpine,0 days 01:13:44.825000,2022-10-01 13:58:44.833,1,,False,,False,True,0 days 00:00:00.554000,0.554,#0090ff
0 days 01:15:24.757000,NOR,4,0 days 00:01:50.584000,23.0,4.0,,,0 days 00:00:29.312000,0 days 00:00:42.141000,0 days 00:00:39.131000,0 days 01:14:03.485000,0 days 01:14:45.626000,0 days 01:15:24.757000,289.0,265.0,251.0,283.0,True,SOFT,6.0,True,McLaren,0 days 01:13:34.173000,2022-10-01 13:58:34.181,1,,False,,False,True,0 days 00:00:01.172000,1.172,#ff8700
0 days 01:16:34.280000,GAS,10,0 days 00:01:51.211000,23.0,5.0,,,0 days 00:00:29.550000,0 days 00:00:42.310000,0 days 00:00:39.351000,0 days 01:15:12.619000,0 days 01:15:54.929000,0 days 01:16:34.280000,,263.0,251.0,285.0,True,SOFT,6.0,True,AlphaTauri,0 days 01:14:43.069000,2022-10-01 13:59:43.077,1,,False,,False,True,0 days 00:00:01.799000,1.799,#2b4562
0 days 01:10:57.718000,VER,1,0 days 00:01:51.395000,17.0,5.0,,,0 days 00:00:29.085000,0 days 00:00:42.253000,0 days 00:00:40.057000,0 days 01:09:35.408000,0 days 01:10:17.661000,0 days 01:10:57.718000,,265.0,252.0,,True,SOFT,4.0,True,Red Bull Racing,0 days 01:09:06.323000,2022-10-01 13:54:06.331,2,,False,,False,True,0 days 00:00:01.983000,1.983,#0600ef
0 days 01:16:12.402000,MAG,20,0 days 00:01:51.573000,22.0,6.0,,,0 days 00:00:29.559000,0 days 00:00:42.412000,0 days 00:00:39.602000,0 days 01:14:50.388000,0 days 01:15:32.800000,0 days 01:16:12.402000,289.0,265.0,249.0,282.0,True,SOFT,4.0,True,Haas F1 Team,0 days 01:14:20.829000,2022-10-01 13:59:20.837,1,,False,,False,True,0 days 00:00:02.161000,2.161,#ffffff
0 days 01:16:27.915000,TSU,22,0 days 00:01:51.983000,22.0,6.0,,,0 days 00:00:29.452000,0 days 00:00:42.774000,0 days 00:00:39.757000,0 days 01:15:05.384000,0 days 01:15:48.158000,0 days 01:16:27.915000,,265.0,250.0,283.0,True,SOFT,3.0,True,AlphaTauri,0 days 01:14:35.932000,2022-10-01 13:59:35.940,1,,False,,False,True,0 days 00:00:02.571000,2.571,#2b4562
