Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:05:08.822000,VER,1,0 days 00:01:24.831000,2.0,1.0,,,0 days 00:00:29.719000,0 days 00:00:18.536000,0 days 00:00:36.576000,0 days 01:04:13.710000,0 days 01:04:32.246000,0 days 01:05:08.822000,263.0,297.0,283.0,278.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:43.991000,2022-04-10 05:04:44.002,2,2.0,False,,False,True,84.831
0 days 01:15:11.029000,VER,1,0 days 00:01:24.167000,7.0,1.0,,,0 days 00:00:29.265000,0 days 00:00:18.606000,0 days 00:00:36.296000,0 days 01:14:16.127000,0 days 01:14:34.733000,0 days 01:15:11.029000,271.0,294.0,284.0,293.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:13:46.862000,2022-04-10 05:14:46.873,1,2.0,False,,False,False,84.167
0 days 01:16:34.995000,VER,1,0 days 00:01:23.966000,8.0,1.0,,,0 days 00:00:29.356000,0 days 00:00:18.449000,0 days 00:00:36.161000,0 days 01:15:40.385000,0 days 01:15:58.834000,0 days 01:16:34.995000,265.0,299.0,283.0,283.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:15:11.029000,2022-04-10 05:16:11.040,1,2.0,False,,False,True,83.966
0 days 01:17:58.775000,VER,1,0 days 00:01:23.780000,9.0,1.0,,,0 days 00:00:29.161000,0 days 00:00:18.447000,0 days 00:00:36.172000,0 days 01:17:04.156000,0 days 01:17:22.603000,0 days 01:17:58.775000,,295.0,283.0,285.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:16:34.995000,2022-04-10 05:17:35.006,1,2.0,False,,False,True,83.78
0 days 01:19:22.529000,VER,1,0 days 00:01:23.754000,10.0,1.0,,,0 days 00:00:29.252000,0 days 00:00:18.483000,0 days 00:00:36.019000,0 days 01:18:28.027000,0 days 01:18:46.510000,0 days 01:19:22.529000,263.0,294.0,284.0,281.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:17:58.775000,2022-04-10 05:18:58.786,1,2.0,False,,False,True,83.754
0 days 01:20:47.163000,VER,1,0 days 00:01:24.634000,11.0,1.0,,,0 days 00:00:29.144000,0 days 00:00:18.337000,0 days 00:00:37.153000,0 days 01:19:51.673000,0 days 01:20:10.010000,0 days 01:20:47.163000,,299.0,281.0,282.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:19:22.529000,2022-04-10 05:20:22.540,1,2.0,False,,False,True,84.634
0 days 01:22:11.717000,VER,1,0 days 00:01:24.554000,12.0,1.0,,,0 days 00:00:29.347000,0 days 00:00:18.431000,0 days 00:00:36.776000,0 days 01:21:16.510000,0 days 01:21:34.941000,0 days 01:22:11.717000,265.0,298.0,281.0,281.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:20:47.163000,2022-04-10 05:21:47.174,1,2.0,False,,False,True,84.554
0 days 01:23:36.375000,VER,1,0 days 00:01:24.658000,13.0,1.0,,,0 days 00:00:29.370000,0 days 00:00:18.524000,0 days 00:00:36.764000,0 days 01:22:41.087000,0 days 01:22:59.611000,0 days 01:23:36.375000,266.0,297.0,282.0,277.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:22:11.717000,2022-04-10 05:23:11.728,1,2.0,False,,False,True,84.658
0 days 01:25:00.900000,VER,1,0 days 00:01:24.525000,14.0,1.0,,,0 days 00:00:29.339000,0 days 00:00:18.561000,0 days 00:00:36.625000,0 days 01:24:05.714000,0 days 01:24:24.275000,0 days 01:25:00.900000,264.0,293.0,283.0,283.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:23:36.375000,2022-04-10 05:24:36.386,1,2.0,False,,False,True,84.525
0 days 01:26:25.456000,VER,1,0 days 00:01:24.556000,15.0,1.0,,,0 days 00:00:29.267000,0 days 00:00:18.549000,0 days 00:00:36.740000,0 days 01:25:30.167000,0 days 01:25:48.716000,0 days 01:26:25.456000,263.0,294.0,283.0,285.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:25:00.900000,2022-04-10 05:26:00.911,1,2.0,False,,False,True,84.556
