Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Color
0 days 01:04:14.256000,LEC,16,0 days 00:01:39.070000,1.0,1.0,0 days 00:24:54.765000,,,0 days 00:00:42.120000,0 days 00:00:23.984000,,0 days 01:03:50.298000,0 days 01:04:14.291000,224.0,251.0,273.0,250.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:34.872000,,1,1.0,False,,False,False,#dc0000
0 days 01:05:52.109000,LEC,16,0 days 00:01:37.853000,2.0,1.0,,,0 days 00:00:31.582000,0 days 00:00:42.159000,0 days 00:00:24.112000,0 days 01:04:45.838000,0 days 01:05:27.997000,0 days 01:05:52.109000,226.0,250.0,273.0,284.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:14.256000,,1,1.0,False,,False,True,#dc0000
0 days 01:07:30.381000,LEC,16,0 days 00:01:38.272000,3.0,1.0,,,0 days 00:00:31.635000,0 days 00:00:42.404000,0 days 00:00:24.233000,0 days 01:06:23.744000,0 days 01:07:06.148000,0 days 01:07:30.381000,227.0,252.0,273.0,289.0,False,SOFT,3.0,True,Ferrari,0 days 01:05:52.109000,,1,1.0,False,,False,True,#dc0000
0 days 01:09:08.795000,LEC,16,0 days 00:01:38.414000,4.0,1.0,,,0 days 00:00:31.619000,0 days 00:00:42.482000,0 days 00:00:24.313000,0 days 01:08:02,0 days 01:08:44.482000,0 days 01:09:08.795000,228.0,250.0,273.0,290.0,False,SOFT,4.0,True,Ferrari,0 days 01:07:30.381000,,1,1.0,False,,False,True,#dc0000
0 days 01:10:47.266000,LEC,16,0 days 00:01:38.471000,5.0,1.0,,,0 days 00:00:31.590000,0 days 00:00:42.565000,0 days 00:00:24.316000,0 days 01:09:40.385000,0 days 01:10:22.950000,0 days 01:10:47.266000,229.0,253.0,273.0,289.0,False,SOFT,5.0,True,Ferrari,0 days 01:09:08.795000,,1,1.0,False,,False,True,#dc0000
0 days 01:12:25.978000,LEC,16,0 days 00:01:38.712000,6.0,1.0,,,0 days 00:00:31.627000,0 days 00:00:42.652000,0 days 00:00:24.433000,0 days 01:11:18.893000,0 days 01:12:01.545000,0 days 01:12:25.978000,228.0,252.0,273.0,290.0,False,SOFT,6.0,True,Ferrari,0 days 01:10:47.266000,,1,1.0,False,,False,True,#dc0000
0 days 01:14:04.813000,LEC,16,0 days 00:01:38.835000,7.0,1.0,,,0 days 00:00:31.589000,0 days 00:00:42.750000,0 days 00:00:24.496000,0 days 01:12:57.567000,0 days 01:13:40.317000,0 days 01:14:04.813000,,253.0,273.0,,False,SOFT,7.0,True,Ferrari,0 days 01:12:25.978000,,1,1.0,False,,False,True,#dc0000
0 days 01:15:43.764000,LEC,16,0 days 00:01:38.951000,8.0,1.0,,,0 days 00:00:31.744000,0 days 00:00:42.811000,0 days 00:00:24.396000,0 days 01:14:36.557000,0 days 01:15:19.368000,0 days 01:15:43.764000,227.0,250.0,273.0,288.0,False,SOFT,8.0,True,Ferrari,0 days 01:14:04.813000,,1,1.0,False,,False,True,#dc0000
0 days 01:17:22.571000,LEC,16,0 days 00:01:38.807000,9.0,1.0,,,0 days 00:00:31.674000,0 days 00:00:42.665000,0 days 00:00:24.468000,0 days 01:16:15.438000,0 days 01:16:58.103000,0 days 01:17:22.571000,229.0,253.0,274.0,290.0,False,SOFT,9.0,True,Ferrari,0 days 01:15:43.764000,,1,1.0,False,,False,True,#dc0000
0 days 01:19:01.694000,LEC,16,0 days 00:01:39.123000,10.0,1.0,,,0 days 00:00:31.789000,0 days 00:00:42.769000,0 days 00:00:24.565000,0 days 01:17:54.360000,0 days 01:18:37.129000,0 days 01:19:01.694000,228.0,249.0,273.0,,False,SOFT,10.0,True,Ferrari,0 days 01:17:22.571000,,1,1.0,False,,False,True,#dc0000
