Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:15:02.008000,VER,1,0 days 00:01:53.951000,5.0,1.0,,,0 days 00:00:32.124000,0 days 00:00:51.490000,0 days 00:00:30.337000,0 days 01:13:40.181000,0 days 01:14:31.671000,0 days 01:15:02.008000,321.0,187.0,209.0,313.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:13:08.057000,2022-08-28 13:14:08.137,1,6.0,False,,False,False,113.951
0 days 01:16:55.756000,VER,1,0 days 00:01:53.748000,6.0,1.0,,,0 days 00:00:32.150000,0 days 00:00:51.344000,0 days 00:00:30.254000,0 days 01:15:34.158000,0 days 01:16:25.502000,0 days 01:16:55.756000,323.0,183.0,211.0,311.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:15:02.008000,2022-08-28 13:16:02.088,1,5.0,False,,False,True,113.748
0 days 01:18:47.710000,VER,1,0 days 00:01:51.954000,7.0,1.0,,,0 days 00:00:31.671000,0 days 00:00:49.935000,0 days 00:00:30.348000,0 days 01:17:27.427000,0 days 01:18:17.362000,0 days 01:18:47.710000,339.0,188.0,211.0,312.0,True,SOFT,7.0,True,Red Bull Racing,0 days 01:16:55.756000,2022-08-28 13:17:55.836,1,4.0,False,,False,True,111.954
0 days 01:20:40.351000,VER,1,0 days 00:01:52.641000,8.0,1.0,,,0 days 00:00:31.665000,0 days 00:00:50.392000,0 days 00:00:30.584000,0 days 01:19:19.375000,0 days 01:20:09.767000,0 days 01:20:40.351000,342.0,187.0,208.0,310.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:18:47.710000,2022-08-28 13:19:47.790,1,3.0,False,,False,True,112.641
0 days 01:22:33.883000,VER,1,0 days 00:01:53.532000,9.0,1.0,,,0 days 00:00:32.256000,0 days 00:00:50.630000,0 days 00:00:30.646000,0 days 01:21:12.607000,0 days 01:22:03.237000,0 days 01:22:33.883000,320.0,186.0,209.0,308.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:20:40.351000,2022-08-28 13:21:40.431,1,3.0,False,,False,True,113.532
0 days 01:24:27.852000,VER,1,0 days 00:01:53.969000,10.0,1.0,,,0 days 00:00:32.284000,0 days 00:00:50.975000,0 days 00:00:30.710000,0 days 01:23:06.167000,0 days 01:23:57.142000,0 days 01:24:27.852000,,179.0,209.0,311.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:22:33.883000,2022-08-28 13:23:33.963,1,3.0,False,,False,True,113.969
0 days 01:26:22.486000,VER,1,0 days 00:01:54.634000,11.0,1.0,,,0 days 00:00:31.967000,0 days 00:00:51.966000,0 days 00:00:30.701000,0 days 01:24:59.819000,0 days 01:25:51.785000,0 days 01:26:22.486000,339.0,181.0,211.0,313.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:24:27.852000,2022-08-28 13:25:27.932,1,2.0,False,,False,True,114.634
0 days 01:28:15.644000,VER,1,0 days 00:01:53.158000,12.0,1.0,,,0 days 00:00:32.002000,0 days 00:00:50.429000,0 days 00:00:30.727000,0 days 01:26:54.488000,0 days 01:27:44.917000,0 days 01:28:15.644000,338.0,185.0,208.0,,False,SOFT,12.0,True,Red Bull Racing,0 days 01:26:22.486000,2022-08-28 13:27:22.566,1,1.0,False,,False,True,113.158
0 days 01:30:09.372000,VER,1,0 days 00:01:53.728000,13.0,1.0,,,0 days 00:00:32.375000,0 days 00:00:50.545000,0 days 00:00:30.808000,0 days 01:28:48.019000,0 days 01:29:38.564000,0 days 01:30:09.372000,316.0,184.0,208.0,309.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:28:15.644000,2022-08-28 13:29:15.724,1,1.0,False,,False,True,113.728
0 days 01:32:03.270000,VER,1,0 days 00:01:53.898000,14.0,1.0,,,0 days 00:00:32.403000,0 days 00:00:50.608000,0 days 00:00:30.887000,0 days 01:30:41.775000,0 days 01:31:32.383000,0 days 01:32:03.270000,314.0,181.0,208.0,,False,SOFT,14.0,True,Red Bull Racing,0 days 01:30:09.372000,2022-08-28 13:31:09.452,1,1.0,False,,False,True,113.898
0 days 01:37:56.961000,VER,1,0 days 00:01:50.747000,17.0,2.0,,,0 days 00:00:31.876000,0 days 00:00:48.828000,0 days 00:00:30.043000,0 days 01:36:38.090000,0 days 01:37:26.918000,0 days 01:37:56.961000,320.0,188.0,214.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:36:06.214000,2022-08-28 13:37:06.294,1,2.0,False,,False,True,110.747
0 days 01:39:48.009000,VER,1,0 days 00:01:51.048000,18.0,2.0,,,0 days 00:00:31.597000,0 days 00:00:49.219000,0 days 00:00:30.232000,0 days 01:38:28.558000,0 days 01:39:17.777000,0 days 01:39:48.009000,340.0,191.0,211.0,313.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:56.961000,2022-08-28 13:38:57.041,1,1.0,False,,False,True,111.048
0 days 01:41:39.922000,VER,1,0 days 00:01:51.913000,19.0,2.0,,,0 days 00:00:32.163000,0 days 00:00:49.387000,0 days 00:00:30.363000,0 days 01:40:20.172000,0 days 01:41:09.559000,0 days 01:41:39.922000,314.0,191.0,211.0,307.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:39:48.009000,2022-08-28 13:40:48.089,1,1.0,False,,False,True,111.913
0 days 01:43:32.130000,VER,1,0 days 00:01:52.208000,20.0,2.0,,,0 days 00:00:32.156000,0 days 00:00:49.617000,0 days 00:00:30.435000,0 days 01:42:12.078000,0 days 01:43:01.695000,0 days 01:43:32.130000,316.0,186.0,210.0,308.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:41:39.922000,2022-08-28 13:42:40.002,1,1.0,False,,False,True,112.208
0 days 01:45:24.305000,VER,1,0 days 00:01:52.175000,21.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.551000,0 days 00:00:30.427000,0 days 01:44:04.327000,0 days 01:44:53.878000,0 days 01:45:24.305000,314.0,189.0,211.0,,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:43:32.130000,2022-08-28 13:44:32.210,1,1.0,False,,False,True,112.175
0 days 01:47:16.687000,VER,1,0 days 00:01:52.382000,22.0,2.0,,,0 days 00:00:32.258000,0 days 00:00:49.647000,0 days 00:00:30.477000,0 days 01:45:56.563000,0 days 01:46:46.210000,0 days 01:47:16.687000,316.0,189.0,211.0,307.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:24.305000,2022-08-28 13:46:24.385,1,1.0,False,,False,True,112.382
0 days 01:49:08.960000,VER,1,0 days 00:01:52.273000,23.0,2.0,,,0 days 00:00:32.250000,0 days 00:00:49.641000,0 days 00:00:30.382000,0 days 01:47:48.937000,0 days 01:48:38.578000,0 days 01:49:08.960000,314.0,187.0,211.0,309.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:47:16.687000,2022-08-28 13:48:16.767,1,1.0,False,,False,True,112.273
0 days 01:51:01.427000,VER,1,0 days 00:01:52.467000,24.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.849000,0 days 00:00:30.421000,0 days 01:49:41.157000,0 days 01:50:31.006000,0 days 01:51:01.427000,317.0,184.0,210.0,310.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:49:08.960000,2022-08-28 13:50:09.040,1,1.0,False,,False,True,112.467
0 days 01:52:53.982000,VER,1,0 days 00:01:52.555000,25.0,2.0,,,0 days 00:00:32.154000,0 days 00:00:49.856000,0 days 00:00:30.545000,0 days 01:51:33.581000,0 days 01:52:23.437000,0 days 01:52:53.982000,319.0,188.0,211.0,312.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:51:01.427000,2022-08-28 13:52:01.507,1,1.0,False,,False,True,112.555
0 days 01:54:46.508000,VER,1,0 days 00:01:52.526000,26.0,2.0,,,0 days 00:00:32.130000,0 days 00:00:49.803000,0 days 00:00:30.593000,0 days 01:53:26.112000,0 days 01:54:15.915000,0 days 01:54:46.508000,,187.0,211.0,310.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:52:53.982000,2022-08-28 13:53:54.062,1,1.0,False,,False,True,112.526
0 days 01:56:39.377000,VER,1,0 days 00:01:52.869000,27.0,2.0,,,0 days 00:00:32.261000,0 days 00:00:50.079000,0 days 00:00:30.529000,0 days 01:55:18.769000,0 days 01:56:08.848000,0 days 01:56:39.377000,318.0,189.0,211.0,309.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:54:46.508000,2022-08-28 13:55:46.588,1,1.0,False,,False,True,112.869
0 days 01:58:32.087000,VER,1,0 days 00:01:52.710000,28.0,2.0,,,0 days 00:00:32.101000,0 days 00:00:50.024000,0 days 00:00:30.585000,0 days 01:57:11.478000,0 days 01:58:01.502000,0 days 01:58:32.087000,320.0,187.0,210.0,310.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:56:39.377000,2022-08-28 13:57:39.457,1,1.0,False,,False,True,112.71
0 days 02:00:24.849000,VER,1,0 days 00:01:52.762000,29.0,2.0,,,0 days 00:00:32.189000,0 days 00:00:49.960000,0 days 00:00:30.613000,0 days 01:59:04.276000,0 days 01:59:54.236000,0 days 02:00:24.849000,321.0,183.0,212.0,311.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:58:32.087000,2022-08-28 13:59:32.167,1,1.0,False,,False,True,112.762
0 days 02:06:14.998000,VER,1,0 days 00:01:49.354000,32.0,3.0,,,0 days 00:00:31.680000,0 days 00:00:47.810000,0 days 00:00:29.864000,0 days 02:04:57.324000,0 days 02:05:45.134000,0 days 02:06:14.998000,317.0,197.0,215.0,310.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 02:04:25.644000,2022-08-28 14:05:25.724,1,1.0,False,,False,True,109.354
0 days 02:08:06.142000,VER,1,0 days 00:01:51.144000,33.0,3.0,,,0 days 00:00:31.870000,0 days 00:00:49.122000,0 days 00:00:30.152000,0 days 02:06:46.868000,0 days 02:07:35.990000,0 days 02:08:06.142000,315.0,192.0,214.0,313.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 02:06:14.998000,2022-08-28 14:07:15.078,1,1.0,False,,False,True,111.144
0 days 02:09:57.176000,VER,1,0 days 00:01:51.034000,34.0,3.0,,,0 days 00:00:31.831000,0 days 00:00:49.139000,0 days 00:00:30.064000,0 days 02:08:37.973000,0 days 02:09:27.112000,0 days 02:09:57.176000,319.0,194.0,214.0,312.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 02:08:06.142000,2022-08-28 14:09:06.222,1,1.0,False,,False,True,111.034
0 days 02:11:48.645000,VER,1,0 days 00:01:51.469000,35.0,3.0,,,0 days 00:00:32.051000,0 days 00:00:49.129000,0 days 00:00:30.289000,0 days 02:10:29.227000,0 days 02:11:18.356000,0 days 02:11:48.645000,321.0,192.0,215.0,303.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 02:09:57.176000,2022-08-28 14:10:57.256,1,1.0,False,,False,True,111.469
0 days 02:13:40.196000,VER,1,0 days 00:01:51.551000,36.0,3.0,,,0 days 00:00:32.022000,0 days 00:00:49.168000,0 days 00:00:30.361000,0 days 02:12:20.667000,0 days 02:13:09.835000,0 days 02:13:40.196000,,188.0,212.0,304.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 02:11:48.645000,2022-08-28 14:12:48.725,1,1.0,False,,False,True,111.551
0 days 02:15:31.783000,VER,1,0 days 00:01:51.587000,37.0,3.0,,,0 days 00:00:32.092000,0 days 00:00:49.044000,0 days 00:00:30.451000,0 days 02:14:12.288000,0 days 02:15:01.332000,0 days 02:15:31.783000,320.0,190.0,211.0,,False,MEDIUM,7.0,True,Red Bull Racing,0 days 02:13:40.196000,2022-08-28 14:14:40.276,1,1.0,False,,False,True,111.587
0 days 02:17:23.296000,VER,1,0 days 00:01:51.513000,38.0,3.0,,,0 days 00:00:32.082000,0 days 00:00:49.215000,0 days 00:00:30.216000,0 days 02:16:03.865000,0 days 02:16:53.080000,0 days 02:17:23.296000,321.0,190.0,212.0,305.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 02:15:31.783000,2022-08-28 14:16:31.863,1,1.0,False,,False,True,111.513
0 days 02:19:15.556000,VER,1,0 days 00:01:52.260000,39.0,3.0,,,0 days 00:00:32.102000,0 days 00:00:49.548000,0 days 00:00:30.610000,0 days 02:17:55.398000,0 days 02:18:44.946000,0 days 02:19:15.556000,317.0,190.0,213.0,302.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 02:17:23.296000,2022-08-28 14:18:23.376,1,1.0,False,,False,True,112.26
0 days 02:21:07.445000,VER,1,0 days 00:01:51.889000,40.0,3.0,,,0 days 00:00:31.976000,0 days 00:00:49.360000,0 days 00:00:30.553000,0 days 02:19:47.532000,0 days 02:20:36.892000,0 days 02:21:07.445000,315.0,189.0,213.0,306.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 02:19:15.556000,2022-08-28 14:20:15.636,1,1.0,False,,False,True,111.889
0 days 02:22:59.610000,VER,1,0 days 00:01:52.165000,41.0,3.0,,,0 days 00:00:32.050000,0 days 00:00:49.487000,0 days 00:00:30.628000,0 days 02:21:39.495000,0 days 02:22:28.982000,0 days 02:22:59.610000,,188.0,212.0,304.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 02:21:07.445000,2022-08-28 14:22:07.525,1,1.0,False,,False,True,112.165
0 days 02:24:51.767000,VER,1,0 days 00:01:52.157000,42.0,3.0,,,0 days 00:00:32.149000,0 days 00:00:49.406000,0 days 00:00:30.602000,0 days 02:23:31.759000,0 days 02:24:21.165000,0 days 02:24:51.767000,319.0,188.0,213.0,303.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 02:22:59.610000,2022-08-28 14:23:59.690,1,1.0,False,,False,True,112.157
0 days 02:26:44.498000,VER,1,0 days 00:01:52.731000,43.0,3.0,,,0 days 00:00:32.179000,0 days 00:00:49.988000,0 days 00:00:30.564000,0 days 02:25:23.946000,0 days 02:26:13.934000,0 days 02:26:44.498000,315.0,190.0,213.0,,False,MEDIUM,13.0,True,Red Bull Racing,0 days 02:24:51.767000,2022-08-28 14:25:51.847,1,1.0,False,,False,True,112.731
0 days 02:28:37.647000,VER,1,0 days 00:01:53.149000,44.0,3.0,,,0 days 00:00:32.047000,0 days 00:00:49.868000,0 days 00:00:31.234000,0 days 02:27:16.545000,0 days 02:28:06.413000,0 days 02:28:37.647000,321.0,189.0,187.0,304.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 02:26:44.498000,2022-08-28 14:27:44.578,1,1.0,False,,False,True,113.149
0 days 01:15:07.310000,GAS,10,0 days 00:01:55.353000,5.0,1.0,,,0 days 00:00:32.010000,0 days 00:00:52.819000,0 days 00:00:30.524000,0 days 01:13:43.967000,0 days 01:14:36.786000,0 days 01:15:07.310000,328.0,184.0,212.0,310.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 01:13:11.957000,2022-08-28 13:14:12.037,1,15.0,False,,False,False,115.353
0 days 01:17:02.743000,GAS,10,0 days 00:01:55.433000,6.0,1.0,,,0 days 00:00:32.390000,0 days 00:00:52.262000,0 days 00:00:30.781000,0 days 01:15:39.700000,0 days 01:16:31.962000,0 days 01:17:02.743000,318.0,185.0,211.0,311.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 01:15:07.310000,2022-08-28 13:16:07.390,1,15.0,False,,False,True,115.433
0 days 01:18:58.459000,GAS,10,0 days 00:01:55.716000,7.0,1.0,,,0 days 00:00:32.050000,0 days 00:00:52.584000,0 days 00:00:31.082000,0 days 01:17:34.793000,0 days 01:18:27.377000,0 days 01:18:58.459000,333.0,185.0,209.0,312.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 01:17:02.743000,2022-08-28 13:18:02.823,1,15.0,False,,False,True,115.716
0 days 01:28:55.183000,GAS,10,0 days 00:01:53.638000,12.0,2.0,,,0 days 00:00:32.286000,0 days 00:00:50.793000,0 days 00:00:30.559000,0 days 01:27:33.831000,0 days 01:28:24.624000,0 days 01:28:55.183000,,186.0,210.0,308.0,True,HARD,2.0,True,AlphaTauri,0 days 01:27:01.545000,2022-08-28 13:28:01.625,1,17.0,False,,False,True,113.638
