Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:17:33.728000,VER,1,0 days 00:01:15.564000,9.0,2.0,,,0 days 00:00:19.349000,0 days 00:00:38.704000,0 days 00:00:17.511000,0 days 01:16:37.505000,0 days 01:17:16.209000,0 days 01:17:33.720000,304.0,244.0,302.0,286.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:16:18.164000,2022-11-13 18:17:19.190,1,17.0,False,,False,True,75.564
0 days 01:18:49.594000,VER,1,0 days 00:01:15.866000,10.0,2.0,,,0 days 00:00:19.285000,0 days 00:00:39.093000,0 days 00:00:17.488000,0 days 01:17:53.005000,0 days 01:18:32.098000,0 days 01:18:49.586000,305.0,242.0,304.0,294.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:17:33.728000,2022-11-13 18:18:34.754,1,17.0,False,,False,True,75.866
0 days 01:20:05.798000,VER,1,0 days 00:01:16.204000,11.0,2.0,,,0 days 00:00:19.380000,0 days 00:00:39.349000,0 days 00:00:17.475000,0 days 01:19:08.966000,0 days 01:19:48.315000,0 days 01:20:05.790000,304.0,238.0,304.0,288.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:18:49.594000,2022-11-13 18:19:50.620,1,17.0,False,,False,True,76.204
0 days 01:21:22.232000,VER,1,0 days 00:01:16.434000,12.0,2.0,,,0 days 00:00:19.483000,0 days 00:00:39.381000,0 days 00:00:17.570000,0 days 01:20:25.273000,0 days 01:21:04.654000,0 days 01:21:22.224000,,242.0,305.0,290.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:20:05.798000,2022-11-13 18:21:06.824,1,17.0,False,,False,True,76.434
0 days 01:22:38.676000,VER,1,0 days 00:01:16.444000,13.0,2.0,,,0 days 00:00:19.472000,0 days 00:00:39.498000,0 days 00:00:17.474000,0 days 01:21:41.696000,0 days 01:22:21.194000,0 days 01:22:38.668000,305.0,243.0,305.0,291.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:21:22.232000,2022-11-13 18:22:23.258,1,17.0,False,,False,True,76.444
0 days 01:23:55.029000,VER,1,0 days 00:01:16.353000,14.0,2.0,,,0 days 00:00:19.373000,0 days 00:00:39.398000,0 days 00:00:17.582000,0 days 01:22:58.041000,0 days 01:23:37.439000,0 days 01:23:55.021000,,244.0,305.0,290.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:22:38.676000,2022-11-13 18:23:39.702,1,17.0,False,,False,True,76.353
0 days 01:25:11.497000,VER,1,0 days 00:01:16.468000,15.0,2.0,,,0 days 00:00:19.385000,0 days 00:00:39.575000,0 days 00:00:17.508000,0 days 01:24:14.406000,0 days 01:24:53.981000,0 days 01:25:11.489000,,243.0,306.0,289.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:23:55.029000,2022-11-13 18:24:56.055,1,16.0,False,,False,True,76.468
0 days 01:26:28.185000,VER,1,0 days 00:01:16.688000,16.0,2.0,,,0 days 00:00:19.350000,0 days 00:00:39.731000,0 days 00:00:17.607000,0 days 01:25:30.839000,0 days 01:26:10.570000,0 days 01:26:28.177000,306.0,240.0,306.0,294.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:25:11.497000,2022-11-13 18:26:12.523,1,16.0,False,,False,True,76.688
0 days 01:27:45.235000,VER,1,0 days 00:01:17.050000,17.0,2.0,,,0 days 00:00:19.507000,0 days 00:00:39.916000,0 days 00:00:17.627000,0 days 01:26:47.684000,0 days 01:27:27.600000,0 days 01:27:45.227000,307.0,240.0,306.0,,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:26:28.185000,2022-11-13 18:27:29.211,1,15.0,False,,False,True,77.05
0 days 01:29:02.086000,VER,1,0 days 00:01:16.851000,18.0,2.0,,,0 days 00:00:19.446000,0 days 00:00:39.821000,0 days 00:00:17.584000,0 days 01:28:04.673000,0 days 01:28:44.494000,0 days 01:29:02.078000,308.0,239.0,310.0,291.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:27:45.235000,2022-11-13 18:28:46.261,1,15.0,False,,False,True,76.851
