Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:14:51.787000,LEC,16,0 days 00:01:32.726000,22.0,5.0,,,0 days 00:00:26.224000,0 days 00:00:30.652000,0 days 00:00:35.850000,0 days 01:13:45.285000,0 days 01:14:15.937000,0 days 01:14:51.787000,189.0,217.0,318.0,341.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:19.061000,2023-11-18 08:58:20.257,1,,False,,False,True,0 days 00:00:00,0.0,#dc0000
0 days 01:15:37.091000,SAI,55,0 days 00:01:32.770000,22.0,5.0,,,0 days 00:00:26.157000,0 days 00:00:30.772000,0 days 00:00:35.841000,0 days 01:14:30.478000,0 days 01:15:01.250000,0 days 01:15:37.091000,187.0,216.0,316.0,342.0,True,SOFT,3.0,True,Ferrari,0 days 01:14:04.321000,2023-11-18 08:59:05.517,1,,False,,False,True,0 days 00:00:00.044000,0.044,#dc0000
0 days 01:07:10.948000,VER,1,0 days 00:01:33.104000,16.0,3.0,,,0 days 00:00:26.289000,0 days 00:00:30.828000,0 days 00:00:35.987000,0 days 01:06:04.133000,0 days 01:06:34.961000,0 days 01:07:10.948000,188.0,215.0,317.0,346.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:37.844000,2023-11-18 08:50:39.040,1,,False,,False,True,0 days 00:00:00.378000,0.378,#0600ef
0 days 01:15:52.634000,RUS,63,0 days 00:01:33.112000,21.0,3.0,,,0 days 00:00:26.364000,0 days 00:00:30.990000,0 days 00:00:35.758000,0 days 01:14:45.886000,0 days 01:15:16.876000,0 days 01:15:52.634000,188.0,217.0,321.0,344.0,True,SOFT,6.0,True,Mercedes,0 days 01:14:19.522000,2023-11-18 08:59:20.718,1,,False,,False,True,0 days 00:00:00.386000,0.386,#00d2be
0 days 01:16:01.287000,GAS,10,0 days 00:01:33.239000,24.0,6.0,,,0 days 00:00:26.415000,0 days 00:00:31.019000,0 days 00:00:35.805000,0 days 01:14:54.463000,0 days 01:15:25.482000,0 days 01:16:01.287000,189.0,215.0,320.0,343.0,True,SOFT,3.0,True,Alpine,0 days 01:14:28.048000,2023-11-18 08:59:29.244,1,,False,,False,True,0 days 00:00:00.513000,0.513,#0090ff
0 days 01:15:57.869000,ALB,23,0 days 00:01:33.323000,20.0,5.0,,,0 days 00:00:26.576000,0 days 00:00:31.008000,0 days 00:00:35.739000,0 days 01:14:51.122000,0 days 01:15:22.130000,0 days 01:15:57.869000,187.0,217.0,320.0,342.0,True,SOFT,3.0,True,Williams,0 days 01:14:24.546000,2023-11-18 08:59:25.742,1,,False,,False,True,0 days 00:00:00.597000,0.597,#005aff
0 days 01:15:42.727000,SAR,2,0 days 00:01:33.513000,22.0,6.0,,,0 days 00:00:26.605000,0 days 00:00:31.106000,0 days 00:00:35.802000,0 days 01:14:35.819000,0 days 01:15:06.925000,0 days 01:15:42.727000,188.0,216.0,318.0,347.0,True,SOFT,3.0,True,Williams,0 days 01:14:09.214000,2023-11-18 08:59:10.410,1,,False,,False,True,0 days 00:00:00.787000,0.787,#005aff
0 days 01:15:47.654000,BOT,77,0 days 00:01:33.525000,18.0,4.0,,,0 days 00:00:26.393000,0 days 00:00:31.214000,0 days 00:00:35.918000,0 days 01:14:40.522000,0 days 01:15:11.736000,0 days 01:15:47.654000,188.0,216.0,319.0,347.0,True,SOFT,3.0,True,Alfa Romeo,0 days 01:14:14.129000,2023-11-18 08:59:15.325,1,,False,,False,True,0 days 00:00:00.799000,0.799,#900000
0 days 01:14:30.366000,MAG,20,0 days 00:01:33.537000,22.0,6.0,,,0 days 00:00:26.335000,0 days 00:00:30.966000,0 days 00:00:36.236000,0 days 01:13:23.164000,0 days 01:13:54.130000,0 days 01:14:30.366000,187.0,215.0,318.0,339.0,True,SOFT,2.0,True,Haas F1 Team,0 days 01:12:56.829000,2023-11-18 08:57:58.025,1,,False,,False,True,0 days 00:00:00.811000,0.811,#ffffff
0 days 01:06:48.004000,ALO,14,0 days 00:01:33.555000,19.0,4.0,,,0 days 00:00:26.490000,0 days 00:00:31.113000,0 days 00:00:35.952000,0 days 01:05:40.939000,0 days 01:06:12.052000,0 days 01:06:48.004000,189.0,216.0,313.0,339.0,True,SOFT,6.0,False,Aston Martin,0 days 01:05:14.449000,2023-11-18 08:50:15.645,1,,False,,False,True,0 days 00:00:00.829000,0.829,#006f62
0 days 00:49:11.374000,HAM,44,0 days 00:01:33.837000,11.0,2.0,,,0 days 00:00:26.833000,0 days 00:00:31.187000,0 days 00:00:35.817000,0 days 00:48:04.370000,0 days 00:48:35.557000,0 days 00:49:11.374000,188.0,216.0,321.0,344.0,True,SOFT,3.0,True,Mercedes,0 days 00:47:37.537000,2023-11-18 08:32:38.733,1,,False,,False,True,0 days 00:00:01.111000,1.111,#00d2be
