Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:06:44.966000,LEC,16,0 days 00:01:17.166000,13.0,5.0,,,0 days 00:00:27.291000,0 days 00:00:29.853000,0 days 00:00:20.022000,0 days 01:05:55.091000,0 days 01:06:24.944000,0 days 01:06:44.966000,317.0,297.0,254.0,348.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:27.800000,2023-10-28 21:50:29.013,1,,False,,False,True,0 days 00:00:00,0.0,#dc0000
0 days 01:06:35.078000,SAI,55,0 days 00:01:17.233000,13.0,5.0,,,0 days 00:00:27.344000,0 days 00:00:29.900000,0 days 00:00:19.989000,0 days 01:05:45.189000,0 days 01:06:15.089000,0 days 01:06:35.078000,316.0,297.0,254.0,347.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:17.845000,2023-10-28 21:50:19.058,1,,False,,False,True,0 days 00:00:00.067000,0.067,#dc0000
0 days 01:14:50.219000,VER,1,0 days 00:01:17.263000,14.0,5.0,,,0 days 00:00:27.369000,0 days 00:00:29.818000,0 days 00:00:20.076000,0 days 01:14:00.325000,0 days 01:14:30.143000,0 days 01:14:50.219000,314.0,295.0,252.0,349.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:32.956000,2023-10-28 21:58:34.169,1,,False,,False,True,0 days 00:00:00.097000,0.097,#0600ef
0 days 01:06:19.144000,RIC,3,0 days 00:01:17.382000,11.0,4.0,,,0 days 00:00:27.599000,0 days 00:00:29.846000,0 days 00:00:19.937000,0 days 01:05:29.361000,0 days 01:05:59.207000,0 days 01:06:19.144000,311.0,294.0,251.0,341.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:05:01.762000,2023-10-28 21:50:02.975,1,,False,,False,True,0 days 00:00:00.216000,0.216,#2b4562
0 days 01:14:37.351000,PER,11,0 days 00:01:17.423000,15.0,6.0,,,0 days 00:00:27.460000,0 days 00:00:29.884000,0 days 00:00:20.079000,0 days 01:13:47.388000,0 days 01:14:17.272000,0 days 01:14:37.351000,316.0,295.0,253.0,351.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:19.928000,2023-10-28 21:58:21.141,1,,False,,False,True,0 days 00:00:00.257000,0.257,#0600ef
0 days 01:15:29.891000,HAM,44,0 days 00:01:17.454000,17.0,6.0,,,0 days 00:00:27.460000,0 days 00:00:29.881000,0 days 00:00:20.113000,0 days 01:14:39.897000,0 days 01:15:09.778000,0 days 01:15:29.891000,312.0,293.0,251.0,345.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:12.437000,2023-10-28 21:59:13.650,1,,False,,False,True,0 days 00:00:00.288000,0.288,#00d2be
0 days 01:13:45.634000,PIA,81,0 days 00:01:17.623000,17.0,6.0,,,0 days 00:00:27.518000,0 days 00:00:29.979000,0 days 00:00:20.126000,0 days 01:12:55.529000,0 days 01:13:25.508000,0 days 01:13:45.634000,312.0,293.0,251.0,346.0,True,SOFT,2.0,True,McLaren,0 days 01:12:28.011000,2023-10-28 21:57:29.224,1,,False,,False,True,0 days 00:00:00.457000,0.457,#ff8700
0 days 00:54:53.146000,RUS,63,0 days 00:01:17.673000,12.0,4.0,,,0 days 00:00:27.631000,0 days 00:00:29.920000,0 days 00:00:20.122000,0 days 00:54:03.104000,0 days 00:54:33.024000,0 days 00:54:53.146000,312.0,294.0,251.0,342.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:35.473000,2023-10-28 21:38:36.686,1,,False,,False,True,0 days 00:00:00.507000,0.507,#00d2be
0 days 00:54:41.791000,BOT,77,0 days 00:01:18.016000,10.0,4.0,,,0 days 00:00:27.577000,0 days 00:00:30.232000,0 days 00:00:20.207000,0 days 00:53:51.352000,0 days 00:54:21.584000,0 days 00:54:41.791000,316.0,296.0,253.0,347.0,True,SOFT,2.0,True,Alfa Romeo,0 days 00:53:23.775000,2023-10-28 21:38:24.988,1,,False,,False,True,0 days 00:00:00.850000,0.85,#900000
0 days 01:10:55.165000,ZHO,24,0 days 00:01:18.050000,14.0,5.0,,,0 days 00:00:27.670000,0 days 00:00:30.115000,0 days 00:00:20.265000,0 days 01:10:04.785000,0 days 01:10:34.900000,0 days 01:10:55.165000,313.0,291.0,253.0,341.0,True,SOFT,2.0,True,Alfa Romeo,0 days 01:09:37.115000,2023-10-28 21:54:38.328,1,,False,,False,True,0 days 00:00:00.884000,0.884,#900000
