Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 00:54:53.192000,VER,1,0 days 00:01:26.814000,11.0,3.0,,,0 days 00:00:29.073000,0 days 00:00:32.956000,0 days 00:00:24.785000,0 days 00:53:55.451000,0 days 00:54:28.407000,0 days 00:54:53.192000,225.0,194.0,284.0,341.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:53:26.378000,2023-05-06 20:38:27.364,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:06:39.614000,PER,11,0 days 00:01:26.841000,18.0,5.0,,,0 days 00:00:28.942000,0 days 00:00:33.049000,0 days 00:00:24.850000,0 days 01:05:41.715000,0 days 01:06:14.764000,0 days 01:06:39.614000,223.0,195.0,284.0,340.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:12.773000,2023-05-06 20:50:13.759,1,,False,,False,True,0 days 00:00:00.027000,0.027,#0600ef
0 days 00:53:45.702000,LEC,16,0 days 00:01:26.964000,13.0,2.0,,,0 days 00:00:29.245000,0 days 00:00:32.935000,0 days 00:00:24.784000,0 days 00:52:47.983000,0 days 00:53:20.918000,0 days 00:53:45.702000,224.0,194.0,284.0,336.0,True,SOFT,5.0,True,Ferrari,0 days 00:52:18.738000,2023-05-06 20:37:19.724,1,,False,,False,True,0 days 00:00:00.150000,0.15,#dc0000
0 days 00:55:00.516000,ALO,14,0 days 00:01:27.097000,13.0,3.0,,,0 days 00:00:29.216000,0 days 00:00:33.125000,0 days 00:00:24.756000,0 days 00:54:02.635000,0 days 00:54:35.760000,0 days 00:55:00.516000,224.0,195.0,282.0,335.0,True,SOFT,2.0,True,Aston Martin,0 days 00:53:33.419000,2023-05-06 20:38:34.405,1,,False,,False,True,0 days 00:00:00.283000,0.283,#006f62
0 days 00:48:01.783000,SAI,55,0 days 00:01:27.148000,10.0,2.0,,,0 days 00:00:29.123000,0 days 00:00:33.113000,0 days 00:00:24.912000,0 days 00:47:03.758000,0 days 00:47:36.871000,0 days 00:48:01.783000,225.0,195.0,282.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 00:46:34.635000,2023-05-06 20:31:35.621,1,,False,,False,True,0 days 00:00:00.334000,0.334,#dc0000
0 days 00:55:11.329000,OCO,31,0 days 00:01:27.444000,14.0,4.0,,,0 days 00:00:29.288000,0 days 00:00:33.193000,0 days 00:00:24.963000,0 days 00:54:13.173000,0 days 00:54:46.366000,0 days 00:55:11.329000,224.0,193.0,280.0,333.0,True,SOFT,2.0,True,Alpine,0 days 00:53:43.885000,2023-05-06 20:38:44.871,1,,False,,False,True,0 days 00:00:00.630000,0.63,#0090ff
0 days 00:51:49.098000,BOT,77,0 days 00:01:27.564000,12.0,3.0,,,0 days 00:00:29.166000,0 days 00:00:33.347000,0 days 00:00:25.051000,0 days 00:50:50.700000,0 days 00:51:24.047000,0 days 00:51:49.098000,226.0,194.0,280.0,333.0,True,SOFT,2.0,True,Alfa Romeo,0 days 00:50:21.534000,2023-05-06 20:35:22.520,1,,False,,False,True,0 days 00:00:00.750000,0.75,#900000
0 days 00:55:41.204000,GAS,10,0 days 00:01:27.612000,14.0,4.0,,,0 days 00:00:29.325000,0 days 00:00:33.305000,0 days 00:00:24.982000,0 days 00:54:42.917000,0 days 00:55:16.222000,0 days 00:55:41.204000,222.0,192.0,279.0,333.0,True,SOFT,2.0,True,Alpine,0 days 00:54:13.592000,2023-05-06 20:39:14.578,1,,False,,False,True,0 days 00:00:00.798000,0.798,#0090ff
0 days 00:54:46.080000,MAG,20,0 days 00:01:27.673000,14.0,4.0,,,0 days 00:00:29.338000,0 days 00:00:33.268000,0 days 00:00:25.067000,0 days 00:53:47.745000,0 days 00:54:21.013000,0 days 00:54:46.080000,222.0,193.0,282.0,332.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:53:18.407000,2023-05-06 20:38:19.393,1,,False,,False,True,0 days 00:00:00.859000,0.859,#ffffff
0 days 00:55:22.320000,RUS,63,0 days 00:01:27.743000,14.0,4.0,,,0 days 00:00:29.439000,0 days 00:00:33.165000,0 days 00:00:25.139000,0 days 00:54:24.016000,0 days 00:54:57.181000,0 days 00:55:22.320000,223.0,194.0,279.0,336.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:54.577000,2023-05-06 20:38:55.563,1,,False,,False,True,0 days 00:00:00.929000,0.929,#00d2be
0 days 00:48:09.163000,ALB,23,0 days 00:01:27.795000,11.0,3.0,,,0 days 00:00:29.414000,0 days 00:00:33.399000,0 days 00:00:24.982000,0 days 00:47:10.782000,0 days 00:47:44.181000,0 days 00:48:09.163000,224.0,194.0,283.0,338.0,True,SOFT,2.0,True,Williams,0 days 00:46:41.368000,2023-05-06 20:31:42.354,1,,False,,False,True,0 days 00:00:00.981000,0.981,#005aff
0 days 00:33:51.295000,HAM,44,0 days 00:01:27.846000,8.0,3.0,,,0 days 00:00:29.396000,0 days 00:00:33.363000,0 days 00:00:25.087000,0 days 00:32:52.845000,0 days 00:33:26.208000,0 days 00:33:51.295000,221.0,193.0,280.0,337.0,True,SOFT,2.0,True,Mercedes,0 days 00:32:23.449000,2023-05-06 20:17:24.435,1,,False,,False,True,0 days 00:00:01.032000,1.032,#00d2be
0 days 00:44:04.710000,HUL,27,0 days 00:01:27.903000,12.0,3.0,,,0 days 00:00:29.653000,0 days 00:00:33.348000,0 days 00:00:24.902000,0 days 00:43:06.460000,0 days 00:43:39.808000,0 days 00:44:04.710000,225.0,194.0,282.0,337.0,True,SOFT,7.0,False,Haas F1 Team,0 days 00:42:36.807000,2023-05-06 20:27:37.793,1,,False,,False,True,0 days 00:00:01.089000,1.089,#ffffff
0 days 00:51:46.124000,ZHO,24,0 days 00:01:28.091000,15.0,4.0,,,0 days 00:00:29.408000,0 days 00:00:33.521000,0 days 00:00:25.162000,0 days 00:50:47.441000,0 days 00:51:20.962000,0 days 00:51:46.124000,223.0,192.0,277.0,328.0,True,SOFT,2.0,True,Alfa Romeo,0 days 00:50:18.033000,2023-05-06 20:35:19.019,1,,False,,False,True,0 days 00:00:01.277000,1.277,#900000
