Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:08:35.640000,PER,11,0 days 00:01:28.265000,15.0,5.0,,,0 days 00:00:32.139000,0 days 00:00:27.982000,0 days 00:00:28.144000,0 days 01:07:39.514000,0 days 01:08:07.496000,0 days 01:08:35.640000,294.0,330.0,307.0,337.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:07:07.375000,2023-03-18 17:52:07.479,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:15:44.100000,LEC,16,0 days 00:01:28.420000,18.0,4.0,,,0 days 00:00:32.154000,0 days 00:00:28.027000,0 days 00:00:28.239000,0 days 01:14:47.834000,0 days 01:15:15.861000,0 days 01:15:44.100000,290.0,327.0,306.0,331.0,True,SOFT,2.0,True,Ferrari,0 days 01:14:15.680000,2023-03-18 17:59:15.784,1,,False,,False,True,0 days 00:00:00.155000,0.155,#dc0000
0 days 01:14:28.836000,ALO,14,0 days 00:01:28.730000,17.0,5.0,,,0 days 00:00:32.171000,0 days 00:00:28.084000,0 days 00:00:28.475000,0 days 01:13:32.277000,0 days 01:14:00.361000,0 days 01:14:28.836000,291.0,318.0,297.0,325.0,True,SOFT,2.0,True,Aston Martin,0 days 01:13:00.106000,2023-03-18 17:58:00.210,1,,False,,False,True,0 days 00:00:00.465000,0.465,#006f62
0 days 00:21:47.489000,VER,1,0 days 00:01:28.761000,2.0,1.0,,,0 days 00:00:32.268000,0 days 00:00:28.188000,0 days 00:00:28.305000,0 days 00:20:50.996000,0 days 00:21:19.184000,0 days 00:21:47.489000,293.0,331.0,311.0,337.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:18.728000,2023-03-18 17:05:18.832,1,,False,,False,True,0 days 00:00:00.496000,0.496,#0600ef
0 days 01:15:49.897000,RUS,63,0 days 00:01:28.857000,20.0,6.0,,,0 days 00:00:32.231000,0 days 00:00:28.161000,0 days 00:00:28.465000,0 days 01:14:53.271000,0 days 01:15:21.432000,0 days 01:15:49.897000,291.0,323.0,302.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 01:14:21.040000,2023-03-18 17:59:21.144,1,,False,,False,True,0 days 00:00:00.592000,0.592,#00d2be
0 days 01:16:04.291000,SAI,55,0 days 00:01:28.931000,23.0,5.0,,,0 days 00:00:32.552000,0 days 00:00:28.125000,0 days 00:00:28.254000,0 days 01:15:07.912000,0 days 01:15:36.037000,0 days 01:16:04.291000,290.0,323.0,302.0,329.0,True,SOFT,3.0,True,Ferrari,0 days 01:14:35.360000,2023-03-18 17:59:35.464,1,,False,,False,True,0 days 00:00:00.666000,0.666,#dc0000
0 days 01:15:27.491000,STR,18,0 days 00:01:28.945000,19.0,4.0,,,0 days 00:00:32.068000,0 days 00:00:28.137000,0 days 00:00:28.740000,0 days 01:14:30.614000,0 days 01:14:58.751000,0 days 01:15:27.491000,293.0,317.0,295.0,317.0,True,SOFT,4.0,True,Aston Martin,0 days 01:13:58.546000,2023-03-18 17:58:58.650,1,,False,,False,True,0 days 00:00:00.680000,0.68,#006f62
0 days 01:15:16.370000,OCO,31,0 days 00:01:29.078000,23.0,5.0,,,0 days 00:00:32.301000,0 days 00:00:28.300000,0 days 00:00:28.477000,0 days 01:14:19.593000,0 days 01:14:47.893000,0 days 01:15:16.370000,289.0,319.0,302.0,326.0,True,SOFT,3.0,True,Alpine,0 days 01:13:47.292000,2023-03-18 17:58:47.396,1,,False,,False,True,0 days 00:00:00.813000,0.813,#0090ff
0 days 01:07:25.662000,HAM,44,0 days 00:01:29.223000,17.0,5.0,,,0 days 00:00:32.468000,0 days 00:00:28.203000,0 days 00:00:28.552000,0 days 01:06:28.907000,0 days 01:06:57.110000,0 days 01:07:25.662000,290.0,322.0,296.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:56.439000,2023-03-18 17:50:56.543,1,,False,,False,True,0 days 00:00:00.958000,0.958,#00d2be
0 days 01:15:05.069000,PIA,81,0 days 00:01:29.243000,22.0,5.0,,,0 days 00:00:32.426000,0 days 00:00:28.272000,0 days 00:00:28.545000,0 days 01:14:08.252000,0 days 01:14:36.524000,0 days 01:15:05.069000,287.0,313.0,299.0,316.0,True,SOFT,4.0,True,McLaren,0 days 01:13:35.826000,2023-03-18 17:58:35.930,1,,False,,False,True,0 days 00:00:00.978000,0.978,#ff8700
0 days 01:15:33.234000,GAS,10,0 days 00:01:29.357000,22.0,5.0,,,0 days 00:00:32.403000,0 days 00:00:28.357000,0 days 00:00:28.597000,0 days 01:14:36.280000,0 days 01:15:04.637000,0 days 01:15:33.234000,289.0,320.0,303.0,325.0,True,SOFT,3.0,True,Alpine,0 days 01:14:03.877000,2023-03-18 17:59:03.981,1,,False,,False,True,0 days 00:00:01.092000,1.092,#0090ff
0 days 00:55:25.775000,HUL,27,0 days 00:01:29.451000,17.0,4.0,,,0 days 00:00:32.657000,0 days 00:00:28.239000,0 days 00:00:28.555000,0 days 00:54:28.981000,0 days 00:54:57.220000,0 days 00:55:25.775000,291.0,330.0,307.0,334.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:53:56.324000,2023-03-18 17:38:56.428,1,,False,,False,True,0 days 00:00:01.186000,1.186,#ffffff
0 days 00:55:01.062000,ZHO,24,0 days 00:01:29.461000,17.0,4.0,,,0 days 00:00:32.628000,0 days 00:00:28.302000,0 days 00:00:28.531000,0 days 00:54:04.229000,0 days 00:54:32.531000,0 days 00:55:01.062000,289.0,321.0,303.0,330.0,True,SOFT,4.0,True,Alfa Romeo,0 days 00:53:31.601000,2023-03-18 17:38:31.705,1,,False,,False,True,0 days 00:00:01.196000,1.196,#900000
0 days 00:45:58.200000,MAG,20,0 days 00:01:29.634000,12.0,3.0,,,0 days 00:00:32.673000,0 days 00:00:28.304000,0 days 00:00:28.657000,0 days 00:45:01.239000,0 days 00:45:29.543000,0 days 00:45:58.200000,288.0,325.0,306.0,330.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:44:28.566000,2023-03-18 17:29:28.670,1,,False,,False,True,0 days 00:00:01.369000,1.369,#ffffff
