Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeDelta,LapTimeDeltaSeconds,Color
0 days 01:16:01.650000,VER,1,0 days 00:01:12.272000,17.0,5.0,,,0 days 00:00:21.536000,0 days 00:00:29.064000,0 days 00:00:21.672000,0 days 01:15:10.914000,0 days 01:15:39.978000,0 days 01:16:01.650000,287.0,308.0,295.0,328.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:49.378000,2023-06-03 14:59:49.387,1,,False,,False,True,0 days 00:00:00,0.0,#0600ef
0 days 01:23:56.068000,SAI,55,0 days 00:01:12.734000,21.0,7.0,,,0 days 00:00:21.696000,0 days 00:00:29.257000,0 days 00:00:21.781000,0 days 01:23:05.030000,0 days 01:23:34.287000,0 days 01:23:56.068000,288.0,307.0,292.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 01:22:43.334000,2023-06-03 15:07:43.343,1,,False,,False,True,0 days 00:00:00.462000,0.462,#dc0000
0 days 01:03:52.204000,NOR,4,0 days 00:01:12.776000,15.0,5.0,,,0 days 00:00:21.827000,0 days 00:00:29.305000,0 days 00:00:21.644000,0 days 01:03:01.255000,0 days 01:03:30.560000,0 days 01:03:52.204000,283.0,304.0,294.0,318.0,True,SOFT,2.0,True,McLaren,0 days 01:02:39.428000,2023-06-03 14:47:39.437,1,,False,,False,True,0 days 00:00:00.504000,0.504,#ff8700
0 days 01:24:23.862000,GAS,10,0 days 00:01:12.816000,20.0,7.0,,,0 days 00:00:21.748000,0 days 00:00:29.211000,0 days 00:00:21.857000,0 days 01:23:32.794000,0 days 01:24:02.005000,0 days 01:24:23.862000,290.0,310.0,294.0,329.0,True,SOFT,2.0,True,Alpine,0 days 01:23:11.046000,2023-06-03 15:08:11.055,1,,False,,False,True,0 days 00:00:00.544000,0.544,#0090ff
0 days 01:24:37.107000,HAM,44,0 days 00:01:12.818000,22.0,7.0,,,0 days 00:00:21.805000,0 days 00:00:29.154000,0 days 00:00:21.859000,0 days 01:23:46.094000,0 days 01:24:15.248000,0 days 01:24:37.107000,285.0,304.0,295.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:23:24.289000,2023-06-03 15:08:24.298,1,,False,,False,True,0 days 00:00:00.546000,0.546,#00d2be
0 days 01:24:01.864000,STR,18,0 days 00:01:12.994000,22.0,7.0,,,0 days 00:00:21.806000,0 days 00:00:29.262000,0 days 00:00:21.926000,0 days 01:23:10.676000,0 days 01:23:39.938000,0 days 01:24:01.864000,283.0,302.0,294.0,321.0,True,SOFT,2.0,True,Aston Martin,0 days 01:22:48.870000,2023-06-03 15:07:48.879,1,,False,,False,True,0 days 00:00:00.722000,0.722,#006f62
0 days 01:03:40.587000,OCO,31,0 days 00:01:13.001000,14.0,5.0,,,0 days 00:00:21.737000,0 days 00:00:29.355000,0 days 00:00:21.909000,0 days 01:02:49.323000,0 days 01:03:18.678000,0 days 01:03:40.587000,290.0,309.0,295.0,326.0,True,SOFT,2.0,True,Alpine,0 days 01:02:27.586000,2023-06-03 14:47:27.595,1,,False,,False,True,0 days 00:00:00.729000,0.729,#0090ff
0 days 01:04:14.305000,PIA,81,0 days 00:01:13.059000,13.0,5.0,,,0 days 00:00:21.828000,0 days 00:00:29.427000,0 days 00:00:21.804000,0 days 01:03:23.074000,0 days 01:03:52.501000,0 days 01:04:14.305000,286.0,307.0,295.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:03:01.246000,2023-06-03 14:48:01.255,1,,False,,False,True,0 days 00:00:00.787000,0.787,#ff8700
0 days 01:04:09.851000,ALO,14,0 days 00:01:13.098000,14.0,5.0,,,0 days 00:00:21.935000,0 days 00:00:29.468000,0 days 00:00:21.695000,0 days 01:03:18.688000,0 days 01:03:48.156000,0 days 01:04:09.851000,284.0,302.0,293.0,321.0,True,SOFT,2.0,True,Aston Martin,0 days 01:02:56.753000,2023-06-03 14:47:56.762,1,,False,,False,True,0 days 00:00:00.826000,0.826,#006f62
0 days 01:20:04.425000,HUL,27,0 days 00:01:13.229000,17.0,6.0,,,0 days 00:00:21.790000,0 days 00:00:29.484000,0 days 00:00:21.955000,0 days 01:19:12.986000,0 days 01:19:42.470000,0 days 01:20:04.425000,286.0,306.0,287.0,325.0,True,SOFT,2.0,True,Haas F1 Team,0 days 01:18:51.196000,2023-06-03 15:03:51.205,1,,False,,False,True,0 days 00:00:00.957000,0.957,#ffffff
