Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime (s)
0 days 01:08:15.006000,VER,1,0 days 00:01:09.691000,4.0,2.0,,,0 days 00:00:17.618000,0 days 00:00:30.970000,0 days 00:00:21.103000,0 days 01:07:22.933000,0 days 01:07:53.903000,0 days 01:08:15.006000,293.0,230.0,270.0,297.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 01:07:05.315000,2023-07-02 13:08:06.307,1,1.0,False,,False,False,69.691
0 days 01:09:25.032000,VER,1,0 days 00:01:10.026000,5.0,2.0,,,0 days 00:00:17.716000,0 days 00:00:31.158000,0 days 00:00:21.152000,0 days 01:08:32.722000,0 days 01:09:03.880000,0 days 01:09:25.032000,285.0,230.0,270.0,289.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:08:15.006000,2023-07-02 13:09:15.998,1,1.0,False,,False,True,70.026
0 days 01:10:35.188000,VER,1,0 days 00:01:10.156000,6.0,2.0,,,0 days 00:00:17.681000,0 days 00:00:31.308000,0 days 00:00:21.167000,0 days 01:09:42.713000,0 days 01:10:14.021000,0 days 01:10:35.188000,286.0,231.0,270.0,288.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:09:25.032000,2023-07-02 13:10:26.024,1,1.0,False,,False,True,70.156
0 days 01:11:45.356000,VER,1,0 days 00:01:10.168000,7.0,2.0,,,0 days 00:00:17.733000,0 days 00:00:31.265000,0 days 00:00:21.170000,0 days 01:10:52.921000,0 days 01:11:24.186000,0 days 01:11:45.356000,288.0,228.0,271.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:10:35.188000,2023-07-02 13:11:36.180,1,1.0,False,,False,True,70.168
0 days 01:12:55.323000,VER,1,0 days 00:01:09.967000,8.0,2.0,,,0 days 00:00:17.679000,0 days 00:00:31.137000,0 days 00:00:21.151000,0 days 01:12:03.035000,0 days 01:12:34.172000,0 days 01:12:55.323000,290.0,229.0,271.0,292.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:45.356000,2023-07-02 13:12:46.348,1,1.0,False,,False,True,69.967
0 days 01:14:05.312000,VER,1,0 days 00:01:09.989000,9.0,2.0,,,0 days 00:00:17.590000,0 days 00:00:31.216000,0 days 00:00:21.183000,0 days 01:13:12.913000,0 days 01:13:44.129000,0 days 01:14:05.312000,293.0,230.0,271.0,291.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:12:55.323000,2023-07-02 13:13:56.315,1,1.0,False,,False,True,69.989
0 days 01:15:15.168000,VER,1,0 days 00:01:09.856000,10.0,2.0,,,0 days 00:00:17.605000,0 days 00:00:31.174000,0 days 00:00:21.077000,0 days 01:14:22.917000,0 days 01:14:54.091000,0 days 01:15:15.168000,291.0,228.0,271.0,290.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:05.312000,2023-07-02 13:15:06.304,1,1.0,False,,False,True,69.856
0 days 01:16:25.219000,VER,1,0 days 00:01:10.051000,11.0,2.0,,,0 days 00:00:17.643000,0 days 00:00:31.272000,0 days 00:00:21.136000,0 days 01:15:32.811000,0 days 01:16:04.083000,0 days 01:16:25.219000,293.0,228.0,270.0,293.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:15:15.168000,2023-07-02 13:16:16.160,1,1.0,False,,False,True,70.051
0 days 01:17:35.052000,VER,1,0 days 00:01:09.833000,12.0,2.0,,,0 days 00:00:17.591000,0 days 00:00:31.121000,0 days 00:00:21.121000,0 days 01:16:42.810000,0 days 01:17:13.931000,0 days 01:17:35.052000,296.0,230.0,270.0,294.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:16:25.219000,2023-07-02 13:17:26.211,1,1.0,False,,False,True,69.833
0 days 01:18:45.248000,VER,1,0 days 00:01:10.196000,13.0,2.0,,,0 days 00:00:17.669000,0 days 00:00:31.232000,0 days 00:00:21.295000,0 days 01:17:52.721000,0 days 01:18:23.953000,0 days 01:18:45.248000,295.0,229.0,269.0,291.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:17:35.052000,2023-07-02 13:18:36.044,2,1.0,False,,False,True,70.196
0 days 01:24:01.948000,VER,1,0 days 00:01:09.924000,17.0,2.0,,,0 days 00:00:17.653000,0 days 00:00:31.205000,0 days 00:00:21.066000,0 days 01:23:09.677000,0 days 01:23:40.882000,0 days 01:24:01.948000,299.0,230.0,270.0,290.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:22:52.024000,2023-07-02 13:23:53.016,1,1.0,False,,False,True,69.924
0 days 01:25:11.950000,VER,1,0 days 00:01:10.002000,18.0,2.0,,,0 days 00:00:17.681000,0 days 00:00:31.181000,0 days 00:00:21.140000,0 days 01:24:19.629000,0 days 01:24:50.810000,0 days 01:25:11.950000,293.0,228.0,271.0,292.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:24:01.948000,2023-07-02 13:25:02.940,1,1.0,False,,False,True,70.002
0 days 01:26:21.892000,VER,1,0 days 00:01:09.942000,19.0,2.0,,,0 days 00:00:17.622000,0 days 00:00:31.213000,0 days 00:00:21.107000,0 days 01:25:29.572000,0 days 01:26:00.785000,0 days 01:26:21.892000,295.0,228.0,270.0,292.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:25:11.950000,2023-07-02 13:26:12.942,1,1.0,False,,False,True,69.942
0 days 01:27:32.052000,VER,1,0 days 00:01:10.160000,20.0,2.0,,,0 days 00:00:17.672000,0 days 00:00:31.316000,0 days 00:00:21.172000,0 days 01:26:39.564000,0 days 01:27:10.880000,0 days 01:27:32.052000,293.0,229.0,270.0,293.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:26:21.892000,2023-07-02 13:27:22.884,1,1.0,False,,False,True,70.16
0 days 01:28:42.194000,VER,1,0 days 00:01:10.142000,21.0,2.0,,,0 days 00:00:17.729000,0 days 00:00:31.264000,0 days 00:00:21.149000,0 days 01:27:49.781000,0 days 01:28:21.045000,0 days 01:28:42.194000,,230.0,271.0,295.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:27:32.052000,2023-07-02 13:28:33.044,1,1.0,False,,False,True,70.142
