round,race,constructorName,points
1,Bahrain,Mercedes,25.0
1,Bahrain,Red Bull,18.0
1,Bahrain,Mercedes,16.0
1,Bahrain,McLaren,12.0
1,Bahrain,Red Bull,10.0
1,Bahrain,Ferrari,8.0
1,Bahrain,McLaren,6.0
1,Bahrain,Ferrari,4.0
1,Bahrain,AlphaTauri,2.0
1,Bahrain,Aston Martin,1.0
1,Bahrain,Alfa Romeo,0.0
1,Bahrain,Alfa Romeo,0.0
1,Bahrain,Alpine F1 Team,0.0
1,Bahrain,Williams,0.0
1,Bahrain,Aston Martin,0.0
1,Bahrain,Haas F1 Team,0.0
1,Bahrain,AlphaTauri,0.0
1,Bahrain,Williams,0.0
1,Bahrain,Alpine F1 Team,0.0
1,Bahrain,Haas F1 Team,0.0
2,Emilia Romagna,Red Bull,25.0
2,Emilia Romagna,Mercedes,19.0
2,Emilia Romagna,McLaren,15.0
2,Emilia Romagna,Ferrari,12.0
2,Emilia Romagna,Ferrari,10.0
2,Emilia Romagna,McLaren,8.0
2,Emilia Romagna,AlphaTauri,6.0
2,Emilia Romagna,Aston Martin,4.0
2,Emilia Romagna,Alpine F1 Team,2.0
2,Emilia Romagna,Alpine F1 Team,1.0
2,Emilia Romagna,Red Bull,0.0
2,Emilia Romagna,AlphaTauri,0.0
2,Emilia Romagna,Alfa Romeo,0.0
2,Emilia Romagna,Alfa Romeo,0.0
2,Emilia Romagna,Aston Martin,0.0
2,Emilia Romagna,Haas F1 Team,0.0
2,Emilia Romagna,Haas F1 Team,0.0
2,Emilia Romagna,Mercedes,0.0
2,Emilia Romagna,Williams,0.0
2,Emilia Romagna,Williams,0.0
3,Portuguese,Mercedes,25.0
3,Portuguese,Red Bull,18.0
3,Portuguese,Mercedes,16.0
3,Portuguese,Red Bull,12.0
3,Portuguese,McLaren,10.0
3,Portuguese,Ferrari,8.0
3,Portuguese,Alpine F1 Team,6.0
3,Portuguese,Alpine F1 Team,4.0
3,Portuguese,McLaren,2.0
3,Portuguese,AlphaTauri,1.0
3,Portuguese,Ferrari,0.0
3,Portuguese,Alfa Romeo,0.0
3,Portuguese,Aston Martin,0.0
3,Portuguese,Aston Martin,0.0
3,Portuguese,AlphaTauri,0.0
3,Portuguese,Williams,0.0
3,Portuguese,Haas F1 Team,0.0
3,Portuguese,Williams,0.0
3,Portuguese,Haas F1 Team,0.0
3,Portuguese,Alfa Romeo,0.0
4,Spanish,Mercedes,25.0
4,Spanish,Red Bull,19.0
4,Spanish,Mercedes,15.0
4,Spanish,Ferrari,12.0
4,Spanish,Red Bull,10.0
4,Spanish,McLaren,8.0
4,Spanish,Ferrari,6.0
4,Spanish,McLaren,4.0
4,Spanish,Alpine F1 Team,2.0
4,Spanish,AlphaTauri,1.0
4,Spanish,Aston Martin,0.0
4,Spanish,Alfa Romeo,0.0
4,Spanish,Aston Martin,0.0
4,Spanish,Williams,0.0
4,Spanish,Alfa Romeo,0.0
4,Spanish,Williams,0.0
4,Spanish,Alpine F1 Team,0.0
4,Spanish,Haas F1 Team,0.0
4,Spanish,Haas F1 Team,0.0
4,Spanish,AlphaTauri,0.0
5,Monaco,Red Bull,25.0
5,Monaco,Ferrari,18.0
5,Monaco,McLaren,15.0
5,Monaco,Red Bull,12.0
5,Monaco,Aston Martin,10.0
5,Monaco,AlphaTauri,8.0
5,Monaco,Mercedes,7.0
5,Monaco,Aston Martin,4.0
5,Monaco,Alpine F1 Team,2.0
5,Monaco,Alfa Romeo,1.0
5,Monaco,Alfa Romeo,0.0
5,Monaco,McLaren,0.0
5,Monaco,Alpine F1 Team,0.0
5,Monaco,Williams,0.0
5,Monaco,Williams,0.0
5,Monaco,AlphaTauri,0.0
5,Monaco,Haas F1 Team,0.0
5,Monaco,Haas F1 Team,0.0
5,Monaco,Mercedes,0.0
5,Monaco,Ferrari,0.0
6,Azerbaijan,Red Bull,25.0
6,Azerbaijan,Aston Martin,18.0
6,Azerbaijan,AlphaTauri,15.0
6,Azerbaijan,Ferrari,12.0
6,Azerbaijan,McLaren,10.0
6,Azerbaijan,Alpine F1 Team,8.0
6,Azerbaijan,AlphaTauri,6.0
6,Azerbaijan,Ferrari,4.0
6,Azerbaijan,McLaren,2.0
6,Azerbaijan,Alfa Romeo,1.0
6,Azerbaijan,Alfa Romeo,0.0
6,Azerbaijan,Mercedes,0.0
6,Azerbaijan,Haas F1 Team,0.0
6,Azerbaijan,Haas F1 Team,0.0
6,Azerbaijan,Mercedes,0.0
6,Azerbaijan,Williams,0.0
